implementation,m,n,q,p,seconds,speedup,cost,exit_code,status,command,raw_output
"Implementation 1 (Serial)",5,8,9,1,0.000012,1.000000,0.000012,0,"ok","./bin/mm_serial 5 8 9","Time: 0.000012 seconds"
"Implementation 2 (MM-1D)",5,8,9,1,0.000014,0.861005,0.000014,0,"ok","mpirun -np 1 ./bin/mm_1d 5 8 9","Local Matrix Multiplication Compute Time: 2.97371e-06 seconds Total Runtime: 1.39372e-05 seconds"
"Implementation 3 (MM-2D)",5,8,9,1,0.000010,1.200000,0.000010,0,"ok","mpirun -np 1 ./bin/mm_2d 5 8 9","MM-2D completed Processes (P): 1 Grid size    : 1 x 1 Matrix sizes : A(5x8), B(8x9), C(5x9) Parallel Time: 0.000010 seconds"
"Implementation 1 (Serial)",5,8,9,4,0.000007,1.000000,0.000007,0,"ok","./bin/mm_serial 5 8 9","Time: 0.000007 seconds"
"Implementation 2 (MM-1D)",5,8,9,4,0.000129,0.054249,0.000516,0,"ok","mpirun -np 4 ./bin/mm_1d 5 8 9","Local Matrix Multiplication Compute Time: 1.67172e-06 seconds Total Runtime: 0.000129034 seconds"
"Implementation 3 (MM-2D)",5,8,9,4,-,-,-,256,"failed","mpirun -np 4 ./bin/mm_2d 5 8 9","Error: m, n, and q must each be divisible by sqrt(P). Usage: mpirun -np P ./mm_2d m n q [print] -------------------------------------------------------------------------- Primary job  terminated normally, but 1 process returned a non-zero exit code. Per user-direction, the job has been aborted. -------------------------------------------------------------------------- -------------------------------------------------------------------------- mpirun detected that one or more processes exited with non-zero status, thus causing the job to be terminated. The first process to do so was:    Process name: [[15017,1],1]   Exit code:    1 --------------------------------------------------------------------------"
"Implementation 1 (Serial)",5,8,9,9,0.000008,1.000000,0.000008,0,"ok","./bin/mm_serial 5 8 9","Time: 0.000008 seconds"
"Implementation 2 (MM-1D)",5,8,9,9,0.000241,0.033233,0.002167,0,"ok","mpirun -np 9 ./bin/mm_1d 5 8 9","Local Matrix Multiplication Compute Time: 9.36911e-07 seconds Total Runtime: 0.000240723 seconds"
"Implementation 3 (MM-2D)",5,8,9,9,-,-,-,256,"failed","mpirun -np 9 ./bin/mm_2d 5 8 9","Error: m, n, and q must each be divisible by sqrt(P). Usage: mpirun -np P ./mm_2d m n q [print] -------------------------------------------------------------------------- Primary job  terminated normally, but 1 process returned a non-zero exit code. Per user-direction, the job has been aborted. -------------------------------------------------------------------------- -------------------------------------------------------------------------- mpirun detected that one or more processes exited with non-zero status, thus causing the job to be terminated. The first process to do so was:    Process name: [[14502,1],1]   Exit code:    1 --------------------------------------------------------------------------"
