implementation,m,n,q,p,seconds,speedup,cost,exit_code,status,command,raw_output
"Implementation 1 (Serial)",1200,2400,1800,1,45.357873,1.000000,45.357873,0,"ok","./bin/mm_serial 1200 2400 1800","Time: 45.357873 seconds"
"Implementation 2 (MM-1D)",1200,2400,1800,1,10.963100,4.137322,10.963100,0,"ok","mpirun -np 1 ./bin/mm_1d 1200 2400 1800","mpirun: Forwarding signal 20 to job mpirun: Forwarding signal 18 to job Local Matrix Multiplication Compute Time: 10.8943 seconds Total Runtime: 10.9631 seconds"
"Implementation 3 (MM-2D)",1200,2400,1800,1,10.928583,4.150389,10.928583,0,"ok","mpirun -np 1 ./bin/mm_2d 1200 2400 1800","MM-2D completed Processes (P): 1 Grid size    : 1 x 1 Matrix sizes : A(1200x2400), B(2400x1800), C(1200x1800) Parallel Time: 10.928583 seconds"
"Implementation 1 (Serial)",1200,2400,1800,4,45.357873,1.000000,45.357873,0,"ok","./bin/mm_serial 1200 2400 1800","Time: 45.357873 seconds"
"Implementation 2 (MM-1D)",1200,2400,1800,4,2.977100,15.235589,11.908400,0,"ok","mpirun -np 4 ./bin/mm_1d 1200 2400 1800","mpirun: Forwarding signal 20 to job mpirun: Forwarding signal 18 to job Local Matrix Multiplication Compute Time: 2.8869 seconds Total Runtime: 2.9771 seconds"
"Implementation 3 (MM-2D)",1200,2400,1800,4,1.672547,27.119042,6.690188,0,"ok","mpirun -np 4 ./bin/mm_2d 1200 2400 1800","MM-2D completed Processes (P): 4 Grid size    : 2 x 2 Matrix sizes : A(1200x2400), B(2400x1800), C(1200x1800) Parallel Time: 1.672547 seconds"
"Implementation 1 (Serial)",1200,2400,1800,9,45.357873,1.000000,45.357873,0,"ok","./bin/mm_serial 1200 2400 1800","Time: 45.357873 seconds"
"Implementation 2 (MM-1D)",1200,2400,1800,9,1.562580,29.027553,14.063220,0,"ok","mpirun -np 9 ./bin/mm_1d 1200 2400 1800","Local Matrix Multiplication Compute Time: 1.4214 seconds Total Runtime: 1.56258 seconds"
"Implementation 3 (MM-2D)",1200,2400,1800,9,31.029858,1.461749,279.268722,0,"ok","mpirun -np 9 ./bin/mm_2d 1200 2400 1800","mpirun: Forwarding signal 20 to job mpirun: Forwarding signal 18 to job MM-2D completed Processes (P): 9 Grid size    : 3 x 3 Matrix sizes : A(1200x2400), B(2400x1800), C(1200x1800) Parallel Time: 31.029858 seconds"
"Implementation 1 (Serial)",1200,2400,1800,16,45.357873,1.000000,45.357873,0,"ok","./bin/mm_serial 1200 2400 1800","Time: 45.357873 seconds"
"Implementation 2 (MM-1D)",1200,2400,1800,16,1.067180,42.502552,17.074880,0,"ok","mpirun -np 16 ./bin/mm_1d 1200 2400 1800","Local Matrix Multiplication Compute Time: 0.845314 seconds Total Runtime: 1.06718 seconds"
"Implementation 3 (MM-2D)",1200,2400,1800,16,0.740017,61.293015,11.840272,0,"ok","mpirun -np 16 ./bin/mm_2d 1200 2400 1800","mpirun: Forwarding signal 20 to job mpirun: Forwarding signal 18 to job MM-2D completed Processes (P): 16 Grid size    : 4 x 4 Matrix sizes : A(1200x2400), B(2400x1800), C(1200x1800) Parallel Time: 0.740017 seconds"
"Implementation 1 (Serial)",1200,2400,1800,25,45.357873,1.000000,45.357873,0,"ok","./bin/mm_serial 1200 2400 1800","Time: 45.357873 seconds"
"Implementation 2 (MM-1D)",1200,2400,1800,25,1.476790,30.713827,36.919750,0,"ok","mpirun -np 25 ./bin/mm_1d 1200 2400 1800","Local Matrix Multiplication Compute Time: 1.03366 seconds Total Runtime: 1.47679 seconds"
"Implementation 3 (MM-2D)",1200,2400,1800,25,0.709919,63.891617,17.747975,0,"ok","mpirun -np 25 ./bin/mm_2d 1200 2400 1800","mpirun: Forwarding signal 20 to job mpirun: Forwarding signal 18 to job MM-2D completed Processes (P): 25 Grid size    : 5 x 5 Matrix sizes : A(1200x2400), B(2400x1800), C(1200x1800) Parallel Time: 0.709919 seconds"
