implementation,m,n,q,p,seconds,speedup,cost,exit_code,status,command,raw_output
"Implementation 1 (Serial)",18,12,18,1,0.000082,1.000000,0.000082,0,"ok","./bin/mm_serial 18 12 18","Time: 0.000082 seconds"
"Implementation 2 (MM-1D)",18,12,18,1,0.000053,1.552060,0.000053,0,"ok","mpirun -np 1 ./bin/mm_1d 18 12 18","Local Matrix Multiplication Compute Time: 2.88682e-05 seconds Total Runtime: 5.2833e-05 seconds"
"Implementation 3 (MM-2D)",18,12,18,1,0.000055,1.490909,0.000055,0,"ok","mpirun -np 1 ./bin/mm_2d 18 12 18","MM-2D completed Processes (P): 1 Grid size    : 1 x 1 Matrix sizes : A(18x12), B(12x18), C(18x18) Parallel Time: 0.000055 seconds"
"Implementation 1 (Serial)",18,12,18,4,0.000075,1.000000,0.000075,0,"ok","./bin/mm_serial 18 12 18","Time: 0.000075 seconds"
"Implementation 2 (MM-1D)",18,12,18,4,0.000174,0.431630,0.000695,0,"ok","mpirun -np 4 ./bin/mm_1d 18 12 18","Local Matrix Multiplication Compute Time: 1.074e-05 seconds Total Runtime: 0.00017376 seconds"
"Implementation 3 (MM-2D)",18,12,18,4,0.000199,0.376884,0.000796,0,"ok","mpirun -np 4 ./bin/mm_2d 18 12 18","MM-2D completed Processes (P): 4 Grid size    : 2 x 2 Matrix sizes : A(18x12), B(12x18), C(18x18) Parallel Time: 0.000199 seconds"
"Implementation 1 (Serial)",18,12,18,9,0.000082,1.000000,0.000082,0,"ok","./bin/mm_serial 18 12 18","Time: 0.000082 seconds"
"Implementation 2 (MM-1D)",18,12,18,9,0.000288,0.284872,0.002591,0,"ok","mpirun -np 9 ./bin/mm_1d 18 12 18","Local Matrix Multiplication Compute Time: 4.41354e-06 seconds Total Runtime: 0.000287849 seconds"
"Implementation 3 (MM-2D)",18,12,18,9,0.000368,0.222826,0.003312,0,"ok","mpirun -np 9 ./bin/mm_2d 18 12 18","MM-2D completed Processes (P): 9 Grid size    : 3 x 3 Matrix sizes : A(18x12), B(12x18), C(18x18) Parallel Time: 0.000368 seconds"
