implementation,m,n,q,p,seconds,speedup,serial_speedup,cost,exit_code,status,command,raw_output
"Implementation 1 (Serial)",1800,3600,3000,1,47.870810,1.000000,1.000000,47.870810,0,"ok","./bin/mm_serial 1800 3600 3000","Time: 47.870810 seconds"
"Implementation 2 (MM-1D)",1800,3600,3000,1,43.626200,1.000000,1.097295,43.626200,0,"ok","mpirun -np 1 ./bin/mm_1d 1800 3600 3000","Local Matrix Multiplication Compute Time: 43.4712 seconds Total Runtime: 43.6262 seconds"
"Implementation 3 (MM-2D)",1800,3600,3000,1,43.482517,1.000000,1.100921,43.482517,0,"ok","mpirun -np 1 ./bin/mm_2d 1800 3600 3000","MM-2D completed Processes (P): 1 Grid size    : 1 x 1 Matrix sizes : A(1800x3600), B(3600x3000), C(1800x3000) Parallel Time: 43.482517 seconds"
"Implementation 1 (Serial)",1800,3600,3000,4,47.870810,1.000000,1.000000,47.870810,0,"ok","./bin/mm_serial 1800 3600 3000","Time: 47.870810 seconds"
"Implementation 2 (MM-1D)",1800,3600,3000,4,11.626900,3.752178,4.117246,46.507600,0,"ok","mpirun -np 4 ./bin/mm_1d 1800 3600 3000","Local Matrix Multiplication Compute Time: 11.4182 seconds Total Runtime: 11.6269 seconds"
"Implementation 3 (MM-2D)",1800,3600,3000,4,11.040772,3.938358,4.335821,44.163088,0,"ok","mpirun -np 4 ./bin/mm_2d 1800 3600 3000","MM-2D completed Processes (P): 4 Grid size    : 2 x 2 Matrix sizes : A(1800x3600), B(3600x3000), C(1800x3000) Parallel Time: 11.040772 seconds"
"Implementation 1 (Serial)",1800,3600,3000,9,47.870810,1.000000,1.000000,47.870810,0,"ok","./bin/mm_serial 1800 3600 3000","Time: 47.870810 seconds"
"Implementation 2 (MM-1D)",1800,3600,3000,9,6.079250,7.176247,7.874460,54.713250,0,"ok","mpirun -np 9 ./bin/mm_1d 1800 3600 3000","Local Matrix Multiplication Compute Time: 5.50325 seconds Total Runtime: 6.07925 seconds"
"Implementation 3 (MM-2D)",1800,3600,3000,9,5.322939,8.168893,8.993304,47.906451,0,"ok","mpirun -np 9 ./bin/mm_2d 1800 3600 3000","MM-2D completed Processes (P): 9 Grid size    : 3 x 3 Matrix sizes : A(1800x3600), B(3600x3000), C(1800x3000) Parallel Time: 5.322939 seconds"
"Implementation 1 (Serial)",1800,3600,3000,16,47.870810,1.000000,1.000000,47.870810,0,"ok","./bin/mm_serial 1800 3600 3000","Time: 47.870810 seconds"
"Implementation 2 (MM-1D)",1800,3600,3000,16,3.939170,11.074973,12.152512,63.026720,0,"ok","mpirun -np 16 ./bin/mm_1d 1800 3600 3000","Local Matrix Multiplication Compute Time: 3.37955 seconds Total Runtime: 3.93917 seconds"
"Implementation 3 (MM-2D)",1800,3600,3000,16,3.717863,11.695567,12.875894,59.485808,0,"ok","mpirun -np 16 ./bin/mm_2d 1800 3600 3000","MM-2D completed Processes (P): 16 Grid size    : 4 x 4 Matrix sizes : A(1800x3600), B(3600x3000), C(1800x3000) Parallel Time: 3.717863 seconds"
"Implementation 1 (Serial)",1800,3600,3000,25,47.870810,1.000000,1.000000,47.870810,0,"ok","./bin/mm_serial 1800 3600 3000","Time: 47.870810 seconds"
"Implementation 2 (MM-1D)",1800,3600,3000,25,5.295310,8.238649,9.040228,132.382750,0,"ok","mpirun -np 25 ./bin/mm_1d 1800 3600 3000","Local Matrix Multiplication Compute Time: 4.34242 seconds Total Runtime: 5.29531 seconds"
"Implementation 3 (MM-2D)",1800,3600,3000,25,3.503963,12.409525,13.661905,87.599075,0,"ok","mpirun -np 25 ./bin/mm_2d 1800 3600 3000","MM-2D completed Processes (P): 25 Grid size    : 5 x 5 Matrix sizes : A(1800x3600), B(3600x3000), C(1800x3000) Parallel Time: 3.503963 seconds"
