implementation,m,n,q,p,seconds,speedup,serial_speedup,cost,exit_code,status,command,raw_output
"Implementation 1 (Serial)",1800,600,600,1,0.856080,1.000000,1.000000,0.856080,0,"ok","./bin/mm_serial 1800 600 600","Time: 0.856080 seconds"
"Implementation 2 (MM-1D)",1800,600,600,1,0.766914,1.000000,1.116266,0.766914,0,"ok","mpirun -np 1 ./bin/mm_1d 1800 600 600","Local Matrix Multiplication Compute Time: 0.745383 seconds Total Runtime: 0.766914 seconds"
"Implementation 3 (MM-2D)",1800,600,600,1,0.770305,1.000000,1.111352,0.770305,0,"ok","mpirun -np 1 ./bin/mm_2d 1800 600 600","MM-2D completed Processes (P): 1 Grid size    : 1 x 1 Matrix sizes : A(1800x600), B(600x600), C(1800x600) Parallel Time: 0.770305 seconds"
"Implementation 1 (Serial)",1800,600,600,4,0.856080,1.000000,1.000000,0.856080,0,"ok","./bin/mm_serial 1800 600 600","Time: 0.856080 seconds"
"Implementation 2 (MM-1D)",1800,600,600,4,0.216491,3.542475,3.954345,0.865964,0,"ok","mpirun -np 4 ./bin/mm_1d 1800 600 600","Local Matrix Multiplication Compute Time: 0.192118 seconds Total Runtime: 0.216491 seconds"
"Implementation 3 (MM-2D)",1800,600,600,4,0.194896,3.952390,4.392497,0.779584,0,"ok","mpirun -np 4 ./bin/mm_2d 1800 600 600","MM-2D completed Processes (P): 4 Grid size    : 2 x 2 Matrix sizes : A(1800x600), B(600x600), C(1800x600) Parallel Time: 0.194896 seconds"
"Implementation 1 (Serial)",1800,600,600,9,0.856080,1.000000,1.000000,0.856080,0,"ok","./bin/mm_serial 1800 600 600","Time: 0.856080 seconds"
"Implementation 2 (MM-1D)",1800,600,600,9,0.128133,5.985297,6.681183,1.153197,0,"ok","mpirun -np 9 ./bin/mm_1d 1800 600 600","Local Matrix Multiplication Compute Time: 0.0992887 seconds Total Runtime: 0.128133 seconds"
"Implementation 3 (MM-2D)",1800,600,600,9,0.116303,6.623260,7.360773,1.046727,0,"ok","mpirun -np 9 ./bin/mm_2d 1800 600 600","MM-2D completed Processes (P): 9 Grid size    : 3 x 3 Matrix sizes : A(1800x600), B(600x600), C(1800x600) Parallel Time: 0.116303 seconds"
"Implementation 1 (Serial)",1800,600,600,16,0.856080,1.000000,1.000000,0.856080,0,"ok","./bin/mm_serial 1800 600 600","Time: 0.856080 seconds"
"Implementation 2 (MM-1D)",1800,600,600,16,0.121350,6.319852,7.054635,1.941600,0,"ok","mpirun -np 16 ./bin/mm_1d 1800 600 600","Local Matrix Multiplication Compute Time: 0.0827696 seconds Total Runtime: 0.12135 seconds"
"Implementation 3 (MM-2D)",1800,600,600,16,0.091395,8.428306,9.366814,1.462320,0,"ok","mpirun -np 16 ./bin/mm_2d 1800 600 600","MM-2D completed Processes (P): 16 Grid size    : 4 x 4 Matrix sizes : A(1800x600), B(600x600), C(1800x600) Parallel Time: 0.091395 seconds"
"Implementation 1 (Serial)",1800,600,600,25,0.856080,1.000000,1.000000,0.856080,0,"ok","./bin/mm_serial 1800 600 600","Time: 0.856080 seconds"
"Implementation 2 (MM-1D)",1800,600,600,25,0.147275,5.207360,5.812799,3.681875,0,"ok","mpirun -np 25 ./bin/mm_1d 1800 600 600","Local Matrix Multiplication Compute Time: 0.0595013 seconds Total Runtime: 0.147275 seconds"
"Implementation 3 (MM-2D)",1800,600,600,25,0.091949,8.377524,9.310379,2.298725,0,"ok","mpirun -np 25 ./bin/mm_2d 1800 600 600","MM-2D completed Processes (P): 25 Grid size    : 5 x 5 Matrix sizes : A(1800x600), B(600x600), C(1800x600) Parallel Time: 0.091949 seconds"
