implementation,m,n,q,p,seconds,speedup,serial_speedup,cost,exit_code,status,command,raw_output
"Implementation 1 (Serial)",1200,1800,600,1,1.675815,1.000000,1.000000,1.675815,0,"ok","./bin/mm_serial 1200 1800 600","Time: 1.675815 seconds"
"Implementation 2 (MM-1D)",1200,1800,600,1,1.525310,1.000000,1.098672,1.525310,0,"ok","mpirun -np 1 ./bin/mm_1d 1200 1800 600","Local Matrix Multiplication Compute Time: 1.4938 seconds Total Runtime: 1.52531 seconds"
"Implementation 3 (MM-2D)",1200,1800,600,1,1.520672,1.000000,1.102023,1.520672,0,"ok","mpirun -np 1 ./bin/mm_2d 1200 1800 600","MM-2D completed Processes (P): 1 Grid size    : 1 x 1 Matrix sizes : A(1200x1800), B(1800x600), C(1200x600) Parallel Time: 1.520672 seconds"
"Implementation 1 (Serial)",1200,1800,600,4,1.675815,1.000000,1.000000,1.675815,0,"ok","./bin/mm_serial 1200 1800 600","Time: 1.675815 seconds"
"Implementation 2 (MM-1D)",1200,1800,600,4,0.465735,3.275060,3.598216,1.862940,0,"ok","mpirun -np 4 ./bin/mm_1d 1200 1800 600","Local Matrix Multiplication Compute Time: 0.427493 seconds Total Runtime: 0.465735 seconds"
"Implementation 3 (MM-2D)",1200,1800,600,4,0.417997,3.637997,4.009156,1.671988,0,"ok","mpirun -np 4 ./bin/mm_2d 1200 1800 600","MM-2D completed Processes (P): 4 Grid size    : 2 x 2 Matrix sizes : A(1200x1800), B(1800x600), C(1200x600) Parallel Time: 0.417997 seconds"
"Implementation 1 (Serial)",1200,1800,600,9,1.675815,1.000000,1.000000,1.675815,0,"ok","./bin/mm_serial 1200 1800 600","Time: 1.675815 seconds"
"Implementation 2 (MM-1D)",1200,1800,600,9,0.394632,3.865145,4.246526,3.551688,0,"ok","mpirun -np 9 ./bin/mm_1d 1200 1800 600","Local Matrix Multiplication Compute Time: 0.342345 seconds Total Runtime: 0.394632 seconds"
"Implementation 3 (MM-2D)",1200,1800,600,9,0.224957,6.759834,7.449490,2.024613,0,"ok","mpirun -np 9 ./bin/mm_2d 1200 1800 600","MM-2D completed Processes (P): 9 Grid size    : 3 x 3 Matrix sizes : A(1200x1800), B(1800x600), C(1200x600) Parallel Time: 0.224957 seconds"
"Implementation 1 (Serial)",1200,1800,600,16,1.675815,1.000000,1.000000,1.675815,0,"ok","./bin/mm_serial 1200 1800 600","Time: 1.675815 seconds"
"Implementation 2 (MM-1D)",1200,1800,600,16,0.287222,5.310561,5.834564,4.595552,0,"ok","mpirun -np 16 ./bin/mm_1d 1200 1800 600","Local Matrix Multiplication Compute Time: 0.207279 seconds Total Runtime: 0.287222 seconds"
"Implementation 3 (MM-2D)",1200,1800,600,16,0.156392,9.723464,10.715478,2.502272,0,"ok","mpirun -np 16 ./bin/mm_2d 1200 1800 600","MM-2D completed Processes (P): 16 Grid size    : 4 x 4 Matrix sizes : A(1200x1800), B(1800x600), C(1200x600) Parallel Time: 0.156392 seconds"
"Implementation 1 (Serial)",1200,1800,600,25,1.675815,1.000000,1.000000,1.675815,0,"ok","./bin/mm_serial 1200 1800 600","Time: 1.675815 seconds"
"Implementation 2 (MM-1D)",1200,1800,600,25,0.349975,4.358340,4.788385,8.749375,0,"ok","mpirun -np 25 ./bin/mm_1d 1200 1800 600","Local Matrix Multiplication Compute Time: 0.165326 seconds Total Runtime: 0.349975 seconds"
"Implementation 3 (MM-2D)",1200,1800,600,25,0.186378,8.159075,8.991485,4.659450,0,"ok","mpirun -np 25 ./bin/mm_2d 1200 1800 600","MM-2D completed Processes (P): 25 Grid size    : 5 x 5 Matrix sizes : A(1200x1800), B(1800x600), C(1200x600) Parallel Time: 0.186378 seconds"
