implementation,m,n,q,p,seconds,speedup,serial_speedup,cost,exit_code,status,command,raw_output
"Implementation 1 (Serial)",1800,1200,3000,1,13.775733,1.000000,1.000000,13.775733,0,"ok","./bin/mm_serial 1800 1200 3000","Time: 13.775733 seconds"
"Implementation 2 (MM-1D)",1800,1200,3000,1,13.287600,1.000000,1.036736,13.287600,0,"ok","mpirun -np 1 ./bin/mm_1d 1800 1200 3000","Local Matrix Multiplication Compute Time: 13.2031 seconds Total Runtime: 13.2876 seconds"
"Implementation 3 (MM-2D)",1800,1200,3000,1,13.286149,1.000000,1.036849,13.286149,0,"ok","mpirun -np 1 ./bin/mm_2d 1800 1200 3000","MM-2D completed Processes (P): 1 Grid size    : 1 x 1 Matrix sizes : A(1800x1200), B(1200x3000), C(1800x3000) Parallel Time: 13.286149 seconds"
"Implementation 1 (Serial)",1800,1200,3000,4,13.775733,1.000000,1.000000,13.775733,0,"ok","./bin/mm_serial 1800 1200 3000","Time: 13.775733 seconds"
"Implementation 2 (MM-1D)",1800,1200,3000,4,3.737210,3.555487,3.686101,14.948840,0,"ok","mpirun -np 4 ./bin/mm_1d 1800 1200 3000","Local Matrix Multiplication Compute Time: 3.63812 seconds Total Runtime: 3.73721 seconds"
"Implementation 3 (MM-2D)",1800,1200,3000,4,1.947675,6.821543,7.072912,7.790700,0,"ok","mpirun -np 4 ./bin/mm_2d 1800 1200 3000","MM-2D completed Processes (P): 4 Grid size    : 2 x 2 Matrix sizes : A(1800x1200), B(1200x3000), C(1800x3000) Parallel Time: 1.947675 seconds"
"Implementation 1 (Serial)",1800,1200,3000,9,13.775733,1.000000,1.000000,13.775733,0,"ok","./bin/mm_serial 1800 1200 3000","Time: 13.775733 seconds"
"Implementation 2 (MM-1D)",1800,1200,3000,9,1.930960,6.881344,7.134137,17.378640,0,"ok","mpirun -np 9 ./bin/mm_1d 1800 1200 3000","Local Matrix Multiplication Compute Time: 1.78673 seconds Total Runtime: 1.93096 seconds"
"Implementation 3 (MM-2D)",1800,1200,3000,9,1.094630,12.137571,12.584830,9.851670,0,"ok","mpirun -np 9 ./bin/mm_2d 1800 1200 3000","MM-2D completed Processes (P): 9 Grid size    : 3 x 3 Matrix sizes : A(1800x1200), B(1200x3000), C(1800x3000) Parallel Time: 1.094630 seconds"
"Implementation 1 (Serial)",1800,1200,3000,16,13.775733,1.000000,1.000000,13.775733,0,"ok","./bin/mm_serial 1800 1200 3000","Time: 13.775733 seconds"
"Implementation 2 (MM-1D)",1800,1200,3000,16,1.266390,10.492502,10.877955,20.262240,0,"ok","mpirun -np 16 ./bin/mm_1d 1800 1200 3000","Local Matrix Multiplication Compute Time: 1.06178 seconds Total Runtime: 1.26639 seconds"
"Implementation 3 (MM-2D)",1800,1200,3000,16,0.801755,16.571333,17.181973,12.828080,0,"ok","mpirun -np 16 ./bin/mm_2d 1800 1200 3000","MM-2D completed Processes (P): 16 Grid size    : 4 x 4 Matrix sizes : A(1800x1200), B(1200x3000), C(1800x3000) Parallel Time: 0.801755 seconds"
"Implementation 1 (Serial)",1800,1200,3000,25,13.775733,1.000000,1.000000,13.775733,0,"ok","./bin/mm_serial 1800 1200 3000","Time: 13.775733 seconds"
"Implementation 2 (MM-1D)",1800,1200,3000,25,1.494480,8.891119,9.217743,37.362000,0,"ok","mpirun -np 25 ./bin/mm_1d 1800 1200 3000","Local Matrix Multiplication Compute Time: 1.15819 seconds Total Runtime: 1.49448 seconds"
"Implementation 3 (MM-2D)",1800,1200,3000,25,0.696114,19.086168,19.789478,17.402850,0,"ok","mpirun -np 25 ./bin/mm_2d 1800 1200 3000","MM-2D completed Processes (P): 25 Grid size    : 5 x 5 Matrix sizes : A(1800x1200), B(1200x3000), C(1800x3000) Parallel Time: 0.696114 seconds"
