implementation,m,n,q,p,seconds,speedup,cost,exit_code,status,command,raw_output
"Implementation 1 (Serial)",24,6,24,1,0.000070,1.000000,0.000070,0,"ok","./bin/mm_serial 24 6 24","Time: 0.000070 seconds"
"Implementation 2 (MM-1D)",24,6,24,1,0.000070,1.000399,0.000070,0,"ok","mpirun -np 1 ./bin/mm_1d 24 6 24","Local Matrix Multiplication Compute Time: 3.84431e-05 seconds Total Runtime: 6.99721e-05 seconds"
"Implementation 3 (MM-2D)",24,6,24,1,0.000050,1.400000,0.000050,0,"ok","mpirun -np 1 ./bin/mm_2d 24 6 24","MM-2D completed Processes (P): 1 Grid size    : 1 x 1 Matrix sizes : A(24x6), B(6x24), C(24x24) Parallel Time: 0.000050 seconds"
"Implementation 1 (Serial)",24,6,24,4,0.000062,1.000000,0.000062,0,"ok","./bin/mm_serial 24 6 24","Time: 0.000062 seconds"
"Implementation 2 (MM-1D)",24,6,24,4,0.000176,0.352151,0.000704,0,"ok","mpirun -np 4 ./bin/mm_1d 24 6 24","Local Matrix Multiplication Compute Time: 9.13534e-06 seconds Total Runtime: 0.000176061 seconds"
"Implementation 3 (MM-2D)",24,6,24,4,0.000186,0.333333,0.000744,0,"ok","mpirun -np 4 ./bin/mm_2d 24 6 24","MM-2D completed Processes (P): 4 Grid size    : 2 x 2 Matrix sizes : A(24x6), B(6x24), C(24x24) Parallel Time: 0.000186 seconds"
"Implementation 1 (Serial)",24,6,24,9,0.000067,1.000000,0.000067,0,"ok","./bin/mm_serial 24 6 24","Time: 0.000067 seconds"
"Implementation 2 (MM-1D)",24,6,24,9,0.000274,0.244967,0.002462,0,"ok","mpirun -np 9 ./bin/mm_1d 24 6 24","Local Matrix Multiplication Compute Time: 4.69852e-06 seconds Total Runtime: 0.000273506 seconds"
"Implementation 3 (MM-2D)",24,6,24,9,0.000335,0.200000,0.003015,0,"ok","mpirun -np 9 ./bin/mm_2d 24 6 24","MM-2D completed Processes (P): 9 Grid size    : 3 x 3 Matrix sizes : A(24x6), B(6x24), C(24x24) Parallel Time: 0.000335 seconds"
