implementation,m,n,q,p,seconds,speedup,serial_speedup,cost,exit_code,status,command,raw_output
"Implementation 1 (Serial)",1200,4200,3600,1,58.043278,1.000000,1.000000,58.043278,0,"ok","./bin/mm_serial 1200 4200 3600","Time: 58.043278 seconds"
"Implementation 2 (MM-1D)",1200,4200,3600,1,57.600600,1.000000,1.007685,57.600600,0,"ok","mpirun -np 1 ./bin/mm_1d 1200 4200 3600","Local Matrix Multiplication Compute Time: 57.4388 seconds Total Runtime: 57.6006 seconds"
"Implementation 3 (MM-2D)",1200,4200,3600,1,57.596149,1.000000,1.007763,57.596149,0,"ok","mpirun -np 1 ./bin/mm_2d 1200 4200 3600","MM-2D completed Processes (P): 1 Grid size    : 1 x 1 Matrix sizes : A(1200x4200), B(4200x3600), C(1200x3600) Parallel Time: 57.596149 seconds"
"Implementation 1 (Serial)",1200,4200,3600,4,58.043278,1.000000,1.000000,58.043278,0,"ok","./bin/mm_serial 1200 4200 3600","Time: 58.043278 seconds"
"Implementation 2 (MM-1D)",1200,4200,3600,4,15.412600,3.737241,3.765963,61.650400,0,"ok","mpirun -np 4 ./bin/mm_1d 1200 4200 3600","Local Matrix Multiplication Compute Time: 15.1683 seconds Total Runtime: 15.4126 seconds"
"Implementation 3 (MM-2D)",1200,4200,3600,4,10.188839,5.652867,5.696751,40.755356,0,"ok","mpirun -np 4 ./bin/mm_2d 1200 4200 3600","MM-2D completed Processes (P): 4 Grid size    : 2 x 2 Matrix sizes : A(1200x4200), B(4200x3600), C(1200x3600) Parallel Time: 10.188839 seconds"
"Implementation 1 (Serial)",1200,4200,3600,9,58.043278,1.000000,1.000000,58.043278,0,"ok","./bin/mm_serial 1200 4200 3600","Time: 58.043278 seconds"
"Implementation 2 (MM-1D)",1200,4200,3600,9,7.660190,7.519474,7.577263,68.941710,0,"ok","mpirun -np 9 ./bin/mm_1d 1200 4200 3600","Local Matrix Multiplication Compute Time: 7.24167 seconds Total Runtime: 7.66019 seconds"
"Implementation 3 (MM-2D)",1200,4200,3600,9,5.168030,11.144701,11.231219,46.512270,0,"ok","mpirun -np 9 ./bin/mm_2d 1200 4200 3600","MM-2D completed Processes (P): 9 Grid size    : 3 x 3 Matrix sizes : A(1200x4200), B(4200x3600), C(1200x3600) Parallel Time: 5.168030 seconds"
"Implementation 1 (Serial)",1200,4200,3600,16,58.043278,1.000000,1.000000,58.043278,0,"ok","./bin/mm_serial 1200 4200 3600","Time: 58.043278 seconds"
"Implementation 2 (MM-1D)",1200,4200,3600,16,4.992160,11.538212,11.626887,79.874560,0,"ok","mpirun -np 16 ./bin/mm_1d 1200 4200 3600","Local Matrix Multiplication Compute Time: 4.32144 seconds Total Runtime: 4.99216 seconds"
"Implementation 3 (MM-2D)",1200,4200,3600,16,3.099168,18.584391,18.728665,49.586688,0,"ok","mpirun -np 16 ./bin/mm_2d 1200 4200 3600","MM-2D completed Processes (P): 16 Grid size    : 4 x 4 Matrix sizes : A(1200x4200), B(4200x3600), C(1200x3600) Parallel Time: 3.099168 seconds"
"Implementation 1 (Serial)",1200,4200,3600,25,58.043278,1.000000,1.000000,58.043278,0,"ok","./bin/mm_serial 1200 4200 3600","Time: 58.043278 seconds"
"Implementation 2 (MM-1D)",1200,4200,3600,25,5.536110,10.404526,10.484488,138.402750,0,"ok","mpirun -np 25 ./bin/mm_1d 1200 4200 3600","Local Matrix Multiplication Compute Time: 4.23905 seconds Total Runtime: 5.53611 seconds"
"Implementation 3 (MM-2D)",1200,4200,3600,25,3.502889,16.442470,16.570116,87.572225,0,"ok","mpirun -np 25 ./bin/mm_2d 1200 4200 3600","MM-2D completed Processes (P): 25 Grid size    : 5 x 5 Matrix sizes : A(1200x4200), B(4200x3600), C(1200x3600) Parallel Time: 3.502889 seconds"
