implementation,m,n,q,p,seconds,speedup,serial_speedup,cost,exit_code,status,command,raw_output
"Implementation 1 (Serial)",3600,4200,4200,1,209.099242,1.000000,1.000000,209.099242,0,"ok","./bin/mm_serial 3600 4200 4200","Time: 209.099242 seconds"
"Implementation 2 (MM-1D)",3600,4200,4200,1,206.690000,1.000000,1.011656,206.690000,0,"ok","mpirun -np 1 ./bin/mm_1d 3600 4200 4200","Local Matrix Multiplication Compute Time: 206.352 seconds Total Runtime: 206.69 seconds"
"Implementation 3 (MM-2D)",3600,4200,4200,1,206.584257,1.000000,1.012174,206.584257,0,"ok","mpirun -np 1 ./bin/mm_2d 3600 4200 4200","MM-2D completed Processes (P): 1 Grid size    : 1 x 1 Matrix sizes : A(3600x4200), B(4200x4200), C(3600x4200) Parallel Time: 206.584257 seconds"
"Implementation 1 (Serial)",3600,4200,4200,4,209.099242,1.000000,1.000000,209.099242,0,"ok","./bin/mm_serial 3600 4200 4200","Time: 209.099242 seconds"
"Implementation 2 (MM-1D)",3600,4200,4200,4,54.141200,3.817610,3.862109,216.564800,0,"ok","mpirun -np 4 ./bin/mm_1d 3600 4200 4200","Local Matrix Multiplication Compute Time: 53.7006 seconds Total Runtime: 54.1412 seconds"
"Implementation 3 (MM-2D)",3600,4200,4200,4,37.113280,5.566316,5.634081,148.453120,0,"ok","mpirun -np 4 ./bin/mm_2d 3600 4200 4200","MM-2D completed Processes (P): 4 Grid size    : 2 x 2 Matrix sizes : A(3600x4200), B(4200x4200), C(3600x4200) Parallel Time: 37.113280 seconds"
"Implementation 1 (Serial)",3600,4200,4200,9,209.099242,1.000000,1.000000,209.099242,0,"ok","./bin/mm_serial 3600 4200 4200","Time: 209.099242 seconds"
"Implementation 2 (MM-1D)",3600,4200,4200,9,27.093200,7.628852,7.717776,243.838800,0,"ok","mpirun -np 9 ./bin/mm_1d 3600 4200 4200","Local Matrix Multiplication Compute Time: 26.4793 seconds Total Runtime: 27.0932 seconds"
"Implementation 3 (MM-2D)",3600,4200,4200,9,17.513456,11.795745,11.939348,157.621104,0,"ok","mpirun -np 9 ./bin/mm_2d 3600 4200 4200","MM-2D completed Processes (P): 9 Grid size    : 3 x 3 Matrix sizes : A(3600x4200), B(4200x4200), C(3600x4200) Parallel Time: 17.513456 seconds"
"Implementation 1 (Serial)",3600,4200,4200,16,209.099242,1.000000,1.000000,209.099242,0,"ok","./bin/mm_serial 3600 4200 4200","Time: 209.099242 seconds"
"Implementation 2 (MM-1D)",3600,4200,4200,16,16.759200,12.332928,12.476684,268.147200,0,"ok","mpirun -np 16 ./bin/mm_1d 3600 4200 4200","Local Matrix Multiplication Compute Time: 15.8461 seconds Total Runtime: 16.7592 seconds"
"Implementation 3 (MM-2D)",3600,4200,4200,16,12.150654,17.001904,17.208888,194.410464,0,"ok","mpirun -np 16 ./bin/mm_2d 3600 4200 4200","MM-2D completed Processes (P): 16 Grid size    : 4 x 4 Matrix sizes : A(3600x4200), B(4200x4200), C(3600x4200) Parallel Time: 12.150654 seconds"
"Implementation 1 (Serial)",3600,4200,4200,25,209.099242,1.000000,1.000000,209.099242,0,"ok","./bin/mm_serial 3600 4200 4200","Time: 209.099242 seconds"
"Implementation 2 (MM-1D)",3600,4200,4200,25,17.992200,11.487756,11.621661,449.805000,0,"ok","mpirun -np 25 ./bin/mm_1d 3600 4200 4200","Local Matrix Multiplication Compute Time: 14.9625 seconds Total Runtime: 17.9922 seconds"
"Implementation 3 (MM-2D)",3600,4200,4200,25,11.691721,17.669277,17.884385,292.293025,0,"ok","mpirun -np 25 ./bin/mm_2d 3600 4200 4200","MM-2D completed Processes (P): 25 Grid size    : 5 x 5 Matrix sizes : A(3600x4200), B(4200x4200), C(3600x4200) Parallel Time: 11.691721 seconds"
