implementation,m,n,q,p,seconds,speedup,cost,exit_code,status,command,raw_output
"Implementation 1 (Serial)",6,24,6,1,0.000012,1.000000,0.000012,0,"ok","./bin/mm_serial 6 24 6","Time: 0.000012 seconds"
"Implementation 2 (MM-1D)",6,24,6,1,0.000024,0.491678,0.000024,0,"ok","mpirun -np 1 ./bin/mm_1d 6 24 6","Local Matrix Multiplication Compute Time: 7.49342e-06 seconds Total Runtime: 2.44062e-05 seconds"
"Implementation 3 (MM-2D)",6,24,6,1,0.000017,0.705882,0.000017,0,"ok","mpirun -np 1 ./bin/mm_2d 6 24 6","MM-2D completed Processes (P): 1 Grid size    : 1 x 1 Matrix sizes : A(6x24), B(24x6), C(6x6) Parallel Time: 0.000017 seconds"
"Implementation 1 (Serial)",6,24,6,4,0.000012,1.000000,0.000012,0,"ok","./bin/mm_serial 6 24 6","Time: 0.000012 seconds"
"Implementation 2 (MM-1D)",6,24,6,4,0.000236,0.050871,0.000944,0,"ok","mpirun -np 4 ./bin/mm_1d 6 24 6","Local Matrix Multiplication Compute Time: 4.4154e-06 seconds Total Runtime: 0.000235892 seconds"
"Implementation 3 (MM-2D)",6,24,6,4,0.000166,0.072289,0.000664,0,"ok","mpirun -np 4 ./bin/mm_2d 6 24 6","MM-2D completed Processes (P): 4 Grid size    : 2 x 2 Matrix sizes : A(6x24), B(24x6), C(6x6) Parallel Time: 0.000166 seconds"
