implementation,m,n,q,p,seconds,speedup,serial_speedup,cost,exit_code,status,command,raw_output
"Implementation 1 (Serial)",600,600,3600,1,1.664199,1.000000,1.000000,1.664199,0,"ok","./bin/mm_serial 600 600 3600","Time: 1.664199 seconds"
"Implementation 2 (MM-1D)",600,600,3600,1,1.461620,1.000000,1.138599,1.461620,0,"ok","mpirun -np 1 ./bin/mm_1d 600 600 3600","Local Matrix Multiplication Compute Time: 1.42479 seconds Total Runtime: 1.46162 seconds"
"Implementation 3 (MM-2D)",600,600,3600,1,1.402003,1.000000,1.187015,1.402003,0,"ok","mpirun -np 1 ./bin/mm_2d 600 600 3600","MM-2D completed Processes (P): 1 Grid size    : 1 x 1 Matrix sizes : A(600x600), B(600x3600), C(600x3600) Parallel Time: 1.402003 seconds"
"Implementation 1 (Serial)",600,600,3600,4,1.664199,1.000000,1.000000,1.664199,0,"ok","./bin/mm_serial 600 600 3600","Time: 1.664199 seconds"
"Implementation 2 (MM-1D)",600,600,3600,4,0.742459,1.968620,2.241469,2.969836,0,"ok","mpirun -np 4 ./bin/mm_1d 600 600 3600","Local Matrix Multiplication Compute Time: 0.693702 seconds Total Runtime: 0.742459 seconds"
"Implementation 3 (MM-2D)",600,600,3600,4,0.400947,3.496729,4.150671,1.603788,0,"ok","mpirun -np 4 ./bin/mm_2d 600 600 3600","MM-2D completed Processes (P): 4 Grid size    : 2 x 2 Matrix sizes : A(600x600), B(600x3600), C(600x3600) Parallel Time: 0.400947 seconds"
"Implementation 1 (Serial)",600,600,3600,9,1.664199,1.000000,1.000000,1.664199,0,"ok","./bin/mm_serial 600 600 3600","Time: 1.664199 seconds"
"Implementation 2 (MM-1D)",600,600,3600,9,0.419076,3.487721,3.971115,3.771684,0,"ok","mpirun -np 9 ./bin/mm_1d 600 600 3600","Local Matrix Multiplication Compute Time: 0.341984 seconds Total Runtime: 0.419076 seconds"
"Implementation 3 (MM-2D)",600,600,3600,9,0.220091,6.370106,7.561413,1.980819,0,"ok","mpirun -np 9 ./bin/mm_2d 600 600 3600","MM-2D completed Processes (P): 9 Grid size    : 3 x 3 Matrix sizes : A(600x600), B(600x3600), C(600x3600) Parallel Time: 0.220091 seconds"
"Implementation 1 (Serial)",600,600,3600,16,1.664199,1.000000,1.000000,1.664199,0,"ok","./bin/mm_serial 600 600 3600","Time: 1.664199 seconds"
"Implementation 2 (MM-1D)",600,600,3600,16,0.323438,4.519011,5.145342,5.175008,0,"ok","mpirun -np 16 ./bin/mm_1d 600 600 3600","Local Matrix Multiplication Compute Time: 0.199749 seconds Total Runtime: 0.323438 seconds"
"Implementation 3 (MM-2D)",600,600,3600,16,0.142964,9.806686,11.640686,2.287424,0,"ok","mpirun -np 16 ./bin/mm_2d 600 600 3600","MM-2D completed Processes (P): 16 Grid size    : 4 x 4 Matrix sizes : A(600x600), B(600x3600), C(600x3600) Parallel Time: 0.142964 seconds"
"Implementation 1 (Serial)",600,600,3600,25,1.664199,1.000000,1.000000,1.664199,0,"ok","./bin/mm_serial 600 600 3600","Time: 1.664199 seconds"
"Implementation 2 (MM-1D)",600,600,3600,25,0.366639,3.986537,4.539067,9.165975,0,"ok","mpirun -np 25 ./bin/mm_1d 600 600 3600","Local Matrix Multiplication Compute Time: 0.172333 seconds Total Runtime: 0.366639 seconds"
"Implementation 3 (MM-2D)",600,600,3600,25,0.151331,9.264480,10.997079,3.783275,0,"ok","mpirun -np 25 ./bin/mm_2d 600 600 3600","MM-2D completed Processes (P): 25 Grid size    : 5 x 5 Matrix sizes : A(600x600), B(600x3600), C(600x3600) Parallel Time: 0.151331 seconds"
