implementation,m,n,q,p,seconds,speedup,cost,exit_code,status,command,raw_output
"Implementation 1 (Serial)",3000,600,2400,1,42.137190,1.000000,42.137190,0,"ok","./bin/mm_serial 3000 600 2400","Time: 42.137190 seconds"
"Implementation 2 (MM-1D)",3000,600,2400,1,33.264000,1.266751,33.264000,0,"ok","mpirun -np 1 ./bin/mm_1d 3000 600 2400","Local Matrix Multiplication Compute Time: 33.072 seconds Total Runtime: 33.264 seconds"
"Implementation 3 (MM-2D)",3000,600,2400,1,33.109037,1.272679,33.109037,0,"ok","mpirun -np 1 ./bin/mm_2d 3000 600 2400","MM-2D completed Processes (P): 1 Grid size    : 1 x 1 Matrix sizes : A(3000x600), B(600x2400), C(3000x2400) Parallel Time: 33.109037 seconds"
"Implementation 1 (Serial)",3000,600,2400,4,42.130786,1.000000,42.130786,0,"ok","./bin/mm_serial 3000 600 2400","Time: 42.130786 seconds"
"Implementation 2 (MM-1D)",3000,600,2400,4,11.680800,3.606841,46.723200,0,"ok","mpirun -np 4 ./bin/mm_1d 3000 600 2400","Local Matrix Multiplication Compute Time: 11.5308 seconds Total Runtime: 11.6808 seconds"
"Implementation 3 (MM-2D)",3000,600,2400,4,25.876893,1.628124,103.507572,0,"ok","mpirun -np 4 ./bin/mm_2d 3000 600 2400","MM-2D completed Processes (P): 4 Grid size    : 2 x 2 Matrix sizes : A(3000x600), B(600x2400), C(3000x2400) Parallel Time: 25.876893 seconds"
"Implementation 1 (Serial)",3000,600,2400,9,42.297396,1.000000,42.297396,0,"ok","./bin/mm_serial 3000 600 2400","Time: 42.297396 seconds"
"Implementation 2 (MM-1D)",3000,600,2400,9,6.161070,6.865268,55.449630,0,"ok","mpirun -np 9 ./bin/mm_1d 3000 600 2400","Local Matrix Multiplication Compute Time: 5.9934 seconds Total Runtime: 6.16107 seconds"
"Implementation 3 (MM-2D)",3000,600,2400,9,29.275990,1.444781,263.483910,0,"ok","mpirun -np 9 ./bin/mm_2d 3000 600 2400","MM-2D completed Processes (P): 9 Grid size    : 3 x 3 Matrix sizes : A(3000x600), B(600x2400), C(3000x2400) Parallel Time: 29.275990 seconds"
"Implementation 1 (Serial)",3000,600,2400,16,42.104476,1.000000,42.104476,0,"ok","./bin/mm_serial 3000 600 2400","Time: 42.104476 seconds"
"Implementation 2 (MM-1D)",3000,600,2400,16,3.778980,11.141757,60.463680,0,"ok","mpirun -np 16 ./bin/mm_1d 3000 600 2400","Local Matrix Multiplication Compute Time: 3.57201 seconds Total Runtime: 3.77898 seconds"
"Implementation 3 (MM-2D)",3000,600,2400,16,33.390891,1.260957,534.254256,0,"ok","mpirun -np 16 ./bin/mm_2d 3000 600 2400","MM-2D completed Processes (P): 16 Grid size    : 4 x 4 Matrix sizes : A(3000x600), B(600x2400), C(3000x2400) Parallel Time: 33.390891 seconds"
"Implementation 1 (Serial)",3000,600,2400,25,42.135804,1.000000,42.135804,0,"ok","./bin/mm_serial 3000 600 2400","Time: 42.135804 seconds"
"Implementation 2 (MM-1D)",3000,600,2400,25,3.916020,10.759854,97.900500,0,"ok","mpirun -np 25 ./bin/mm_1d 3000 600 2400","Local Matrix Multiplication Compute Time: 3.07759 seconds Total Runtime: 3.91602 seconds"
"Implementation 3 (MM-2D)",3000,600,2400,25,49.357097,0.853693,1233.927425,0,"ok","mpirun -np 25 ./bin/mm_2d 3000 600 2400","MM-2D completed Processes (P): 25 Grid size    : 5 x 5 Matrix sizes : A(3000x600), B(600x2400), C(3000x2400) Parallel Time: 49.357097 seconds"
