implementation,m,n,q,p,seconds,speedup,serial_speedup,cost,exit_code,status,command,raw_output
"Implementation 1 (Serial)",1800,1800,3600,1,28.534792,1.000000,1.000000,28.534792,0,"ok","./bin/mm_serial 1800 1800 3600","Time: 28.534792 seconds"
"Implementation 2 (MM-1D)",1800,1800,3600,1,26.279000,1.000000,1.085840,26.279000,0,"ok","mpirun -np 1 ./bin/mm_1d 1800 1800 3600","Local Matrix Multiplication Compute Time: 26.161 seconds Total Runtime: 26.279 seconds"
"Implementation 3 (MM-2D)",1800,1800,3600,1,26.071343,1.000000,1.094489,26.071343,0,"ok","mpirun -np 1 ./bin/mm_2d 1800 1800 3600","MM-2D completed Processes (P): 1 Grid size    : 1 x 1 Matrix sizes : A(1800x1800), B(1800x3600), C(1800x3600) Parallel Time: 26.071343 seconds"
"Implementation 1 (Serial)",1800,1800,3600,4,28.534792,1.000000,1.000000,28.534792,0,"ok","./bin/mm_serial 1800 1800 3600","Time: 28.534792 seconds"
"Implementation 2 (MM-1D)",1800,1800,3600,4,7.150050,3.675359,3.990852,28.600200,0,"ok","mpirun -np 4 ./bin/mm_1d 1800 1800 3600","Local Matrix Multiplication Compute Time: 7.00317 seconds Total Runtime: 7.15005 seconds"
"Implementation 3 (MM-2D)",1800,1800,3600,4,5.656096,4.609424,5.044962,22.624384,0,"ok","mpirun -np 4 ./bin/mm_2d 1800 1800 3600","MM-2D completed Processes (P): 4 Grid size    : 2 x 2 Matrix sizes : A(1800x1800), B(1800x3600), C(1800x3600) Parallel Time: 5.656096 seconds"
"Implementation 1 (Serial)",1800,1800,3600,9,28.534792,1.000000,1.000000,28.534792,0,"ok","./bin/mm_serial 1800 1800 3600","Time: 28.534792 seconds"
"Implementation 2 (MM-1D)",1800,1800,3600,9,3.655400,7.189090,7.806202,32.898600,0,"ok","mpirun -np 9 ./bin/mm_1d 1800 1800 3600","Local Matrix Multiplication Compute Time: 3.36366 seconds Total Runtime: 3.6554 seconds"
"Implementation 3 (MM-2D)",1800,1800,3600,9,3.220565,8.095270,8.860182,28.985085,0,"ok","mpirun -np 9 ./bin/mm_2d 1800 1800 3600","MM-2D completed Processes (P): 9 Grid size    : 3 x 3 Matrix sizes : A(1800x1800), B(1800x3600), C(1800x3600) Parallel Time: 3.220565 seconds"
"Implementation 1 (Serial)",1800,1800,3600,16,28.534792,1.000000,1.000000,28.534792,0,"ok","./bin/mm_serial 1800 1800 3600","Time: 28.534792 seconds"
"Implementation 2 (MM-1D)",1800,1800,3600,16,2.384220,11.022053,11.968187,38.147520,0,"ok","mpirun -np 16 ./bin/mm_1d 1800 1800 3600","Local Matrix Multiplication Compute Time: 2.04722 seconds Total Runtime: 2.38422 seconds"
"Implementation 3 (MM-2D)",1800,1800,3600,16,1.758541,14.825553,16.226401,28.136656,0,"ok","mpirun -np 16 ./bin/mm_2d 1800 1800 3600","MM-2D completed Processes (P): 16 Grid size    : 4 x 4 Matrix sizes : A(1800x1800), B(1800x3600), C(1800x3600) Parallel Time: 1.758541 seconds"
"Implementation 1 (Serial)",1800,1800,3600,25,28.534792,1.000000,1.000000,28.534792,0,"ok","./bin/mm_serial 1800 1800 3600","Time: 28.534792 seconds"
"Implementation 2 (MM-1D)",1800,1800,3600,25,3.291580,7.983704,8.669026,82.289500,0,"ok","mpirun -np 25 ./bin/mm_1d 1800 1800 3600","Local Matrix Multiplication Compute Time: 2.03385 seconds Total Runtime: 3.29158 seconds"
"Implementation 3 (MM-2D)",1800,1800,3600,25,1.931493,13.498026,14.773438,48.287325,0,"ok","mpirun -np 25 ./bin/mm_2d 1800 1800 3600","MM-2D completed Processes (P): 25 Grid size    : 5 x 5 Matrix sizes : A(1800x1800), B(1800x3600), C(1800x3600) Parallel Time: 1.931493 seconds"
