implementation,m,n,q,p,seconds,speedup,serial_speedup,cost,exit_code,status,command,raw_output
"Implementation 1 (Serial)",600,1200,600,1,0.546989,1.000000,1.000000,0.546989,0,"ok","./bin/mm_serial 600 1200 600","Time: 0.546989 seconds"
"Implementation 2 (MM-1D)",600,1200,600,1,0.513984,1.000000,1.064214,0.513984,0,"ok","mpirun -np 1 ./bin/mm_1d 600 1200 600","Local Matrix Multiplication Compute Time: 0.499307 seconds Total Runtime: 0.513984 seconds"
"Implementation 3 (MM-2D)",600,1200,600,1,0.512505,1.000000,1.067285,0.512505,0,"ok","mpirun -np 1 ./bin/mm_2d 600 1200 600","MM-2D completed Processes (P): 1 Grid size    : 1 x 1 Matrix sizes : A(600x1200), B(1200x600), C(600x600) Parallel Time: 0.512505 seconds"
"Implementation 1 (Serial)",600,1200,600,4,0.546989,1.000000,1.000000,0.546989,0,"ok","./bin/mm_serial 600 1200 600","Time: 0.546989 seconds"
"Implementation 2 (MM-1D)",600,1200,600,4,0.155131,3.313226,3.525981,0.620524,0,"ok","mpirun -np 4 ./bin/mm_1d 600 1200 600","Local Matrix Multiplication Compute Time: 0.133233 seconds Total Runtime: 0.155131 seconds"
"Implementation 3 (MM-2D)",600,1200,600,4,0.142973,3.584628,3.825820,0.571892,0,"ok","mpirun -np 4 ./bin/mm_2d 600 1200 600","MM-2D completed Processes (P): 4 Grid size    : 2 x 2 Matrix sizes : A(600x1200), B(1200x600), C(600x600) Parallel Time: 0.142973 seconds"
"Implementation 1 (Serial)",600,1200,600,9,0.546989,1.000000,1.000000,0.546989,0,"ok","./bin/mm_serial 600 1200 600","Time: 0.546989 seconds"
"Implementation 2 (MM-1D)",600,1200,600,9,0.148059,3.471481,3.694399,1.332531,0,"ok","mpirun -np 9 ./bin/mm_1d 600 1200 600","Local Matrix Multiplication Compute Time: 0.113241 seconds Total Runtime: 0.148059 seconds"
"Implementation 3 (MM-2D)",600,1200,600,9,0.080915,6.333869,6.760044,0.728235,0,"ok","mpirun -np 9 ./bin/mm_2d 600 1200 600","MM-2D completed Processes (P): 9 Grid size    : 3 x 3 Matrix sizes : A(600x1200), B(1200x600), C(600x600) Parallel Time: 0.080915 seconds"
"Implementation 1 (Serial)",600,1200,600,16,0.546989,1.000000,1.000000,0.546989,0,"ok","./bin/mm_serial 600 1200 600","Time: 0.546989 seconds"
"Implementation 2 (MM-1D)",600,1200,600,16,0.135789,3.785167,4.028228,2.172624,0,"ok","mpirun -np 16 ./bin/mm_1d 600 1200 600","Local Matrix Multiplication Compute Time: 0.0638062 seconds Total Runtime: 0.135789 seconds"
"Implementation 3 (MM-2D)",600,1200,600,16,0.061420,8.344269,8.905715,0.982720,0,"ok","mpirun -np 16 ./bin/mm_2d 600 1200 600","MM-2D completed Processes (P): 16 Grid size    : 4 x 4 Matrix sizes : A(600x1200), B(1200x600), C(600x600) Parallel Time: 0.061420 seconds"
"Implementation 1 (Serial)",600,1200,600,25,0.546989,1.000000,1.000000,0.546989,0,"ok","./bin/mm_serial 600 1200 600","Time: 0.546989 seconds"
"Implementation 2 (MM-1D)",600,1200,600,25,0.139767,3.677435,3.913578,3.494175,0,"ok","mpirun -np 25 ./bin/mm_1d 600 1200 600","Local Matrix Multiplication Compute Time: 0.0629439 seconds Total Runtime: 0.139767 seconds"
"Implementation 3 (MM-2D)",600,1200,600,25,0.064853,7.902564,8.434290,1.621325,0,"ok","mpirun -np 25 ./bin/mm_2d 600 1200 600","MM-2D completed Processes (P): 25 Grid size    : 5 x 5 Matrix sizes : A(600x1200), B(1200x600), C(600x600) Parallel Time: 0.064853 seconds"
