implementation,m,n,q,p,seconds,speedup,serial_speedup,cost,exit_code,status,command,raw_output
"Implementation 1 (Serial)",4200,3600,1200,1,62.227115,1.000000,1.000000,62.227115,0,"ok","./bin/mm_serial 4200 3600 1200","Time: 62.227115 seconds"
"Implementation 2 (MM-1D)",4200,3600,1200,1,56.930800,1.000000,1.093031,56.930800,0,"ok","mpirun -np 1 ./bin/mm_1d 4200 3600 1200","Local Matrix Multiplication Compute Time: 56.7489 seconds Total Runtime: 56.9308 seconds"
"Implementation 3 (MM-2D)",4200,3600,1200,1,56.955410,1.000000,1.092558,56.955410,0,"ok","mpirun -np 1 ./bin/mm_2d 4200 3600 1200","MM-2D completed Processes (P): 1 Grid size    : 1 x 1 Matrix sizes : A(4200x3600), B(3600x1200), C(4200x1200) Parallel Time: 56.955410 seconds"
"Implementation 1 (Serial)",4200,3600,1200,4,62.227115,1.000000,1.000000,62.227115,0,"ok","./bin/mm_serial 4200 3600 1200","Time: 62.227115 seconds"
"Implementation 2 (MM-1D)",4200,3600,1200,4,15.131200,3.762478,4.112504,60.524800,0,"ok","mpirun -np 4 ./bin/mm_1d 4200 3600 1200","Local Matrix Multiplication Compute Time: 14.9497 seconds Total Runtime: 15.1312 seconds"
"Implementation 3 (MM-2D)",4200,3600,1200,4,5.810551,9.802067,10.709331,23.242204,0,"ok","mpirun -np 4 ./bin/mm_2d 4200 3600 1200","MM-2D completed Processes (P): 4 Grid size    : 2 x 2 Matrix sizes : A(4200x3600), B(3600x1200), C(4200x1200) Parallel Time: 5.810551 seconds"
"Implementation 1 (Serial)",4200,3600,1200,9,62.227115,1.000000,1.000000,62.227115,0,"ok","./bin/mm_serial 4200 3600 1200","Time: 62.227115 seconds"
"Implementation 2 (MM-1D)",4200,3600,1200,9,7.510630,7.580030,8.285206,67.595670,0,"ok","mpirun -np 9 ./bin/mm_1d 4200 3600 1200","Local Matrix Multiplication Compute Time: 7.23194 seconds Total Runtime: 7.51063 seconds"
"Implementation 3 (MM-2D)",4200,3600,1200,9,3.415201,16.677030,18.220630,30.736809,0,"ok","mpirun -np 9 ./bin/mm_2d 4200 3600 1200","MM-2D completed Processes (P): 9 Grid size    : 3 x 3 Matrix sizes : A(4200x3600), B(3600x1200), C(4200x1200) Parallel Time: 3.415201 seconds"
"Implementation 1 (Serial)",4200,3600,1200,16,62.227115,1.000000,1.000000,62.227115,0,"ok","./bin/mm_serial 4200 3600 1200","Time: 62.227115 seconds"
"Implementation 2 (MM-1D)",4200,3600,1200,16,4.616390,12.332320,13.479605,73.862240,0,"ok","mpirun -np 16 ./bin/mm_1d 4200 3600 1200","Local Matrix Multiplication Compute Time: 4.29139 seconds Total Runtime: 4.61639 seconds"
"Implementation 3 (MM-2D)",4200,3600,1200,16,2.189303,26.015316,28.423254,35.028848,0,"ok","mpirun -np 16 ./bin/mm_2d 4200 3600 1200","MM-2D completed Processes (P): 16 Grid size    : 4 x 4 Matrix sizes : A(4200x3600), B(3600x1200), C(4200x1200) Parallel Time: 2.189303 seconds"
"Implementation 1 (Serial)",4200,3600,1200,25,62.227115,1.000000,1.000000,62.227115,0,"ok","./bin/mm_serial 4200 3600 1200","Time: 62.227115 seconds"
"Implementation 2 (MM-1D)",4200,3600,1200,25,5.288240,10.765548,11.767075,132.206000,0,"ok","mpirun -np 25 ./bin/mm_1d 4200 3600 1200","Local Matrix Multiplication Compute Time: 3.49348 seconds Total Runtime: 5.28824 seconds"
"Implementation 3 (MM-2D)",4200,3600,1200,25,2.471399,23.045817,25.178903,61.784975,0,"ok","mpirun -np 25 ./bin/mm_2d 4200 3600 1200","MM-2D completed Processes (P): 25 Grid size    : 5 x 5 Matrix sizes : A(4200x3600), B(3600x1200), C(4200x1200) Parallel Time: 2.471399 seconds"
