implementation,m,n,q,p,seconds,speedup,cost,exit_code,status,command,raw_output
"Implementation 1 (Serial)",6,24,18,1,0.000074,1.000000,0.000074,0,"ok","./bin/mm_serial 6 24 18","Time: 0.000074 seconds"
"Implementation 2 (MM-1D)",6,24,18,1,0.000048,1.545673,0.000048,0,"ok","mpirun -np 1 ./bin/mm_1d 6 24 18","Local Matrix Multiplication Compute Time: 2.27606e-05 seconds Total Runtime: 4.78756e-05 seconds"
"Implementation 3 (MM-2D)",6,24,18,1,0.000036,2.055556,0.000036,0,"ok","mpirun -np 1 ./bin/mm_2d 6 24 18","MM-2D completed Processes (P): 1 Grid size    : 1 x 1 Matrix sizes : A(6x24), B(24x18), C(6x18) Parallel Time: 0.000036 seconds"
"Implementation 1 (Serial)",6,24,18,4,0.000045,1.000000,0.000045,0,"ok","./bin/mm_serial 6 24 18","Time: 0.000045 seconds"
"Implementation 2 (MM-1D)",6,24,18,4,0.000168,0.268601,0.000670,0,"ok","mpirun -np 4 ./bin/mm_1d 6 24 18","Local Matrix Multiplication Compute Time: 8.75816e-06 seconds Total Runtime: 0.000167535 seconds"
"Implementation 3 (MM-2D)",6,24,18,4,0.000203,0.221675,0.000812,0,"ok","mpirun -np 4 ./bin/mm_2d 6 24 18","MM-2D completed Processes (P): 4 Grid size    : 2 x 2 Matrix sizes : A(6x24), B(24x18), C(6x18) Parallel Time: 0.000203 seconds"
"Implementation 1 (Serial)",6,24,18,9,0.000045,1.000000,0.000045,0,"ok","./bin/mm_serial 6 24 18","Time: 0.000045 seconds"
"Implementation 2 (MM-1D)",6,24,18,9,0.000293,0.153783,0.002634,0,"ok","mpirun -np 9 ./bin/mm_1d 6 24 18","Local Matrix Multiplication Compute Time: 4.51971e-06 seconds Total Runtime: 0.000292621 seconds"
"Implementation 3 (MM-2D)",6,24,18,9,0.000346,0.130058,0.003114,0,"ok","mpirun -np 9 ./bin/mm_2d 6 24 18","MM-2D completed Processes (P): 9 Grid size    : 3 x 3 Matrix sizes : A(6x24), B(24x18), C(6x18) Parallel Time: 0.000346 seconds"
