implementation,m,n,q,p,seconds,speedup,cost,exit_code,status,command,raw_output
"Implementation 1 (Serial)",18,12,24,1,0.000109,1.000000,0.000109,0,"ok","./bin/mm_serial 18 12 24","Time: 0.000109 seconds"
"Implementation 2 (MM-1D)",18,12,24,1,0.000066,1.657994,0.000066,0,"ok","mpirun -np 1 ./bin/mm_1d 18 12 24","Local Matrix Multiplication Compute Time: 3.83873e-05 seconds Total Runtime: 6.57421e-05 seconds"
"Implementation 3 (MM-2D)",18,12,24,1,0.000060,1.816667,0.000060,0,"ok","mpirun -np 1 ./bin/mm_2d 18 12 24","MM-2D completed Processes (P): 1 Grid size    : 1 x 1 Matrix sizes : A(18x12), B(12x24), C(18x24) Parallel Time: 0.000060 seconds"
"Implementation 1 (Serial)",18,12,24,4,0.000100,1.000000,0.000100,0,"ok","./bin/mm_serial 18 12 24","Time: 0.000100 seconds"
"Implementation 2 (MM-1D)",18,12,24,4,0.000217,0.461740,0.000866,0,"ok","mpirun -np 4 ./bin/mm_1d 18 12 24","Local Matrix Multiplication Compute Time: 1.41189e-05 seconds Total Runtime: 0.000216572 seconds"
"Implementation 3 (MM-2D)",18,12,24,4,0.000212,0.471698,0.000848,0,"ok","mpirun -np 4 ./bin/mm_2d 18 12 24","MM-2D completed Processes (P): 4 Grid size    : 2 x 2 Matrix sizes : A(18x12), B(12x24), C(18x24) Parallel Time: 0.000212 seconds"
"Implementation 1 (Serial)",18,12,24,9,0.000100,1.000000,0.000100,0,"ok","./bin/mm_serial 18 12 24","Time: 0.000100 seconds"
"Implementation 2 (MM-1D)",18,12,24,9,0.000313,0.319098,0.002820,0,"ok","mpirun -np 9 ./bin/mm_1d 18 12 24","Local Matrix Multiplication Compute Time: 5.80028e-06 seconds Total Runtime: 0.000313383 seconds"
"Implementation 3 (MM-2D)",18,12,24,9,0.000355,0.281690,0.003195,0,"ok","mpirun -np 9 ./bin/mm_2d 18 12 24","MM-2D completed Processes (P): 9 Grid size    : 3 x 3 Matrix sizes : A(18x12), B(12x24), C(18x24) Parallel Time: 0.000355 seconds"
