implementation,m,n,q,p,seconds,speedup,cost,exit_code,status,command,raw_output
"Implementation 1 (Serial)",12,12,6,1,0.000013,1.000000,0.000013,0,"ok","./bin/mm_serial 12 12 6","Time: 0.000013 seconds"
"Implementation 2 (MM-1D)",12,12,6,1,0.000034,0.380386,0.000034,0,"ok","mpirun -np 1 ./bin/mm_1d 12 12 6","Local Matrix Multiplication Compute Time: 1.05612e-05 seconds Total Runtime: 3.41758e-05 seconds"
"Implementation 3 (MM-2D)",12,12,6,1,0.000018,0.722222,0.000018,0,"ok","mpirun -np 1 ./bin/mm_2d 12 12 6","MM-2D completed Processes (P): 1 Grid size    : 1 x 1 Matrix sizes : A(12x12), B(12x6), C(12x6) Parallel Time: 0.000018 seconds"
"Implementation 1 (Serial)",12,12,6,4,0.000011,1.000000,0.000011,0,"ok","./bin/mm_serial 12 12 6","Time: 0.000011 seconds"
"Implementation 2 (MM-1D)",12,12,6,4,0.000231,0.047653,0.000923,0,"ok","mpirun -np 4 ./bin/mm_1d 12 12 6","Local Matrix Multiplication Compute Time: 3.43006e-06 seconds Total Runtime: 0.000230836 seconds"
"Implementation 3 (MM-2D)",12,12,6,4,0.000195,0.056410,0.000780,0,"ok","mpirun -np 4 ./bin/mm_2d 12 12 6","MM-2D completed Processes (P): 4 Grid size    : 2 x 2 Matrix sizes : A(12x12), B(12x6), C(12x6) Parallel Time: 0.000195 seconds"
