implementation,m,n,q,p,seconds,speedup,cost,exit_code,status,command,raw_output
"Implementation 1 (Serial)",12,6,24,1,0.000035,1.000000,0.000035,0,"ok","./bin/mm_serial 12 6 24","Time: 0.000035 seconds"
"Implementation 2 (MM-1D)",12,6,24,1,0.000030,1.180713,0.000030,0,"ok","mpirun -np 1 ./bin/mm_1d 12 6 24","Local Matrix Multiplication Compute Time: 1.35759e-05 seconds Total Runtime: 2.96431e-05 seconds"
"Implementation 3 (MM-2D)",12,6,24,1,0.000021,1.666667,0.000021,0,"ok","mpirun -np 1 ./bin/mm_2d 12 6 24","MM-2D completed Processes (P): 1 Grid size    : 1 x 1 Matrix sizes : A(12x6), B(6x24), C(12x24) Parallel Time: 0.000021 seconds"
"Implementation 1 (Serial)",12,6,24,4,0.000031,1.000000,0.000031,0,"ok","./bin/mm_serial 12 6 24","Time: 0.000031 seconds"
"Implementation 2 (MM-1D)",12,6,24,4,0.000180,0.172587,0.000718,0,"ok","mpirun -np 4 ./bin/mm_1d 12 6 24","Local Matrix Multiplication Compute Time: 4.49363e-06 seconds Total Runtime: 0.00017962 seconds"
"Implementation 3 (MM-2D)",12,6,24,4,0.000161,0.192547,0.000644,0,"ok","mpirun -np 4 ./bin/mm_2d 12 6 24","MM-2D completed Processes (P): 4 Grid size    : 2 x 2 Matrix sizes : A(12x6), B(6x24), C(12x24) Parallel Time: 0.000161 seconds"
"Implementation 1 (Serial)",12,6,24,9,0.000034,1.000000,0.000034,0,"ok","./bin/mm_serial 12 6 24","Time: 0.000034 seconds"
"Implementation 2 (MM-1D)",12,6,24,9,0.000277,0.122742,0.002493,0,"ok","mpirun -np 9 ./bin/mm_1d 12 6 24","Local Matrix Multiplication Compute Time: 3.23262e-06 seconds Total Runtime: 0.000277003 seconds"
"Implementation 3 (MM-2D)",12,6,24,9,0.000296,0.114865,0.002664,0,"ok","mpirun -np 9 ./bin/mm_2d 12 6 24","MM-2D completed Processes (P): 9 Grid size    : 3 x 3 Matrix sizes : A(12x6), B(6x24), C(12x24) Parallel Time: 0.000296 seconds"
