implementation,m,n,q,p,seconds,speedup,cost,exit_code,status,command,raw_output
"Implementation 1 (Serial)",18,6,12,1,0.000027,1.000000,0.000027,0,"ok","./bin/mm_serial 18 6 12","Time: 0.000027 seconds"
"Implementation 2 (MM-1D)",18,6,12,1,0.000033,0.811688,0.000033,0,"ok","mpirun -np 1 ./bin/mm_1d 18 6 12","Local Matrix Multiplication Compute Time: 1.34511e-05 seconds Total Runtime: 3.3264e-05 seconds"
"Implementation 3 (MM-2D)",18,6,12,1,0.000017,1.588235,0.000017,0,"ok","mpirun -np 1 ./bin/mm_2d 18 6 12","MM-2D completed Processes (P): 1 Grid size    : 1 x 1 Matrix sizes : A(18x6), B(6x12), C(18x12) Parallel Time: 0.000017 seconds"
"Implementation 1 (Serial)",18,6,12,4,0.000025,1.000000,0.000025,0,"ok","./bin/mm_serial 18 6 12","Time: 0.000025 seconds"
"Implementation 2 (MM-1D)",18,6,12,4,0.000154,0.162678,0.000615,0,"ok","mpirun -np 4 ./bin/mm_1d 18 6 12","Local Matrix Multiplication Compute Time: 3.93577e-06 seconds Total Runtime: 0.000153678 seconds"
"Implementation 3 (MM-2D)",18,6,12,4,0.000176,0.142045,0.000704,0,"ok","mpirun -np 4 ./bin/mm_2d 18 6 12","MM-2D completed Processes (P): 4 Grid size    : 2 x 2 Matrix sizes : A(18x6), B(6x12), C(18x12) Parallel Time: 0.000176 seconds"
"Implementation 1 (Serial)",18,6,12,9,0.000024,1.000000,0.000024,0,"ok","./bin/mm_serial 18 6 12","Time: 0.000024 seconds"
"Implementation 2 (MM-1D)",18,6,12,9,0.000256,0.093789,0.002303,0,"ok","mpirun -np 9 ./bin/mm_1d 18 6 12","Local Matrix Multiplication Compute Time: 2.16346e-06 seconds Total Runtime: 0.000255893 seconds"
"Implementation 3 (MM-2D)",18,6,12,9,0.000289,0.083045,0.002601,0,"ok","mpirun -np 9 ./bin/mm_2d 18 6 12","MM-2D completed Processes (P): 9 Grid size    : 3 x 3 Matrix sizes : A(18x6), B(6x12), C(18x12) Parallel Time: 0.000289 seconds"
