implementation,m,n,q,p,seconds,speedup,serial_speedup,cost,exit_code,status,command,raw_output
"Implementation 1 (Serial)",3000,3600,3000,1,78.742556,1.000000,1.000000,78.742556,0,"ok","./bin/mm_serial 3000 3600 3000","Time: 78.742556 seconds"
"Implementation 2 (MM-1D)",3000,3600,3000,1,72.451800,1.000000,1.086827,72.451800,0,"ok","mpirun -np 1 ./bin/mm_1d 3000 3600 3000","Local Matrix Multiplication Compute Time: 72.2359 seconds Total Runtime: 72.4518 seconds"
"Implementation 3 (MM-2D)",3000,3600,3000,1,72.346011,1.000000,1.088416,72.346011,0,"ok","mpirun -np 1 ./bin/mm_2d 3000 3600 3000","MM-2D completed Processes (P): 1 Grid size    : 1 x 1 Matrix sizes : A(3000x3600), B(3600x3000), C(3000x3000) Parallel Time: 72.346011 seconds"
"Implementation 1 (Serial)",3000,3600,3000,4,78.742556,1.000000,1.000000,78.742556,0,"ok","./bin/mm_serial 3000 3600 3000","Time: 78.742556 seconds"
"Implementation 2 (MM-1D)",3000,3600,3000,4,19.206900,3.772176,4.099701,76.827600,0,"ok","mpirun -np 4 ./bin/mm_1d 3000 3600 3000","Local Matrix Multiplication Compute Time: 18.9398 seconds Total Runtime: 19.2069 seconds"
"Implementation 3 (MM-2D)",3000,3600,3000,4,18.348250,3.942938,4.291557,73.393000,0,"ok","mpirun -np 4 ./bin/mm_2d 3000 3600 3000","MM-2D completed Processes (P): 4 Grid size    : 2 x 2 Matrix sizes : A(3000x3600), B(3600x3000), C(3000x3000) Parallel Time: 18.348250 seconds"
"Implementation 1 (Serial)",3000,3600,3000,9,78.742556,1.000000,1.000000,78.742556,0,"ok","./bin/mm_serial 3000 3600 3000","Time: 78.742556 seconds"
"Implementation 2 (MM-1D)",3000,3600,3000,9,9.636640,7.518367,8.171163,86.729760,0,"ok","mpirun -np 9 ./bin/mm_1d 3000 3600 3000","Local Matrix Multiplication Compute Time: 9.25011 seconds Total Runtime: 9.63664 seconds"
"Implementation 3 (MM-2D)",3000,3600,3000,9,8.794845,8.225956,8.953263,79.153605,0,"ok","mpirun -np 9 ./bin/mm_2d 3000 3600 3000","MM-2D completed Processes (P): 9 Grid size    : 3 x 3 Matrix sizes : A(3000x3600), B(3600x3000), C(3000x3000) Parallel Time: 8.794845 seconds"
"Implementation 1 (Serial)",3000,3600,3000,16,78.742556,1.000000,1.000000,78.742556,0,"ok","./bin/mm_serial 3000 3600 3000","Time: 78.742556 seconds"
"Implementation 2 (MM-1D)",3000,3600,3000,16,6.248700,11.594700,12.601430,99.979200,0,"ok","mpirun -np 16 ./bin/mm_1d 3000 3600 3000","Local Matrix Multiplication Compute Time: 5.67558 seconds Total Runtime: 6.2487 seconds"
"Implementation 3 (MM-2D)",3000,3600,3000,16,6.099521,11.860933,12.909629,97.592336,0,"ok","mpirun -np 16 ./bin/mm_2d 3000 3600 3000","MM-2D completed Processes (P): 16 Grid size    : 4 x 4 Matrix sizes : A(3000x3600), B(3600x3000), C(3000x3000) Parallel Time: 6.099521 seconds"
"Implementation 1 (Serial)",3000,3600,3000,25,78.742556,1.000000,1.000000,78.742556,0,"ok","./bin/mm_serial 3000 3600 3000","Time: 78.742556 seconds"
"Implementation 2 (MM-1D)",3000,3600,3000,25,8.602070,8.422601,9.153908,215.051750,0,"ok","mpirun -np 25 ./bin/mm_1d 3000 3600 3000","Local Matrix Multiplication Compute Time: 7.5303 seconds Total Runtime: 8.60207 seconds"
"Implementation 3 (MM-2D)",3000,3600,3000,25,5.706484,12.677861,13.798787,142.662100,0,"ok","mpirun -np 25 ./bin/mm_2d 3000 3600 3000","MM-2D completed Processes (P): 25 Grid size    : 5 x 5 Matrix sizes : A(3000x3600), B(3600x3000), C(3000x3000) Parallel Time: 5.706484 seconds"
