implementation,m,n,q,p,seconds,speedup,cost,exit_code,status,command,raw_output
"Implementation 1 (Serial)",5,6,8,1,0.000008,1.000000,0.000008,0,"ok","./bin/mm_serial 5 6 8","Time: 0.000008 seconds"
"Implementation 2 (MM-1D)",5,6,8,1,-,-,-,32512,"failed","mpirun -np 1 ./bin/mm_1d 5 6 8","sh: mpirun: command not found"
"Implementation 3 (MM-2D)",5,6,8,1,-,-,-,32512,"failed","mpirun -np 1 ./bin/mm_2d 5 6 8","sh: mpirun: command not found"
"Implementation 1 (Serial)",5,6,8,4,0.000008,1.000000,0.000008,0,"ok","./bin/mm_serial 5 6 8","Time: 0.000008 seconds"
"Implementation 2 (MM-1D)",5,6,8,4,-,-,-,32512,"failed","mpirun -np 4 ./bin/mm_1d 5 6 8","sh: mpirun: command not found"
"Implementation 3 (MM-2D)",5,6,8,4,-,-,-,32512,"failed","mpirun -np 4 ./bin/mm_2d 5 6 8","sh: mpirun: command not found"
"Implementation 1 (Serial)",5,6,8,9,0.000008,1.000000,0.000008,0,"ok","./bin/mm_serial 5 6 8","Time: 0.000008 seconds"
"Implementation 2 (MM-1D)",5,6,8,9,-,-,-,32512,"failed","mpirun -np 9 ./bin/mm_1d 5 6 8","sh: mpirun: command not found"
"Implementation 3 (MM-2D)",5,6,8,9,-,-,-,32512,"failed","mpirun -np 9 ./bin/mm_2d 5 6 8","sh: mpirun: command not found"
