implementation,m,n,q,p,seconds,speedup,serial_speedup,cost,exit_code,status,command,raw_output
"Implementation 1 (Serial)",600,3000,3600,1,20.722367,1.000000,1.000000,20.722367,0,"ok","./bin/mm_serial 600 3000 3600","Time: 20.722367 seconds"
"Implementation 2 (MM-1D)",600,3000,3600,1,20.536200,1.000000,1.009065,20.536200,0,"ok","mpirun -np 1 ./bin/mm_1d 600 3000 3600","Local Matrix Multiplication Compute Time: 20.4399 seconds Total Runtime: 20.5362 seconds"
"Implementation 3 (MM-2D)",600,3000,3600,1,20.525437,1.000000,1.009594,20.525437,0,"ok","mpirun -np 1 ./bin/mm_2d 600 3000 3600","MM-2D completed Processes (P): 1 Grid size    : 1 x 1 Matrix sizes : A(600x3000), B(3000x3600), C(600x3600) Parallel Time: 20.525437 seconds"
"Implementation 1 (Serial)",600,3000,3600,4,20.722367,1.000000,1.000000,20.722367,0,"ok","./bin/mm_serial 600 3000 3600","Time: 20.722367 seconds"
"Implementation 2 (MM-1D)",600,3000,3600,4,5.485480,3.743738,3.777676,21.941920,0,"ok","mpirun -np 4 ./bin/mm_1d 600 3000 3600","Local Matrix Multiplication Compute Time: 5.32629 seconds Total Runtime: 5.48548 seconds"
"Implementation 3 (MM-2D)",600,3000,3600,4,3.653934,5.617353,5.671248,14.615736,0,"ok","mpirun -np 4 ./bin/mm_2d 600 3000 3600","MM-2D completed Processes (P): 4 Grid size    : 2 x 2 Matrix sizes : A(600x3000), B(3000x3600), C(600x3600) Parallel Time: 3.653934 seconds"
"Implementation 1 (Serial)",600,3000,3600,9,20.722367,1.000000,1.000000,20.722367,0,"ok","./bin/mm_serial 600 3000 3600","Time: 20.722367 seconds"
"Implementation 2 (MM-1D)",600,3000,3600,9,2.899430,7.082840,7.147049,26.094870,0,"ok","mpirun -np 9 ./bin/mm_1d 600 3000 3600","Local Matrix Multiplication Compute Time: 2.61501 seconds Total Runtime: 2.89943 seconds"
"Implementation 3 (MM-2D)",600,3000,3600,9,1.898489,10.811460,10.915189,17.086401,0,"ok","mpirun -np 9 ./bin/mm_2d 600 3000 3600","MM-2D completed Processes (P): 9 Grid size    : 3 x 3 Matrix sizes : A(600x3000), B(3000x3600), C(600x3600) Parallel Time: 1.898489 seconds"
"Implementation 1 (Serial)",600,3000,3600,16,20.722367,1.000000,1.000000,20.722367,0,"ok","./bin/mm_serial 600 3000 3600","Time: 20.722367 seconds"
"Implementation 2 (MM-1D)",600,3000,3600,16,2.014000,10.196723,10.289159,32.224000,0,"ok","mpirun -np 16 ./bin/mm_1d 600 3000 3600","Local Matrix Multiplication Compute Time: 1.5334 seconds Total Runtime: 2.014 seconds"
"Implementation 3 (MM-2D)",600,3000,3600,16,1.163335,17.643617,17.812897,18.613360,0,"ok","mpirun -np 16 ./bin/mm_2d 600 3000 3600","MM-2D completed Processes (P): 16 Grid size    : 4 x 4 Matrix sizes : A(600x3000), B(3000x3600), C(600x3600) Parallel Time: 1.163335 seconds"
"Implementation 1 (Serial)",600,3000,3600,25,20.722367,1.000000,1.000000,20.722367,0,"ok","./bin/mm_serial 600 3000 3600","Time: 20.722367 seconds"
"Implementation 2 (MM-1D)",600,3000,3600,25,2.457430,8.356779,8.432536,61.435750,0,"ok","mpirun -np 25 ./bin/mm_1d 600 3000 3600","Local Matrix Multiplication Compute Time: 1.44438 seconds Total Runtime: 2.45743 seconds"
"Implementation 3 (MM-2D)",600,3000,3600,25,1.244678,16.490560,16.648777,31.116950,0,"ok","mpirun -np 25 ./bin/mm_2d 600 3000 3600","MM-2D completed Processes (P): 25 Grid size    : 5 x 5 Matrix sizes : A(600x3000), B(3000x3600), C(600x3600) Parallel Time: 1.244678 seconds"
