implementation,m,n,q,p,seconds,speedup,serial_speedup,cost,exit_code,status,command,raw_output
"Implementation 1 (Serial)",1200,3000,3000,1,24.271415,1.000000,1.000000,24.271415,0,"ok","./bin/mm_serial 1200 3000 3000","Time: 24.271415 seconds"
"Implementation 2 (MM-1D)",1200,3000,3000,1,23.196800,1.000000,1.046326,23.196800,0,"ok","mpirun -np 1 ./bin/mm_1d 1200 3000 3000","Local Matrix Multiplication Compute Time: 23.0854 seconds Total Runtime: 23.1968 seconds"
"Implementation 3 (MM-2D)",1200,3000,3000,1,23.187339,1.000000,1.046753,23.187339,0,"ok","mpirun -np 1 ./bin/mm_2d 1200 3000 3000","MM-2D completed Processes (P): 1 Grid size    : 1 x 1 Matrix sizes : A(1200x3000), B(3000x3000), C(1200x3000) Parallel Time: 23.187339 seconds"
"Implementation 1 (Serial)",1200,3000,3000,4,24.271415,1.000000,1.000000,24.271415,0,"ok","./bin/mm_serial 1200 3000 3000","Time: 24.271415 seconds"
"Implementation 2 (MM-1D)",1200,3000,3000,4,6.221570,3.728448,3.901172,24.886280,0,"ok","mpirun -np 4 ./bin/mm_1d 1200 3000 3000","Local Matrix Multiplication Compute Time: 6.06128 seconds Total Runtime: 6.22157 seconds"
"Implementation 3 (MM-2D)",1200,3000,3000,4,6.057872,3.827638,4.006591,24.231488,0,"ok","mpirun -np 4 ./bin/mm_2d 1200 3000 3000","MM-2D completed Processes (P): 4 Grid size    : 2 x 2 Matrix sizes : A(1200x3000), B(3000x3000), C(1200x3000) Parallel Time: 6.057872 seconds"
"Implementation 1 (Serial)",1200,3000,3000,9,24.271415,1.000000,1.000000,24.271415,0,"ok","./bin/mm_serial 1200 3000 3000","Time: 24.271415 seconds"
"Implementation 2 (MM-1D)",1200,3000,3000,9,3.245610,7.147131,7.478229,29.210490,0,"ok","mpirun -np 9 ./bin/mm_1d 1200 3000 3000","Local Matrix Multiplication Compute Time: 2.96686 seconds Total Runtime: 3.24561 seconds"
"Implementation 3 (MM-2D)",1200,3000,3000,9,3.040323,7.626604,7.983170,27.362907,0,"ok","mpirun -np 9 ./bin/mm_2d 1200 3000 3000","MM-2D completed Processes (P): 9 Grid size    : 3 x 3 Matrix sizes : A(1200x3000), B(3000x3000), C(1200x3000) Parallel Time: 3.040323 seconds"
"Implementation 1 (Serial)",1200,3000,3000,16,24.271415,1.000000,1.000000,24.271415,0,"ok","./bin/mm_serial 1200 3000 3000","Time: 24.271415 seconds"
"Implementation 2 (MM-1D)",1200,3000,3000,16,2.212170,10.485993,10.971768,35.394720,0,"ok","mpirun -np 16 ./bin/mm_1d 1200 3000 3000","Local Matrix Multiplication Compute Time: 1.77788 seconds Total Runtime: 2.21217 seconds"
"Implementation 3 (MM-2D)",1200,3000,3000,16,2.061254,11.249142,11.775072,32.980064,0,"ok","mpirun -np 16 ./bin/mm_2d 1200 3000 3000","MM-2D completed Processes (P): 16 Grid size    : 4 x 4 Matrix sizes : A(1200x3000), B(3000x3000), C(1200x3000) Parallel Time: 2.061254 seconds"
"Implementation 1 (Serial)",1200,3000,3000,25,24.271415,1.000000,1.000000,24.271415,0,"ok","./bin/mm_serial 1200 3000 3000","Time: 24.271415 seconds"
"Implementation 2 (MM-1D)",1200,3000,3000,25,3.094030,7.497277,7.844596,77.350750,0,"ok","mpirun -np 25 ./bin/mm_1d 1200 3000 3000","Local Matrix Multiplication Compute Time: 2.38056 seconds Total Runtime: 3.09403 seconds"
"Implementation 3 (MM-2D)",1200,3000,3000,25,1.831996,12.656872,13.248618,45.799900,0,"ok","mpirun -np 25 ./bin/mm_2d 1200 3000 3000","MM-2D completed Processes (P): 25 Grid size    : 5 x 5 Matrix sizes : A(1200x3000), B(3000x3000), C(1200x3000) Parallel Time: 1.831996 seconds"
