implementation,m,n,q,p,seconds,speedup,serial_speedup,cost,exit_code,status,command,raw_output
"Implementation 1 (Serial)",1200,600,600,1,0.569793,1.000000,1.000000,0.569793,0,"ok","./bin/mm_serial 1200 600 600","Time: 0.569793 seconds"
"Implementation 2 (MM-1D)",1200,600,600,1,0.522219,1.000000,1.091100,0.522219,0,"ok","mpirun -np 1 ./bin/mm_1d 1200 600 600","Local Matrix Multiplication Compute Time: 0.505612 seconds Total Runtime: 0.522219 seconds"
"Implementation 3 (MM-2D)",1200,600,600,1,0.503217,1.000000,1.132301,0.503217,0,"ok","mpirun -np 1 ./bin/mm_2d 1200 600 600","MM-2D completed Processes (P): 1 Grid size    : 1 x 1 Matrix sizes : A(1200x600), B(600x600), C(1200x600) Parallel Time: 0.503217 seconds"
"Implementation 1 (Serial)",1200,600,600,4,0.569793,1.000000,1.000000,0.569793,0,"ok","./bin/mm_serial 1200 600 600","Time: 0.569793 seconds"
"Implementation 2 (MM-1D)",1200,600,600,4,0.151281,3.451980,3.766454,0.605124,0,"ok","mpirun -np 4 ./bin/mm_1d 1200 600 600","Local Matrix Multiplication Compute Time: 0.132377 seconds Total Runtime: 0.151281 seconds"
"Implementation 3 (MM-2D)",1200,600,600,4,0.130314,3.861573,4.372462,0.521256,0,"ok","mpirun -np 4 ./bin/mm_2d 1200 600 600","MM-2D completed Processes (P): 4 Grid size    : 2 x 2 Matrix sizes : A(1200x600), B(600x600), C(1200x600) Parallel Time: 0.130314 seconds"
"Implementation 1 (Serial)",1200,600,600,9,0.569793,1.000000,1.000000,0.569793,0,"ok","./bin/mm_serial 1200 600 600","Time: 0.569793 seconds"
"Implementation 2 (MM-1D)",1200,600,600,9,0.094604,5.520035,6.022908,0.851439,0,"ok","mpirun -np 9 ./bin/mm_1d 1200 600 600","Local Matrix Multiplication Compute Time: 0.0711661 seconds Total Runtime: 0.0946043 seconds"
"Implementation 3 (MM-2D)",1200,600,600,9,0.076596,6.569756,7.438939,0.689364,0,"ok","mpirun -np 9 ./bin/mm_2d 1200 600 600","MM-2D completed Processes (P): 9 Grid size    : 3 x 3 Matrix sizes : A(1200x600), B(600x600), C(1200x600) Parallel Time: 0.076596 seconds"
"Implementation 1 (Serial)",1200,600,600,16,0.569793,1.000000,1.000000,0.569793,0,"ok","./bin/mm_serial 1200 600 600","Time: 0.569793 seconds"
"Implementation 2 (MM-1D)",1200,600,600,16,0.099715,5.237137,5.714238,1.595434,0,"ok","mpirun -np 16 ./bin/mm_1d 1200 600 600","Local Matrix Multiplication Compute Time: 0.0583753 seconds Total Runtime: 0.0997146 seconds"
"Implementation 3 (MM-2D)",1200,600,600,16,0.063922,7.872360,8.913879,1.022752,0,"ok","mpirun -np 16 ./bin/mm_2d 1200 600 600","MM-2D completed Processes (P): 16 Grid size    : 4 x 4 Matrix sizes : A(1200x600), B(600x600), C(1200x600) Parallel Time: 0.063922 seconds"
"Implementation 1 (Serial)",1200,600,600,25,0.569793,1.000000,1.000000,0.569793,0,"ok","./bin/mm_serial 1200 600 600","Time: 0.569793 seconds"
"Implementation 2 (MM-1D)",1200,600,600,25,0.113303,4.609048,5.028931,2.832575,0,"ok","mpirun -np 25 ./bin/mm_1d 1200 600 600","Local Matrix Multiplication Compute Time: 0.031052 seconds Total Runtime: 0.113303 seconds"
"Implementation 3 (MM-2D)",1200,600,600,25,0.053026,9.490005,10.745540,1.325650,0,"ok","mpirun -np 25 ./bin/mm_2d 1200 600 600","MM-2D completed Processes (P): 25 Grid size    : 5 x 5 Matrix sizes : A(1200x600), B(600x600), C(1200x600) Parallel Time: 0.053026 seconds"
