implementation,m,n,q,p,seconds,speedup,cost,exit_code,status,command,raw_output
"Implementation 1 (Serial)",24,12,24,1,0.000145,1.000000,0.000145,0,"ok","./bin/mm_serial 24 12 24","Time: 0.000145 seconds"
"Implementation 2 (MM-1D)",24,12,24,1,0.000112,1.297644,0.000112,0,"ok","mpirun -np 1 ./bin/mm_1d 24 12 24","Local Matrix Multiplication Compute Time: 7.45924e-05 seconds Total Runtime: 0.000111741 seconds"
"Implementation 3 (MM-2D)",24,12,24,1,0.000077,1.883117,0.000077,0,"ok","mpirun -np 1 ./bin/mm_2d 24 12 24","MM-2D completed Processes (P): 1 Grid size    : 1 x 1 Matrix sizes : A(24x12), B(12x24), C(24x24) Parallel Time: 0.000077 seconds"
"Implementation 1 (Serial)",24,12,24,4,0.000128,1.000000,0.000128,0,"ok","./bin/mm_serial 24 12 24","Time: 0.000128 seconds"
"Implementation 2 (MM-1D)",24,12,24,4,0.000206,0.622532,0.000822,0,"ok","mpirun -np 4 ./bin/mm_1d 24 12 24","Local Matrix Multiplication Compute Time: 1.68765e-05 seconds Total Runtime: 0.000205612 seconds"
"Implementation 3 (MM-2D)",24,12,24,4,0.000218,0.587156,0.000872,0,"ok","mpirun -np 4 ./bin/mm_2d 24 12 24","MM-2D completed Processes (P): 4 Grid size    : 2 x 2 Matrix sizes : A(24x12), B(12x24), C(24x24) Parallel Time: 0.000218 seconds"
"Implementation 1 (Serial)",24,12,24,9,0.000143,1.000000,0.000143,0,"ok","./bin/mm_serial 24 12 24","Time: 0.000143 seconds"
"Implementation 2 (MM-1D)",24,12,24,9,0.000301,0.474716,0.002711,0,"ok","mpirun -np 9 ./bin/mm_1d 24 12 24","Local Matrix Multiplication Compute Time: 8.67434e-06 seconds Total Runtime: 0.000301233 seconds"
"Implementation 3 (MM-2D)",24,12,24,9,0.000363,0.393939,0.003267,0,"ok","mpirun -np 9 ./bin/mm_2d 24 12 24","MM-2D completed Processes (P): 9 Grid size    : 3 x 3 Matrix sizes : A(24x12), B(12x24), C(24x24) Parallel Time: 0.000363 seconds"
