implementation,m,n,q,p,seconds,speedup,cost,exit_code,status,command,raw_output
"Implementation 1 (Serial)",1200,1200,1200,1,2.207910,1.000000,2.207910,0,"ok","./bin/mm_serial 1200 1200 1200","Time: 2.207910 seconds"
"Implementation 2 (MM-1D)",1200,1200,1200,1,2.003480,1.102037,2.003480,0,"ok","mpirun -np 1 ./bin/mm_1d 1200 1200 1200","Local Matrix Multiplication Compute Time: 1.96978 seconds Total Runtime: 2.00348 seconds"
"Implementation 3 (MM-2D)",1200,1200,1200,1,1.998396,1.104841,1.998396,0,"ok","mpirun -np 1 ./bin/mm_2d 1200 1200 1200","MM-2D completed Processes (P): 1 Grid size    : 1 x 1 Matrix sizes : A(1200x1200), B(1200x1200), C(1200x1200) Parallel Time: 1.998396 seconds"
"Implementation 1 (Serial)",1200,1200,1200,4,2.207910,1.000000,2.207910,0,"ok","./bin/mm_serial 1200 1200 1200","Time: 2.207910 seconds"
"Implementation 2 (MM-1D)",1200,1200,1200,4,0.796066,2.773526,3.184264,0,"ok","mpirun -np 4 ./bin/mm_1d 1200 1200 1200","Local Matrix Multiplication Compute Time: 0.751579 seconds Total Runtime: 0.796066 seconds"
"Implementation 3 (MM-2D)",1200,1200,1200,4,0.553364,3.989978,2.213456,0,"ok","mpirun -np 4 ./bin/mm_2d 1200 1200 1200","MM-2D completed Processes (P): 4 Grid size    : 2 x 2 Matrix sizes : A(1200x1200), B(1200x1200), C(1200x1200) Parallel Time: 0.553364 seconds"
"Implementation 1 (Serial)",1200,1200,1200,9,2.207910,1.000000,2.207910,0,"ok","./bin/mm_serial 1200 1200 1200","Time: 2.207910 seconds"
"Implementation 2 (MM-1D)",1200,1200,1200,9,0.550254,4.012529,4.952286,0,"ok","mpirun -np 9 ./bin/mm_1d 1200 1200 1200","Local Matrix Multiplication Compute Time: 0.488218 seconds Total Runtime: 0.550254 seconds"
"Implementation 3 (MM-2D)",1200,1200,1200,9,0.292009,7.561103,2.628081,0,"ok","mpirun -np 9 ./bin/mm_2d 1200 1200 1200","MM-2D completed Processes (P): 9 Grid size    : 3 x 3 Matrix sizes : A(1200x1200), B(1200x1200), C(1200x1200) Parallel Time: 0.292009 seconds"
"Implementation 1 (Serial)",1200,1200,1200,16,2.207910,1.000000,2.207910,0,"ok","./bin/mm_serial 1200 1200 1200","Time: 2.207910 seconds"
"Implementation 2 (MM-1D)",1200,1200,1200,16,0.379306,5.820920,6.068896,0,"ok","mpirun -np 16 ./bin/mm_1d 1200 1200 1200","Local Matrix Multiplication Compute Time: 0.284124 seconds Total Runtime: 0.379306 seconds"
"Implementation 3 (MM-2D)",1200,1200,1200,16,0.180359,12.241751,2.885744,0,"ok","mpirun -np 16 ./bin/mm_2d 1200 1200 1200","MM-2D completed Processes (P): 16 Grid size    : 4 x 4 Matrix sizes : A(1200x1200), B(1200x1200), C(1200x1200) Parallel Time: 0.180359 seconds"
"Implementation 1 (Serial)",1200,1200,1200,25,2.207910,1.000000,2.207910,0,"ok","./bin/mm_serial 1200 1200 1200","Time: 2.207910 seconds"
"Implementation 2 (MM-1D)",1200,1200,1200,25,0.475574,4.642621,11.889350,0,"ok","mpirun -np 25 ./bin/mm_1d 1200 1200 1200","Local Matrix Multiplication Compute Time: 0.196647 seconds Total Runtime: 0.475574 seconds"
"Implementation 3 (MM-2D)",1200,1200,1200,25,0.221116,9.985302,5.527900,0,"ok","mpirun -np 25 ./bin/mm_2d 1200 1200 1200","MM-2D completed Processes (P): 25 Grid size    : 5 x 5 Matrix sizes : A(1200x1200), B(1200x1200), C(1200x1200) Parallel Time: 0.221116 seconds"
