implementation,m,n,q,p,seconds,speedup,cost,exit_code,status,command,raw_output
"Implementation 1 (Serial)",6,6,6,1,0.000005,1.000000,0.000005,0,"ok","./bin/mm_serial 6 6 6","Time: 0.000005 seconds"
"Implementation 2 (MM-1D)",6,6,6,1,0.000013,0.384826,0.000013,0,"ok","mpirun -np 1 ./bin/mm_1d 6 6 6","Local Matrix Multiplication Compute Time: 2.04332e-06 seconds Total Runtime: 1.29929e-05 seconds"
"Implementation 3 (MM-2D)",6,6,6,1,0.000006,0.833333,0.000006,0,"ok","mpirun -np 1 ./bin/mm_2d 6 6 6","MM-2D completed Processes (P): 1 Grid size    : 1 x 1 Matrix sizes : A(6x6), B(6x6), C(6x6) Parallel Time: 0.000006 seconds"
"Implementation 1 (Serial)",6,6,6,4,0.000005,1.000000,0.000005,0,"ok","./bin/mm_serial 6 6 6","Time: 0.000005 seconds"
"Implementation 2 (MM-1D)",6,6,6,4,0.000151,0.033203,0.000602,0,"ok","mpirun -np 4 ./bin/mm_1d 6 6 6","Local Matrix Multiplication Compute Time: 1.05146e-06 seconds Total Runtime: 0.000150589 seconds"
"Implementation 3 (MM-2D)",6,6,6,4,0.000133,0.037594,0.000532,0,"ok","mpirun -np 4 ./bin/mm_2d 6 6 6","MM-2D completed Processes (P): 4 Grid size    : 2 x 2 Matrix sizes : A(6x6), B(6x6), C(6x6) Parallel Time: 0.000133 seconds"
"Implementation 1 (Serial)",6,6,6,9,0.000005,1.000000,0.000005,0,"ok","./bin/mm_serial 6 6 6","Time: 0.000005 seconds"
"Implementation 2 (MM-1D)",6,6,6,9,0.000234,0.021331,0.002110,0,"ok","mpirun -np 9 ./bin/mm_1d 6 6 6","Local Matrix Multiplication Compute Time: 6.01634e-07 seconds Total Runtime: 0.000234405 seconds"
"Implementation 3 (MM-2D)",6,6,6,9,0.000239,0.020921,0.002151,0,"ok","mpirun -np 9 ./bin/mm_2d 6 6 6","MM-2D completed Processes (P): 9 Grid size    : 3 x 3 Matrix sizes : A(6x6), B(6x6), C(6x6) Parallel Time: 0.000239 seconds"
