implementation,m,n,q,p,seconds,speedup,serial_speedup,cost,exit_code,status,command,raw_output
"Implementation 1 (Serial)",2400,600,3600,1,6.445576,1.000000,1.000000,6.445576,0,"ok","./bin/mm_serial 2400 600 3600","Time: 6.445576 seconds"
"Implementation 2 (MM-1D)",2400,600,3600,1,5.969630,1.000000,1.079728,5.969630,0,"ok","mpirun -np 1 ./bin/mm_1d 2400 600 3600","Local Matrix Multiplication Compute Time: 5.87227 seconds Total Runtime: 5.96963 seconds"
"Implementation 3 (MM-2D)",2400,600,3600,1,5.548826,1.000000,1.161611,5.548826,0,"ok","mpirun -np 1 ./bin/mm_2d 2400 600 3600","MM-2D completed Processes (P): 1 Grid size    : 1 x 1 Matrix sizes : A(2400x600), B(600x3600), C(2400x3600) Parallel Time: 5.548826 seconds"
"Implementation 1 (Serial)",2400,600,3600,4,6.445576,1.000000,1.000000,6.445576,0,"ok","./bin/mm_serial 2400 600 3600","Time: 6.445576 seconds"
"Implementation 2 (MM-1D)",2400,600,3600,4,2.963770,2.014202,2.174790,11.855080,0,"ok","mpirun -np 4 ./bin/mm_1d 2400 600 3600","Local Matrix Multiplication Compute Time: 2.86404 seconds Total Runtime: 2.96377 seconds"
"Implementation 3 (MM-2D)",2400,600,3600,4,1.556868,3.564095,4.140092,6.227472,0,"ok","mpirun -np 4 ./bin/mm_2d 2400 600 3600","MM-2D completed Processes (P): 4 Grid size    : 2 x 2 Matrix sizes : A(2400x600), B(600x3600), C(2400x3600) Parallel Time: 1.556868 seconds"
"Implementation 1 (Serial)",2400,600,3600,9,6.445576,1.000000,1.000000,6.445576,0,"ok","./bin/mm_serial 2400 600 3600","Time: 6.445576 seconds"
"Implementation 2 (MM-1D)",2400,600,3600,9,1.488010,4.011821,4.331675,13.392090,0,"ok","mpirun -np 9 ./bin/mm_1d 2400 600 3600","Local Matrix Multiplication Compute Time: 1.36223 seconds Total Runtime: 1.48801 seconds"
"Implementation 3 (MM-2D)",2400,600,3600,9,0.804967,6.893234,8.007255,7.244703,0,"ok","mpirun -np 9 ./bin/mm_2d 2400 600 3600","MM-2D completed Processes (P): 9 Grid size    : 3 x 3 Matrix sizes : A(2400x600), B(600x3600), C(2400x3600) Parallel Time: 0.804967 seconds"
"Implementation 1 (Serial)",2400,600,3600,16,6.445576,1.000000,1.000000,6.445576,0,"ok","./bin/mm_serial 2400 600 3600","Time: 6.445576 seconds"
"Implementation 2 (MM-1D)",2400,600,3600,16,0.966736,6.175036,6.667359,15.467776,0,"ok","mpirun -np 16 ./bin/mm_1d 2400 600 3600","Local Matrix Multiplication Compute Time: 0.801427 seconds Total Runtime: 0.966736 seconds"
"Implementation 3 (MM-2D)",2400,600,3600,16,0.482243,11.506286,13.365826,7.715888,0,"ok","mpirun -np 16 ./bin/mm_2d 2400 600 3600","MM-2D completed Processes (P): 16 Grid size    : 4 x 4 Matrix sizes : A(2400x600), B(600x3600), C(2400x3600) Parallel Time: 0.482243 seconds"
"Implementation 1 (Serial)",2400,600,3600,25,6.445576,1.000000,1.000000,6.445576,0,"ok","./bin/mm_serial 2400 600 3600","Time: 6.445576 seconds"
"Implementation 2 (MM-1D)",2400,600,3600,25,1.169240,5.105564,5.512620,29.231000,0,"ok","mpirun -np 25 ./bin/mm_1d 2400 600 3600","Local Matrix Multiplication Compute Time: 0.671604 seconds Total Runtime: 1.16924 seconds"
"Implementation 3 (MM-2D)",2400,600,3600,25,0.525458,10.559980,12.266586,13.136450,0,"ok","mpirun -np 25 ./bin/mm_2d 2400 600 3600","MM-2D completed Processes (P): 25 Grid size    : 5 x 5 Matrix sizes : A(2400x600), B(600x3600), C(2400x3600) Parallel Time: 0.525458 seconds"
