implementation,m,n,q,p,seconds,speedup,serial_speedup,cost,exit_code,status,command,raw_output
"Implementation 1 (Serial)",600,1800,600,1,0.843061,1.000000,1.000000,0.843061,0,"ok","./bin/mm_serial 600 1800 600","Time: 0.843061 seconds"
"Implementation 2 (MM-1D)",600,1800,600,1,0.767879,1.000000,1.097909,0.767879,0,"ok","mpirun -np 1 ./bin/mm_1d 600 1800 600","Local Matrix Multiplication Compute Time: 0.747752 seconds Total Runtime: 0.767879 seconds"
"Implementation 3 (MM-2D)",600,1800,600,1,0.766655,1.000000,1.099662,0.766655,0,"ok","mpirun -np 1 ./bin/mm_2d 600 1800 600","MM-2D completed Processes (P): 1 Grid size    : 1 x 1 Matrix sizes : A(600x1800), B(1800x600), C(600x600) Parallel Time: 0.766655 seconds"
"Implementation 1 (Serial)",600,1800,600,4,0.843061,1.000000,1.000000,0.843061,0,"ok","./bin/mm_serial 600 1800 600","Time: 0.843061 seconds"
"Implementation 2 (MM-1D)",600,1800,600,4,0.235501,3.260619,3.579862,0.942004,0,"ok","mpirun -np 4 ./bin/mm_1d 600 1800 600","Local Matrix Multiplication Compute Time: 0.207306 seconds Total Runtime: 0.235501 seconds"
"Implementation 3 (MM-2D)",600,1800,600,4,0.212659,3.605091,3.964380,0.850636,0,"ok","mpirun -np 4 ./bin/mm_2d 600 1800 600","MM-2D completed Processes (P): 4 Grid size    : 2 x 2 Matrix sizes : A(600x1800), B(1800x600), C(600x600) Parallel Time: 0.212659 seconds"
"Implementation 1 (Serial)",600,1800,600,9,0.843061,1.000000,1.000000,0.843061,0,"ok","./bin/mm_serial 600 1800 600","Time: 0.843061 seconds"
"Implementation 2 (MM-1D)",600,1800,600,9,0.223457,3.436361,3.772811,2.011113,0,"ok","mpirun -np 9 ./bin/mm_1d 600 1800 600","Local Matrix Multiplication Compute Time: 0.174799 seconds Total Runtime: 0.223457 seconds"
"Implementation 3 (MM-2D)",600,1800,600,9,0.118586,6.464971,7.109279,1.067274,0,"ok","mpirun -np 9 ./bin/mm_2d 600 1800 600","MM-2D completed Processes (P): 9 Grid size    : 3 x 3 Matrix sizes : A(600x1800), B(1800x600), C(600x600) Parallel Time: 0.118586 seconds"
"Implementation 1 (Serial)",600,1800,600,16,0.843061,1.000000,1.000000,0.843061,0,"ok","./bin/mm_serial 600 1800 600","Time: 0.843061 seconds"
"Implementation 2 (MM-1D)",600,1800,600,16,0.176264,4.356414,4.782945,2.820224,0,"ok","mpirun -np 16 ./bin/mm_1d 600 1800 600","Local Matrix Multiplication Compute Time: 0.102842 seconds Total Runtime: 0.176264 seconds"
"Implementation 3 (MM-2D)",600,1800,600,16,0.091388,8.389012,9.225073,1.462208,0,"ok","mpirun -np 16 ./bin/mm_2d 600 1800 600","MM-2D completed Processes (P): 16 Grid size    : 4 x 4 Matrix sizes : A(600x1800), B(1800x600), C(600x600) Parallel Time: 0.091388 seconds"
"Implementation 1 (Serial)",600,1800,600,25,0.843061,1.000000,1.000000,0.843061,0,"ok","./bin/mm_serial 600 1800 600","Time: 0.843061 seconds"
"Implementation 2 (MM-1D)",600,1800,600,25,0.214978,3.571896,3.921615,5.374450,0,"ok","mpirun -np 25 ./bin/mm_1d 600 1800 600","Local Matrix Multiplication Compute Time: 0.0626564 seconds Total Runtime: 0.214978 seconds"
"Implementation 3 (MM-2D)",600,1800,600,25,0.102649,7.468704,8.213046,2.566225,0,"ok","mpirun -np 25 ./bin/mm_2d 600 1800 600","MM-2D completed Processes (P): 25 Grid size    : 5 x 5 Matrix sizes : A(600x1800), B(1800x600), C(600x600) Parallel Time: 0.102649 seconds"
