implementation,m,n,q,p,seconds,speedup,serial_speedup,cost,exit_code,status,command,raw_output,a_size,b_size,c_size,total_ops,m_dominant,n_dominant,q_dominant,shape_type
Implementation 3 (MM-2D),1200,2400,1200,9,0.568715,15.992211,16.173373,5.118435,0,ok,mpirun -np 9 ./bin/mm_2d 1200 2400 1200,"MM-2D completed Processes (P): 9 Grid size    : 3 x 3 Matrix sizes : A(1200x2400), B(2400x1200), C(1200x1200) Parallel Time: 0.568715 seconds",2880000,2880000,1440000,6912000000,0,1,0,n_dominant
Implementation 1 (Serial),1200,2400,1200,16,9.198040,1.000000,1.000000,9.198040,0,ok,./bin/mm_serial 1200 2400 1200,Time: 9.198040 seconds,2880000,2880000,1440000,6912000000,0,1,0,n_dominant
Implementation 2 (MM-1D),1200,2400,1200,16,0.947434,9.674363,9.708370,15.158944,0,ok,mpirun -np 16 ./bin/mm_1d 1200 2400 1200,Local Matrix Multiplication Compute Time: 0.778366 seconds Total Runtime: 0.947434 seconds,2880000,2880000,1440000,6912000000,0,1,0,n_dominant
Implementation 3 (MM-2D),1200,2400,1200,16,0.376027,24.187120,24.461116,6.016432,0,ok,mpirun -np 16 ./bin/mm_2d 1200 2400 1200,"MM-2D completed Processes (P): 16 Grid size    : 4 x 4 Matrix sizes : A(1200x2400), B(2400x1200), C(1200x1200) Parallel Time: 0.376027 seconds",2880000,2880000,1440000,6912000000,0,1,0,n_dominant
Implementation 1 (Serial),1200,2400,1200,25,9.198040,1.000000,1.000000,9.198040,0,ok,./bin/mm_serial 1200 2400 1200,Time: 9.198040 seconds,2880000,2880000,1440000,6912000000,0,1,0,n_dominant
Implementation 2 (MM-1D),1200,2400,1200,25,1.101830,8.318724,8.347967,27.545750,0,ok,mpirun -np 25 ./bin/mm_1d 1200 2400 1200,Local Matrix Multiplication Compute Time: 0.764789 seconds Total Runtime: 1.10183 seconds,2880000,2880000,1440000,6912000000,0,1,0,n_dominant
Implementation 3 (MM-2D),1200,2400,1200,25,0.451893,20.126468,20.354464,11.297325,0,ok,mpirun -np 25 ./bin/mm_2d 1200 2400 1200,"MM-2D completed Processes (P): 25 Grid size    : 5 x 5 Matrix sizes : A(1200x2400), B(2400x1200), C(1200x1200) Parallel Time: 0.451893 seconds",2880000,2880000,1440000,6912000000,0,1,0,n_dominant
Implementation 1 (Serial),1200,2400,1800,1,11.224075,1.000000,1.000000,11.224075,0,ok,./bin/mm_serial 1200 2400 1800,Time: 11.224075 seconds,2880000,4320000,2160000,10368000000,0,1,0,n_dominant
Implementation 2 (MM-1D),1200,2400,1800,1,11.000400,1.000000,1.020333,11.000400,0,ok,mpirun -np 1 ./bin/mm_1d 1200 2400 1800,Local Matrix Multiplication Compute Time: 10.9304 seconds Total Runtime: 11.0004 seconds,2880000,4320000,2160000,10368000000,0,1,0,n_dominant
Implementation 3 (MM-2D),1200,2400,1800,1,10.888589,1.000000,1.030811,10.888589,0,ok,mpirun -np 1 ./bin/mm_2d 1200 2400 1800,"MM-2D completed Processes (P): 1 Grid size    : 1 x 1 Matrix sizes : A(1200x2400), B(2400x1800), C(1200x1800) Parallel Time: 10.888589 seconds",2880000,4320000,2160000,10368000000,0,1,0,n_dominant
Implementation 1 (Serial),1200,2400,1800,4,11.224075,1.000000,1.000000,11.224075,0,ok,./bin/mm_serial 1200 2400 1800,Time: 11.224075 seconds,2880000,4320000,2160000,10368000000,0,1,0,n_dominant
Implementation 2 (MM-1D),1200,2400,1800,4,2.982930,3.687783,3.762768,11.931720,0,ok,mpirun -np 4 ./bin/mm_1d 1200 2400 1800,Local Matrix Multiplication Compute Time: 2.89128 seconds Total Runtime: 2.98293 seconds,2880000,4320000,2160000,10368000000,0,1,0,n_dominant
Implementation 3 (MM-2D),1200,2400,1800,4,1.701732,6.398533,6.595677,6.806928,0,ok,mpirun -np 4 ./bin/mm_2d 1200 2400 1800,"MM-2D completed Processes (P): 4 Grid size    : 2 x 2 Matrix sizes : A(1200x2400), B(2400x1800), C(1200x1800) Parallel Time: 1.701732 seconds",2880000,4320000,2160000,10368000000,0,1,0,n_dominant
Implementation 1 (Serial),1200,2400,1800,9,11.224075,1.000000,1.000000,11.224075,0,ok,./bin/mm_serial 1200 2400 1800,Time: 11.224075 seconds,2880000,4320000,2160000,10368000000,0,1,0,n_dominant
Implementation 2 (MM-1D),1200,2400,1800,9,1.547330,7.109279,7.253834,13.925970,0,ok,mpirun -np 9 ./bin/mm_1d 1200 2400 1800,Local Matrix Multiplication Compute Time: 1.40553 seconds Total Runtime: 1.54733 seconds,2880000,4320000,2160000,10368000000,0,1,0,n_dominant
Implementation 3 (MM-2D),1200,2400,1800,9,0.954735,11.404829,11.756220,8.592615,0,ok,mpirun -np 9 ./bin/mm_2d 1200 2400 1800,"MM-2D completed Processes (P): 9 Grid size    : 3 x 3 Matrix sizes : A(1200x2400), B(2400x1800), C(1200x1800) Parallel Time: 0.954735 seconds",2880000,4320000,2160000,10368000000,0,1,0,n_dominant
Implementation 1 (Serial),1200,2400,1800,16,11.224075,1.000000,1.000000,11.224075,0,ok,./bin/mm_serial 1200 2400 1800,Time: 11.224075 seconds,2880000,4320000,2160000,10368000000,0,1,0,n_dominant
Implementation 2 (MM-1D),1200,2400,1800,16,1.072050,10.261089,10.469731,17.152800,0,ok,mpirun -np 16 ./bin/mm_1d 1200 2400 1800,Local Matrix Multiplication Compute Time: 0.839744 seconds Total Runtime: 1.07205 seconds,2880000,4320000,2160000,10368000000,0,1,0,n_dominant
Implementation 3 (MM-2D),1200,2400,1800,16,0.689079,15.801656,16.288517,11.025264,0,ok,mpirun -np 16 ./bin/mm_2d 1200 2400 1800,"MM-2D completed Processes (P): 16 Grid size    : 4 x 4 Matrix sizes : A(1200x2400), B(2400x1800), C(1200x1800) Parallel Time: 0.689079 seconds",2880000,4320000,2160000,10368000000,0,1,0,n_dominant
Implementation 1 (Serial),1200,2400,1800,25,11.224075,1.000000,1.000000,11.224075,0,ok,./bin/mm_serial 1200 2400 1800,Time: 11.224075 seconds,2880000,4320000,2160000,10368000000,0,1,0,n_dominant
Implementation 2 (MM-1D),1200,2400,1800,25,1.402610,7.842807,8.002278,35.065250,0,ok,mpirun -np 25 ./bin/mm_1d 1200 2400 1800,Local Matrix Multiplication Compute Time: 1.03556 seconds Total Runtime: 1.40261 seconds,2880000,4320000,2160000,10368000000,0,1,0,n_dominant
Implementation 3 (MM-2D),1200,2400,1800,25,0.769136,14.156910,14.593095,19.228400,0,ok,mpirun -np 25 ./bin/mm_2d 1200 2400 1800,"MM-2D completed Processes (P): 25 Grid size    : 5 x 5 Matrix sizes : A(1200x2400), B(2400x1800), C(1200x1800) Parallel Time: 0.769136 seconds",2880000,4320000,2160000,10368000000,0,1,0,n_dominant
Implementation 1 (Serial),1200,2400,2400,1,21.919331,1.000000,1.000000,21.919331,0,ok,./bin/mm_serial 1200 2400 2400,Time: 21.919331 seconds,2880000,5760000,2880000,13824000000,0,1,0,mixed
Implementation 2 (MM-1D),1200,2400,2400,1,21.547600,1.000000,1.017252,21.547600,0,ok,mpirun -np 1 ./bin/mm_1d 1200 2400 2400,Local Matrix Multiplication Compute Time: 21.4628 seconds Total Runtime: 21.5476 seconds,2880000,5760000,2880000,13824000000,0,1,0,mixed
Implementation 3 (MM-2D),1200,2400,2400,1,21.515749,1.000000,1.018758,21.515749,0,ok,mpirun -np 1 ./bin/mm_2d 1200 2400 2400,"MM-2D completed Processes (P): 1 Grid size    : 1 x 1 Matrix sizes : A(1200x2400), B(2400x2400), C(1200x2400) Parallel Time: 21.515749 seconds",2880000,5760000,2880000,13824000000,0,1,0,mixed
Implementation 1 (Serial),1200,2400,2400,4,21.919331,1.000000,1.000000,21.919331,0,ok,./bin/mm_serial 1200 2400 2400,Time: 21.919331 seconds,2880000,5760000,2880000,13824000000,0,1,0,mixed
Implementation 2 (MM-1D),1200,2400,2400,4,5.692070,3.785547,3.850854,22.768280,0,ok,mpirun -np 4 ./bin/mm_1d 1200 2400 2400,Local Matrix Multiplication Compute Time: 5.57957 seconds Total Runtime: 5.69207 seconds,2880000,5760000,2880000,13824000000,0,1,0,mixed
Implementation 3 (MM-2D),1200,2400,2400,4,2.996462,7.180384,7.315071,11.985848,0,ok,mpirun -np 4 ./bin/mm_2d 1200 2400 2400,"MM-2D completed Processes (P): 4 Grid size    : 2 x 2 Matrix sizes : A(1200x2400), B(2400x2400), C(1200x2400) Parallel Time: 2.996462 seconds",2880000,5760000,2880000,13824000000,0,1,0,mixed
Implementation 1 (Serial),1200,2400,2400,9,21.919331,1.000000,1.000000,21.919331,0,ok,./bin/mm_serial 1200 2400 2400,Time: 21.919331 seconds,2880000,5760000,2880000,13824000000,0,1,0,mixed
Implementation 2 (MM-1D),1200,2400,2400,9,2.896110,7.440187,7.568542,26.064990,0,ok,mpirun -np 9 ./bin/mm_1d 1200 2400 2400,Local Matrix Multiplication Compute Time: 2.71541 seconds Total Runtime: 2.89611 seconds,2880000,5760000,2880000,13824000000,0,1,0,mixed
Implementation 3 (MM-2D),1200,2400,2400,9,1.699301,12.661529,12.899028,15.293709,0,ok,mpirun -np 9 ./bin/mm_2d 1200 2400 2400,"MM-2D completed Processes (P): 9 Grid size    : 3 x 3 Matrix sizes : A(1200x2400), B(2400x2400), C(1200x2400) Parallel Time: 1.699301 seconds",2880000,5760000,2880000,13824000000,0,1,0,mixed
Implementation 1 (Serial),1200,2400,2400,16,21.919331,1.000000,1.000000,21.919331,0,ok,./bin/mm_serial 1200 2400 2400,Time: 21.919331 seconds,2880000,5760000,2880000,13824000000,0,1,0,mixed
Implementation 2 (MM-1D),1200,2400,2400,16,1.941590,11.097915,11.289372,31.065440,0,ok,mpirun -np 16 ./bin/mm_1d 1200 2400 2400,Local Matrix Multiplication Compute Time: 1.64433 seconds Total Runtime: 1.94159 seconds,2880000,5760000,2880000,13824000000,0,1,0,mixed
Implementation 3 (MM-2D),1200,2400,2400,16,0.965620,22.281797,22.699748,15.449920,0,ok,mpirun -np 16 ./bin/mm_2d 1200 2400 2400,"MM-2D completed Processes (P): 16 Grid size    : 4 x 4 Matrix sizes : A(1200x2400), B(2400x2400), C(1200x2400) Parallel Time: 0.965620 seconds",2880000,5760000,2880000,13824000000,0,1,0,mixed
Implementation 1 (Serial),1200,2400,2400,25,21.919331,1.000000,1.000000,21.919331,0,ok,./bin/mm_serial 1200 2400 2400,Time: 21.919331 seconds,2880000,5760000,2880000,13824000000,0,1,0,mixed
Implementation 2 (MM-1D),1200,2400,2400,25,2.142590,10.056800,10.230297,53.564750,0,ok,mpirun -np 25 ./bin/mm_1d 1200 2400 2400,Local Matrix Multiplication Compute Time: 1.3517 seconds Total Runtime: 2.14259 seconds,2880000,5760000,2880000,13824000000,0,1,0,mixed
Implementation 3 (MM-2D),1200,2400,2400,25,1.109861,19.385985,19.749618,27.746525,0,ok,mpirun -np 25 ./bin/mm_2d 1200 2400 2400,"MM-2D completed Processes (P): 25 Grid size    : 5 x 5 Matrix sizes : A(1200x2400), B(2400x2400), C(1200x2400) Parallel Time: 1.109861 seconds",2880000,5760000,2880000,13824000000,0,1,0,mixed
Implementation 1 (Serial),1200,2400,3000,1,19.187551,1.000000,1.000000,19.187551,0,ok,./bin/mm_serial 1200 2400 3000,Time: 19.187551 seconds,2880000,7200000,3600000,17280000000,0,0,1,q_dominant
Implementation 2 (MM-1D),1200,2400,3000,1,18.561200,1.000000,1.033745,18.561200,0,ok,mpirun -np 1 ./bin/mm_1d 1200 2400 3000,Local Matrix Multiplication Compute Time: 18.4659 seconds Total Runtime: 18.5612 seconds,2880000,7200000,3600000,17280000000,0,0,1,q_dominant
Implementation 3 (MM-2D),1200,2400,3000,1,18.543887,1.000000,1.034710,18.543887,0,ok,mpirun -np 1 ./bin/mm_2d 1200 2400 3000,"MM-2D completed Processes (P): 1 Grid size    : 1 x 1 Matrix sizes : A(1200x2400), B(2400x3000), C(1200x3000) Parallel Time: 18.543887 seconds",2880000,7200000,3600000,17280000000,0,0,1,q_dominant
Implementation 1 (Serial),1200,2400,3000,4,19.187551,1.000000,1.000000,19.187551,0,ok,./bin/mm_serial 1200 2400 3000,Time: 19.187551 seconds,2880000,7200000,3600000,17280000000,0,0,1,q_dominant
Implementation 2 (MM-1D),1200,2400,3000,4,4.982400,3.725353,3.851066,19.929600,0,ok,mpirun -np 4 ./bin/mm_1d 1200 2400 3000,Local Matrix Multiplication Compute Time: 4.84828 seconds Total Runtime: 4.9824 seconds,2880000,7200000,3600000,17280000000,0,0,1,q_dominant
Implementation 3 (MM-2D),1200,2400,3000,4,4.667123,3.973302,4.111216,18.668492,0,ok,mpirun -np 4 ./bin/mm_2d 1200 2400 3000,"MM-2D completed Processes (P): 4 Grid size    : 2 x 2 Matrix sizes : A(1200x2400), B(2400x3000), C(1200x3000) Parallel Time: 4.667123 seconds",2880000,7200000,3600000,17280000000,0,0,1,q_dominant
Implementation 1 (Serial),1200,2400,3000,9,19.187551,1.000000,1.000000,19.187551,0,ok,./bin/mm_serial 1200 2400 3000,Time: 19.187551 seconds,2880000,7200000,3600000,17280000000,0,0,1,q_dominant
Implementation 2 (MM-1D),1200,2400,3000,9,2.599080,7.141450,7.382440,23.391720,0,ok,mpirun -np 9 ./bin/mm_1d 1200 2400 3000,Local Matrix Multiplication Compute Time: 2.38015 seconds Total Runtime: 2.59908 seconds,2880000,7200000,3600000,17280000000,0,0,1,q_dominant
Implementation 3 (MM-2D),1200,2400,3000,9,2.400552,7.724843,7.992975,21.604968,0,ok,mpirun -np 9 ./bin/mm_2d 1200 2400 3000,"MM-2D completed Processes (P): 9 Grid size    : 3 x 3 Matrix sizes : A(1200x2400), B(2400x3000), C(1200x3000) Parallel Time: 2.400552 seconds",2880000,7200000,3600000,17280000000,0,0,1,q_dominant
Implementation 1 (Serial),1200,2400,3000,16,19.187551,1.000000,1.000000,19.187551,0,ok,./bin/mm_serial 1200 2400 3000,Time: 19.187551 seconds,2880000,7200000,3600000,17280000000,0,0,1,q_dominant
Implementation 2 (MM-1D),1200,2400,3000,16,1.785860,10.393424,10.744152,28.573760,0,ok,mpirun -np 16 ./bin/mm_1d 1200 2400 3000,Local Matrix Multiplication Compute Time: 1.4272 seconds Total Runtime: 1.78586 seconds,2880000,7200000,3600000,17280000000,0,0,1,q_dominant
Implementation 3 (MM-2D),1200,2400,3000,16,1.677830,11.052304,11.435933,26.845280,0,ok,mpirun -np 16 ./bin/mm_2d 1200 2400 3000,"MM-2D completed Processes (P): 16 Grid size    : 4 x 4 Matrix sizes : A(1200x2400), B(2400x3000), C(1200x3000) Parallel Time: 1.677830 seconds",2880000,7200000,3600000,17280000000,0,0,1,q_dominant
Implementation 1 (Serial),1200,2400,3000,25,19.187551,1.000000,1.000000,19.187551,0,ok,./bin/mm_serial 1200 2400 3000,Time: 19.187551 seconds,2880000,7200000,3600000,17280000000,0,0,1,q_dominant
Implementation 2 (MM-1D),1200,2400,3000,25,2.369040,7.834904,8.099294,59.226000,0,ok,mpirun -np 25 ./bin/mm_1d 1200 2400 3000,Local Matrix Multiplication Compute Time: 1.65598 seconds Total Runtime: 2.36904 seconds,2880000,7200000,3600000,17280000000,0,0,1,q_dominant
Implementation 3 (MM-2D),1200,2400,3000,25,1.473813,12.582252,13.018986,36.845325,0,ok,mpirun -np 25 ./bin/mm_2d 1200 2400 3000,"MM-2D completed Processes (P): 25 Grid size    : 5 x 5 Matrix sizes : A(1200x2400), B(2400x3000), C(1200x3000) Parallel Time: 1.473813 seconds",2880000,7200000,3600000,17280000000,0,0,1,q_dominant
Implementation 1 (Serial),1200,2400,3600,1,33.089183,1.000000,1.000000,33.089183,0,ok,./bin/mm_serial 1200 2400 3600,Time: 33.089183 seconds,2880000,8640000,4320000,20736000000,0,0,1,q_dominant
Implementation 2 (MM-1D),1200,2400,3600,1,32.889800,1.000000,1.006062,32.889800,0,ok,mpirun -np 1 ./bin/mm_1d 1200 2400 3600,Local Matrix Multiplication Compute Time: 32.7814 seconds Total Runtime: 32.8898 seconds,2880000,8640000,4320000,20736000000,0,0,1,q_dominant
Implementation 3 (MM-2D),1200,2400,3600,1,32.762916,1.000000,1.009958,32.762916,0,ok,mpirun -np 1 ./bin/mm_2d 1200 2400 3600,"MM-2D completed Processes (P): 1 Grid size    : 1 x 1 Matrix sizes : A(1200x2400), B(2400x3600), C(1200x3600) Parallel Time: 32.762916 seconds",2880000,8640000,4320000,20736000000,0,0,1,q_dominant
Implementation 1 (Serial),1200,2400,3600,4,33.089183,1.000000,1.000000,33.089183,0,ok,./bin/mm_serial 1200 2400 3600,Time: 33.089183 seconds,2880000,8640000,4320000,20736000000,0,0,1,q_dominant
Implementation 2 (MM-1D),1200,2400,3600,4,8.746280,3.760433,3.783229,34.985120,0,ok,mpirun -np 4 ./bin/mm_1d 1200 2400 3600,Local Matrix Multiplication Compute Time: 8.59106 seconds Total Runtime: 8.74628 seconds,2880000,8640000,4320000,20736000000,0,0,1,q_dominant
Implementation 3 (MM-2D),1200,2400,3600,4,5.765289,5.682788,5.739380,23.061156,0,ok,mpirun -np 4 ./bin/mm_2d 1200 2400 3600,"MM-2D completed Processes (P): 4 Grid size    : 2 x 2 Matrix sizes : A(1200x2400), B(2400x3600), C(1200x3600) Parallel Time: 5.765289 seconds",2880000,8640000,4320000,20736000000,0,0,1,q_dominant
Implementation 1 (Serial),1200,2400,3600,9,33.089183,1.000000,1.000000,33.089183,0,ok,./bin/mm_serial 1200 2400 3600,Time: 33.089183 seconds,2880000,8640000,4320000,20736000000,0,0,1,q_dominant
Implementation 2 (MM-1D),1200,2400,3600,9,4.390630,7.490907,7.536318,39.515670,0,ok,mpirun -np 9 ./bin/mm_1d 1200 2400 3600,Local Matrix Multiplication Compute Time: 4.12233 seconds Total Runtime: 4.39063 seconds,2880000,8640000,4320000,20736000000,0,0,1,q_dominant
Implementation 3 (MM-2D),1200,2400,3600,9,2.926406,11.195615,11.307106,26.337654,0,ok,mpirun -np 9 ./bin/mm_2d 1200 2400 3600,"MM-2D completed Processes (P): 9 Grid size    : 3 x 3 Matrix sizes : A(1200x2400), B(2400x3600), C(1200x3600) Parallel Time: 2.926406 seconds",2880000,8640000,4320000,20736000000,0,0,1,q_dominant
Implementation 1 (Serial),1200,2400,3600,16,33.089183,1.000000,1.000000,33.089183,0,ok,./bin/mm_serial 1200 2400 3600,Time: 33.089183 seconds,2880000,8640000,4320000,20736000000,0,0,1,q_dominant
Implementation 2 (MM-1D),1200,2400,3600,16,2.836780,11.594061,11.664346,45.388480,0,ok,mpirun -np 16 ./bin/mm_1d 1200 2400 3600,Local Matrix Multiplication Compute Time: 2.43602 seconds Total Runtime: 2.83678 seconds,2880000,8640000,4320000,20736000000,0,0,1,q_dominant
Implementation 3 (MM-2D),1200,2400,3600,16,1.770037,18.509735,18.694063,28.320592,0,ok,mpirun -np 16 ./bin/mm_2d 1200 2400 3600,"MM-2D completed Processes (P): 16 Grid size    : 4 x 4 Matrix sizes : A(1200x2400), B(2400x3600), C(1200x3600) Parallel Time: 1.770037 seconds",2880000,8640000,4320000,20736000000,0,0,1,q_dominant
Implementation 1 (Serial),1200,2400,3600,25,33.089183,1.000000,1.000000,33.089183,0,ok,./bin/mm_serial 1200 2400 3600,Time: 33.089183 seconds,2880000,8640000,4320000,20736000000,0,0,1,q_dominant
Implementation 2 (MM-1D),1200,2400,3600,25,3.269560,10.059396,10.120378,81.739000,0,ok,mpirun -np 25 ./bin/mm_1d 1200 2400 3600,Local Matrix Multiplication Compute Time: 2.12457 seconds Total Runtime: 3.26956 seconds,2880000,8640000,4320000,20736000000,0,0,1,q_dominant
Implementation 3 (MM-2D),1200,2400,3600,25,1.902701,17.219162,17.390637,47.567525,0,ok,mpirun -np 25 ./bin/mm_2d 1200 2400 3600,"MM-2D completed Processes (P): 25 Grid size    : 5 x 5 Matrix sizes : A(1200x2400), B(2400x3600), C(1200x3600) Parallel Time: 1.902701 seconds",2880000,8640000,4320000,20736000000,0,0,1,q_dominant
Implementation 1 (Serial),1200,2400,4200,1,25.936031,1.000000,1.000000,25.936031,0,ok,./bin/mm_serial 1200 2400 4200,Time: 25.936031 seconds,2880000,10080000,5040000,24192000000,0,0,1,q_dominant
Implementation 2 (MM-1D),1200,2400,4200,1,25.016700,1.000000,1.036749,25.016700,0,ok,mpirun -np 1 ./bin/mm_1d 1200 2400 4200,Local Matrix Multiplication Compute Time: 24.8918 seconds Total Runtime: 25.0167 seconds,2880000,10080000,5040000,24192000000,0,0,1,q_dominant
Implementation 3 (MM-2D),1200,2400,4200,1,25.007796,1.000000,1.037118,25.007796,0,ok,mpirun -np 1 ./bin/mm_2d 1200 2400 4200,"MM-2D completed Processes (P): 1 Grid size    : 1 x 1 Matrix sizes : A(1200x2400), B(2400x4200), C(1200x4200) Parallel Time: 25.007796 seconds",2880000,10080000,5040000,24192000000,0,0,1,q_dominant
Implementation 1 (Serial),1200,2400,4200,4,25.936031,1.000000,1.000000,25.936031,0,ok,./bin/mm_serial 1200 2400 4200,Time: 25.936031 seconds,2880000,10080000,5040000,24192000000,0,0,1,q_dominant
Implementation 2 (MM-1D),1200,2400,4200,4,6.701010,3.733273,3.870466,26.804040,0,ok,mpirun -np 4 ./bin/mm_1d 1200 2400 4200,Local Matrix Multiplication Compute Time: 6.52582 seconds Total Runtime: 6.70101 seconds,2880000,10080000,5040000,24192000000,0,0,1,q_dominant
Implementation 3 (MM-2D),1200,2400,4200,4,7.044209,3.550121,3.681894,28.176836,0,ok,mpirun -np 4 ./bin/mm_2d 1200 2400 4200,"MM-2D completed Processes (P): 4 Grid size    : 2 x 2 Matrix sizes : A(1200x2400), B(2400x4200), C(1200x4200) Parallel Time: 7.044209 seconds",2880000,10080000,5040000,24192000000,0,0,1,q_dominant
Implementation 1 (Serial),1200,2400,4200,9,25.936031,1.000000,1.000000,25.936031,0,ok,./bin/mm_serial 1200 2400 4200,Time: 25.936031 seconds,2880000,10080000,5040000,24192000000,0,0,1,q_dominant
Implementation 2 (MM-1D),1200,2400,4200,9,3.524610,7.097721,7.358553,31.721490,0,ok,mpirun -np 9 ./bin/mm_1d 1200 2400 4200,Local Matrix Multiplication Compute Time: 3.22913 seconds Total Runtime: 3.52461 seconds,2880000,10080000,5040000,24192000000,0,0,1,q_dominant
Implementation 3 (MM-2D),1200,2400,4200,9,3.405979,7.342322,7.614853,30.653811,0,ok,mpirun -np 9 ./bin/mm_2d 1200 2400 4200,"MM-2D completed Processes (P): 9 Grid size    : 3 x 3 Matrix sizes : A(1200x2400), B(2400x4200), C(1200x4200) Parallel Time: 3.405979 seconds",2880000,10080000,5040000,24192000000,0,0,1,q_dominant
Implementation 1 (Serial),1200,2400,4200,16,25.936031,1.000000,1.000000,25.936031,0,ok,./bin/mm_serial 1200 2400 4200,Time: 25.936031 seconds,2880000,10080000,5040000,24192000000,0,0,1,q_dominant
Implementation 2 (MM-1D),1200,2400,4200,16,2.487670,10.056278,10.425833,39.802720,0,ok,mpirun -np 16 ./bin/mm_1d 1200 2400 4200,Local Matrix Multiplication Compute Time: 2.02152 seconds Total Runtime: 2.48767 seconds,2880000,10080000,5040000,24192000000,0,0,1,q_dominant
Implementation 3 (MM-2D),1200,2400,4200,16,2.420731,10.330679,10.714132,38.731696,0,ok,mpirun -np 16 ./bin/mm_2d 1200 2400 4200,"MM-2D completed Processes (P): 16 Grid size    : 4 x 4 Matrix sizes : A(1200x2400), B(2400x4200), C(1200x4200) Parallel Time: 2.420731 seconds",2880000,10080000,5040000,24192000000,0,0,1,q_dominant
Implementation 1 (Serial),1200,2400,4200,25,25.936031,1.000000,1.000000,25.936031,0,ok,./bin/mm_serial 1200 2400 4200,Time: 25.936031 seconds,2880000,10080000,5040000,24192000000,0,0,1,q_dominant
Implementation 2 (MM-1D),1200,2400,4200,25,3.614690,6.920842,7.175174,90.367250,0,ok,mpirun -np 25 ./bin/mm_1d 1200 2400 4200,Local Matrix Multiplication Compute Time: 2.61745 seconds Total Runtime: 3.61469 seconds,2880000,10080000,5040000,24192000000,0,0,1,q_dominant
Implementation 3 (MM-2D),1200,2400,4200,25,2.227971,11.224471,11.641099,55.699275,0,ok,mpirun -np 25 ./bin/mm_2d 1200 2400 4200,"MM-2D completed Processes (P): 25 Grid size    : 5 x 5 Matrix sizes : A(1200x2400), B(2400x4200), C(1200x4200) Parallel Time: 2.227971 seconds",2880000,10080000,5040000,24192000000,0,0,1,q_dominant
Implementation 1 (Serial),1200,2400,600,1,47.871984,1.000000,1.000000,47.871984,0,ok,./bin/mm_serial 1200 2400 600,Time: 47.871984 seconds,2880000,1440000,720000,3456000000,0,1,0,n_dominant
Implementation 2 (MM-1D),1200,2400,600,1,2.046250,1.000000,23.394983,2.046250,0,ok,mpirun -np 1 ./bin/mm_1d 1200 2400 600,Local Matrix Multiplication Compute Time: 2.00415 seconds Total Runtime: 2.04625 seconds,2880000,1440000,720000,3456000000,0,1,0,n_dominant
Implementation 3 (MM-2D),1200,2400,600,1,2.059532,1.000000,23.244108,2.059532,0,ok,mpirun -np 1 ./bin/mm_2d 1200 2400 600,"MM-2D completed Processes (P): 1 Grid size    : 1 x 1 Matrix sizes : A(1200x2400), B(2400x600), C(1200x600) Parallel Time: 2.059532 seconds",2880000,1440000,720000,3456000000,0,1,0,n_dominant
Implementation 1 (Serial),1200,2400,600,4,47.871984,1.000000,1.000000,47.871984,0,ok,./bin/mm_serial 1200 2400 600,Time: 47.871984 seconds,2880000,1440000,720000,3456000000,0,1,0,n_dominant
Implementation 2 (MM-1D),1200,2400,600,4,0.774559,2.641826,61.805471,3.098236,0,ok,mpirun -np 4 ./bin/mm_1d 1200 2400 600,Local Matrix Multiplication Compute Time: 0.728252 seconds Total Runtime: 0.774559 seconds,2880000,1440000,720000,3456000000,0,1,0,n_dominant
Implementation 3 (MM-2D),1200,2400,600,4,0.550789,3.739240,86.915287,2.203156,0,ok,mpirun -np 4 ./bin/mm_2d 1200 2400 600,"MM-2D completed Processes (P): 4 Grid size    : 2 x 2 Matrix sizes : A(1200x2400), B(2400x600), C(1200x600) Parallel Time: 0.550789 seconds",2880000,1440000,720000,3456000000,0,1,0,n_dominant
Implementation 1 (Serial),1200,2400,600,9,47.871984,1.000000,1.000000,47.871984,0,ok,./bin/mm_serial 1200 2400 600,Time: 47.871984 seconds,2880000,1440000,720000,3456000000,0,1,0,n_dominant
Implementation 2 (MM-1D),1200,2400,600,9,0.520897,3.928320,91.902975,4.688073,0,ok,mpirun -np 9 ./bin/mm_1d 1200 2400 600,Local Matrix Multiplication Compute Time: 0.456174 seconds Total Runtime: 0.520897 seconds,2880000,1440000,720000,3456000000,0,1,0,n_dominant
Implementation 3 (MM-2D),1200,2400,600,9,0.297417,6.924729,160.959138,2.676753,0,ok,mpirun -np 9 ./bin/mm_2d 1200 2400 600,"MM-2D completed Processes (P): 9 Grid size    : 3 x 3 Matrix sizes : A(1200x2400), B(2400x600), C(1200x600) Parallel Time: 0.297417 seconds",2880000,1440000,720000,3456000000,0,1,0,n_dominant
Implementation 1 (Serial),1200,2400,600,16,47.871984,1.000000,1.000000,47.871984,0,ok,./bin/mm_serial 1200 2400 600,Time: 47.871984 seconds,2880000,1440000,720000,3456000000,0,1,0,n_dominant
Implementation 2 (MM-1D),1200,2400,600,16,0.373780,5.474477,128.075296,5.980480,0,ok,mpirun -np 16 ./bin/mm_1d 1200 2400 600,Local Matrix Multiplication Compute Time: 0.280506 seconds Total Runtime: 0.37378 seconds,2880000,1440000,720000,3456000000,0,1,0,n_dominant
