implementation,shape_type,m,n,q,p,total_ops,avg_seconds,avg_speedup,avg_serial_speedup,avg_cost,sample_count
Implementation 1 (Serial),m_dominant,2400,1800,600,1,5184000000,3.319705000,1.000000,1.000000,3.319705000,1
Implementation 1 (Serial),m_dominant,2400,1800,600,4,5184000000,3.319705000,1.000000,1.000000,3.319705000,1
Implementation 1 (Serial),m_dominant,2400,1800,600,9,5184000000,3.319705000,1.000000,1.000000,3.319705000,1
Implementation 1 (Serial),m_dominant,2400,1800,600,16,5184000000,3.319705000,1.000000,1.000000,3.319705000,1
Implementation 1 (Serial),m_dominant,2400,1800,600,25,5184000000,3.319705000,1.000000,1.000000,3.319705000,1
Implementation 1 (Serial),m_dominant,2400,1800,1200,1,10368000000,8.067670000,1.000000,1.000000,8.067670000,1
Implementation 1 (Serial),m_dominant,2400,1800,1200,4,10368000000,8.067670000,1.000000,1.000000,8.067670000,1
Implementation 1 (Serial),m_dominant,2400,1800,1200,9,10368000000,8.067670000,1.000000,1.000000,8.067670000,1
Implementation 1 (Serial),m_dominant,2400,1800,1200,16,10368000000,8.067670000,1.000000,1.000000,8.067670000,1
Implementation 1 (Serial),m_dominant,2400,1800,1200,25,10368000000,8.067670000,1.000000,1.000000,8.067670000,1
Implementation 1 (Serial),m_dominant,2400,1800,1800,1,15552000000,15.379239000,1.000000,1.000000,15.379239000,1
Implementation 1 (Serial),m_dominant,2400,1800,1800,4,15552000000,15.379239000,1.000000,1.000000,15.379239000,1
Implementation 1 (Serial),m_dominant,2400,1800,1800,9,15552000000,15.379239000,1.000000,1.000000,15.379239000,1
Implementation 1 (Serial),m_dominant,2400,1800,1800,16,15552000000,15.379239000,1.000000,1.000000,15.379239000,1
Implementation 1 (Serial),m_dominant,2400,1800,1800,25,15552000000,15.379239000,1.000000,1.000000,15.379239000,1
Implementation 1 (Serial),m_dominant,3000,600,600,1,2160000000,1.388186000,1.000000,1.000000,1.388186000,1
Implementation 1 (Serial),m_dominant,3000,600,600,4,2160000000,1.388186000,1.000000,1.000000,1.388186000,1
Implementation 1 (Serial),m_dominant,3000,600,600,9,2160000000,1.388186000,1.000000,1.000000,1.388186000,1
Implementation 1 (Serial),m_dominant,3000,600,600,16,2160000000,1.388186000,1.000000,1.000000,1.388186000,1
Implementation 1 (Serial),m_dominant,3000,600,600,25,2160000000,1.388186000,1.000000,1.000000,1.388186000,1
Implementation 1 (Serial),m_dominant,3000,600,1200,1,4320000000,2.784114000,1.000000,1.000000,2.784114000,1
Implementation 1 (Serial),m_dominant,3000,600,1200,4,4320000000,2.784114000,1.000000,1.000000,2.784114000,1
Implementation 1 (Serial),m_dominant,3000,600,1200,9,4320000000,2.784114000,1.000000,1.000000,2.784114000,1
Implementation 1 (Serial),m_dominant,3000,600,1200,16,4320000000,2.784114000,1.000000,1.000000,2.784114000,1
Implementation 1 (Serial),m_dominant,3000,600,1200,25,4320000000,2.784114000,1.000000,1.000000,2.784114000,1
Implementation 1 (Serial),m_dominant,3000,600,1800,1,6480000000,4.032597000,1.000000,1.000000,4.032597000,1
Implementation 1 (Serial),m_dominant,3000,600,1800,4,6480000000,4.032597000,1.000000,1.000000,4.032597000,1
Implementation 1 (Serial),m_dominant,3000,600,1800,9,6480000000,4.032597000,1.000000,1.000000,4.032597000,1
Implementation 1 (Serial),m_dominant,3000,600,1800,16,6480000000,4.032597000,1.000000,1.000000,4.032597000,1
Implementation 1 (Serial),m_dominant,3000,600,1800,25,6480000000,4.032597000,1.000000,1.000000,4.032597000,1
Implementation 1 (Serial),m_dominant,3000,600,2400,1,8640000000,5.745207000,1.000000,1.000000,5.745207000,1
Implementation 1 (Serial),m_dominant,3000,600,2400,4,8640000000,5.745207000,1.000000,1.000000,5.745207000,1
Implementation 1 (Serial),m_dominant,3000,600,2400,9,8640000000,5.745207000,1.000000,1.000000,5.745207000,1
Implementation 1 (Serial),m_dominant,3000,600,2400,16,8640000000,5.745207000,1.000000,1.000000,5.745207000,1
Implementation 1 (Serial),m_dominant,3000,600,2400,25,8640000000,5.745207000,1.000000,1.000000,5.745207000,1
Implementation 1 (Serial),m_dominant,3000,1200,600,1,4320000000,2.717310000,1.000000,1.000000,2.717310000,1
Implementation 1 (Serial),m_dominant,3000,1200,600,4,4320000000,2.717310000,1.000000,1.000000,2.717310000,1
Implementation 1 (Serial),m_dominant,3000,1200,600,9,4320000000,2.717310000,1.000000,1.000000,2.717310000,1
