implementation,m,n,q,p,seconds,speedup,serial_speedup,cost,exit_code,status,command,raw_output
"Implementation 1 (Serial)",3600,3600,4200,1,138.509418,1.000000,1.000000,138.509418,0,"ok","./bin/mm_serial 3600 3600 4200","Time: 138.509418 seconds"
"Implementation 2 (MM-1D)",3600,3600,4200,1,125.397000,1.000000,1.104567,125.397000,0,"ok","mpirun -np 1 ./bin/mm_1d 3600 3600 4200","Local Matrix Multiplication Compute Time: 125.09 seconds Total Runtime: 125.397 seconds"
"Implementation 3 (MM-2D)",3600,3600,4200,1,128.268987,1.000000,1.079836,128.268987,0,"ok","mpirun -np 1 ./bin/mm_2d 3600 3600 4200","MM-2D completed Processes (P): 1 Grid size    : 1 x 1 Matrix sizes : A(3600x3600), B(3600x4200), C(3600x4200) Parallel Time: 128.268987 seconds"
"Implementation 1 (Serial)",3600,3600,4200,4,138.509418,1.000000,1.000000,138.509418,0,"ok","./bin/mm_serial 3600 3600 4200","Time: 138.509418 seconds"
"Implementation 2 (MM-1D)",3600,3600,4200,4,33.130600,3.784930,4.180710,132.522400,0,"ok","mpirun -np 4 ./bin/mm_1d 3600 3600 4200","Local Matrix Multiplication Compute Time: 32.772 seconds Total Runtime: 33.1306 seconds"
"Implementation 3 (MM-2D)",3600,3600,4200,4,31.500292,4.071994,4.397084,126.001168,0,"ok","mpirun -np 4 ./bin/mm_2d 3600 3600 4200","MM-2D completed Processes (P): 4 Grid size    : 2 x 2 Matrix sizes : A(3600x3600), B(3600x4200), C(3600x4200) Parallel Time: 31.500292 seconds"
"Implementation 1 (Serial)",3600,3600,4200,9,138.509418,1.000000,1.000000,138.509418,0,"ok","./bin/mm_serial 3600 3600 4200","Time: 138.509418 seconds"
"Implementation 2 (MM-1D)",3600,3600,4200,9,17.865100,7.019104,7.753073,160.785900,0,"ok","mpirun -np 9 ./bin/mm_1d 3600 3600 4200","Local Matrix Multiplication Compute Time: 17.0067 seconds Total Runtime: 17.8651 seconds"
"Implementation 3 (MM-2D)",3600,3600,4200,9,15.131931,8.476710,9.153453,136.187379,0,"ok","mpirun -np 9 ./bin/mm_2d 3600 3600 4200","MM-2D completed Processes (P): 9 Grid size    : 3 x 3 Matrix sizes : A(3600x3600), B(3600x4200), C(3600x4200) Parallel Time: 15.131931 seconds"
"Implementation 1 (Serial)",3600,3600,4200,16,138.509418,1.000000,1.000000,138.509418,0,"ok","./bin/mm_serial 3600 3600 4200","Time: 138.509418 seconds"
"Implementation 2 (MM-1D)",3600,3600,4200,16,11.474400,10.928415,12.071169,183.590400,0,"ok","mpirun -np 16 ./bin/mm_1d 3600 3600 4200","Local Matrix Multiplication Compute Time: 10.6486 seconds Total Runtime: 11.4744 seconds"
"Implementation 3 (MM-2D)",3600,3600,4200,16,10.410168,12.321510,13.305205,166.562688,0,"ok","mpirun -np 16 ./bin/mm_2d 3600 3600 4200","MM-2D completed Processes (P): 16 Grid size    : 4 x 4 Matrix sizes : A(3600x3600), B(3600x4200), C(3600x4200) Parallel Time: 10.410168 seconds"
"Implementation 1 (Serial)",3600,3600,4200,25,138.509418,1.000000,1.000000,138.509418,0,"ok","./bin/mm_serial 3600 3600 4200","Time: 138.509418 seconds"
"Implementation 2 (MM-1D)",3600,3600,4200,25,15.152300,8.275773,9.141148,378.807500,0,"ok","mpirun -np 25 ./bin/mm_1d 3600 3600 4200","Local Matrix Multiplication Compute Time: 13.641 seconds Total Runtime: 15.1523 seconds"
"Implementation 3 (MM-2D)",3600,3600,4200,25,9.767220,13.132599,14.181048,244.180500,0,"ok","mpirun -np 25 ./bin/mm_2d 3600 3600 4200","MM-2D completed Processes (P): 25 Grid size    : 5 x 5 Matrix sizes : A(3600x3600), B(3600x4200), C(3600x4200) Parallel Time: 9.767220 seconds"
