implementation,m,n,q,p,seconds,speedup,serial_speedup,cost,exit_code,status,command,raw_output
"Implementation 1 (Serial)",2400,3600,1800,1,68.119714,1.000000,1.000000,68.119714,0,"ok","./bin/mm_serial 2400 3600 1800","Time: 68.119714 seconds"
"Implementation 2 (MM-1D)",2400,3600,1800,1,66.585600,1.000000,1.023040,66.585600,0,"ok","mpirun -np 1 ./bin/mm_1d 2400 3600 1800","mpirun: Forwarding signal 20 to job mpirun: Forwarding signal 18 to job mpirun: Forwarding signal 20 to job mpirun: Forwarding signal 18 to job Local Matrix Multiplication Compute Time: 66.4468 seconds Total Runtime: 66.5856 seconds"
"Implementation 3 (MM-2D)",2400,3600,1800,1,64.766100,1.000000,1.051780,64.766100,0,"ok","mpirun -np 1 ./bin/mm_2d 2400 3600 1800","mpirun: Forwarding signal 20 to job mpirun: Forwarding signal 18 to job mpirun: Forwarding signal 20 to job mpirun: Forwarding signal 18 to job MM-2D completed Processes (P): 1 Grid size    : 1 x 1 Matrix sizes : A(2400x3600), B(3600x1800), C(2400x1800) Parallel Time: 64.766100 seconds"
"Implementation 1 (Serial)",2400,3600,1800,4,68.119714,1.000000,1.000000,68.119714,0,"ok","./bin/mm_serial 2400 3600 1800","Time: 68.119714 seconds"
"Implementation 2 (MM-1D)",2400,3600,1800,4,39.614200,1.680852,1.719578,158.456800,0,"ok","mpirun -np 4 ./bin/mm_1d 2400 3600 1800","mpirun: Forwarding signal 20 to job mpirun: Forwarding signal 18 to job mpirun: Forwarding signal 20 to job mpirun: Forwarding signal 18 to job Local Matrix Multiplication Compute Time: 39.0308 seconds Total Runtime: 39.6142 seconds"
"Implementation 3 (MM-2D)",2400,3600,1800,4,7.929148,8.168103,8.591051,31.716592,0,"ok","mpirun -np 4 ./bin/mm_2d 2400 3600 1800","mpirun: Forwarding signal 20 to job mpirun: Forwarding signal 18 to job MM-2D completed Processes (P): 4 Grid size    : 2 x 2 Matrix sizes : A(2400x3600), B(3600x1800), C(2400x1800) Parallel Time: 7.929148 seconds"
"Implementation 1 (Serial)",2400,3600,1800,9,68.119714,1.000000,1.000000,68.119714,0,"ok","./bin/mm_serial 2400 3600 1800","Time: 68.119714 seconds"
"Implementation 2 (MM-1D)",2400,3600,1800,9,34.728900,1.917297,1.961471,312.560100,0,"ok","mpirun -np 9 ./bin/mm_1d 2400 3600 1800","mpirun: Forwarding signal 20 to job mpirun: Forwarding signal 18 to job mpirun: Forwarding signal 20 to job mpirun: Forwarding signal 18 to job Local Matrix Multiplication Compute Time: 34.486 seconds Total Runtime: 34.7289 seconds"
"Implementation 3 (MM-2D)",2400,3600,1800,9,4.146586,15.619138,16.427903,37.319274,0,"ok","mpirun -np 9 ./bin/mm_2d 2400 3600 1800","mpirun: Forwarding signal 20 to job mpirun: Forwarding signal 18 to job MM-2D completed Processes (P): 9 Grid size    : 3 x 3 Matrix sizes : A(2400x3600), B(3600x1800), C(2400x1800) Parallel Time: 4.146586 seconds"
"Implementation 1 (Serial)",2400,3600,1800,16,68.119714,1.000000,1.000000,68.119714,0,"ok","./bin/mm_serial 2400 3600 1800","Time: 68.119714 seconds"
"Implementation 2 (MM-1D)",2400,3600,1800,16,3.133570,21.249118,21.738692,50.137120,0,"ok","mpirun -np 16 ./bin/mm_1d 2400 3600 1800","mpirun: Forwarding signal 20 to job mpirun: Forwarding signal 18 to job mpirun: Forwarding signal 20 to job mpirun: Forwarding signal 18 to job Local Matrix Multiplication Compute Time: 2.77767 seconds Total Runtime: 3.13357 seconds"
"Implementation 3 (MM-2D)",2400,3600,1800,16,2.795120,23.171134,24.370944,44.721920,0,"ok","mpirun -np 16 ./bin/mm_2d 2400 3600 1800","mpirun: Forwarding signal 20 to job mpirun: Forwarding signal 18 to job MM-2D completed Processes (P): 16 Grid size    : 4 x 4 Matrix sizes : A(2400x3600), B(3600x1800), C(2400x1800) Parallel Time: 2.795120 seconds"
"Implementation 1 (Serial)",2400,3600,1800,25,68.119714,1.000000,1.000000,68.119714,0,"ok","./bin/mm_serial 2400 3600 1800","Time: 68.119714 seconds"
"Implementation 2 (MM-1D)",2400,3600,1800,25,3.914720,17.009033,17.400916,97.868000,0,"ok","mpirun -np 25 ./bin/mm_1d 2400 3600 1800","mpirun: Forwarding signal 20 to job mpirun: Forwarding signal 18 to job mpirun: Forwarding signal 20 to job mpirun: Forwarding signal 18 to job Local Matrix Multiplication Compute Time: 3.15901 seconds Total Runtime: 3.91472 seconds"
"Implementation 3 (MM-2D)",2400,3600,1800,25,2.462263,26.303486,27.665491,61.556575,0,"ok","mpirun -np 25 ./bin/mm_2d 2400 3600 1800","mpirun: Forwarding signal 20 to job mpirun: Forwarding signal 18 to job MM-2D completed Processes (P): 25 Grid size    : 5 x 5 Matrix sizes : A(2400x3600), B(3600x1800), C(2400x1800) Parallel Time: 2.462263 seconds"
