implementation,m,n,q,p,seconds,speedup,cost,exit_code,status,command,raw_output
"Implementation 1 (Serial)",12,12,24,1,0.000073,1.000000,0.000073,0,"ok","./bin/mm_serial 12 12 24","Time: 0.000073 seconds"
"Implementation 2 (MM-1D)",12,12,24,1,0.000060,1.214602,0.000060,0,"ok","mpirun -np 1 ./bin/mm_1d 12 12 24","Local Matrix Multiplication Compute Time: 3.46694e-05 seconds Total Runtime: 6.0102e-05 seconds"
"Implementation 3 (MM-2D)",12,12,24,1,0.000040,1.825000,0.000040,0,"ok","mpirun -np 1 ./bin/mm_2d 12 12 24","MM-2D completed Processes (P): 1 Grid size    : 1 x 1 Matrix sizes : A(12x12), B(12x24), C(12x24) Parallel Time: 0.000040 seconds"
"Implementation 1 (Serial)",12,12,24,4,0.000064,1.000000,0.000064,0,"ok","./bin/mm_serial 12 12 24","Time: 0.000064 seconds"
"Implementation 2 (MM-1D)",12,12,24,4,0.000197,0.325572,0.000786,0,"ok","mpirun -np 4 ./bin/mm_1d 12 12 24","Local Matrix Multiplication Compute Time: 8.67434e-06 seconds Total Runtime: 0.000196577 seconds"
"Implementation 3 (MM-2D)",12,12,24,4,0.000227,0.281938,0.000908,0,"ok","mpirun -np 4 ./bin/mm_2d 12 12 24","MM-2D completed Processes (P): 4 Grid size    : 2 x 2 Matrix sizes : A(12x12), B(12x24), C(12x24) Parallel Time: 0.000227 seconds"
"Implementation 1 (Serial)",12,12,24,9,0.000067,1.000000,0.000067,0,"ok","./bin/mm_serial 12 12 24","Time: 0.000067 seconds"
"Implementation 2 (MM-1D)",12,12,24,9,0.000300,0.223661,0.002696,0,"ok","mpirun -np 9 ./bin/mm_1d 12 12 24","Local Matrix Multiplication Compute Time: 5.84871e-06 seconds Total Runtime: 0.000299561 seconds"
"Implementation 3 (MM-2D)",12,12,24,9,0.000345,0.194203,0.003105,0,"ok","mpirun -np 9 ./bin/mm_2d 12 12 24","MM-2D completed Processes (P): 9 Grid size    : 3 x 3 Matrix sizes : A(12x12), B(12x24), C(12x24) Parallel Time: 0.000345 seconds"
