implementation,m,n,q,p,seconds,speedup,serial_speedup,cost,exit_code,status,command,raw_output
"Implementation 1 (Serial)",600,600,1800,1,0.811633,1.000000,1.000000,0.811633,0,"ok","./bin/mm_serial 600 600 1800","Time: 0.811633 seconds"
"Implementation 2 (MM-1D)",600,600,1800,1,0.763989,1.000000,1.062362,0.763989,0,"ok","mpirun -np 1 ./bin/mm_1d 600 600 1800","Local Matrix Multiplication Compute Time: 0.742422 seconds Total Runtime: 0.763989 seconds"
"Implementation 3 (MM-2D)",600,600,1800,1,0.743599,1.000000,1.091493,0.743599,0,"ok","mpirun -np 1 ./bin/mm_2d 600 600 1800","MM-2D completed Processes (P): 1 Grid size    : 1 x 1 Matrix sizes : A(600x600), B(600x1800), C(600x1800) Parallel Time: 0.743599 seconds"
"Implementation 1 (Serial)",600,600,1800,4,0.811633,1.000000,1.000000,0.811633,0,"ok","./bin/mm_serial 600 600 1800","Time: 0.811633 seconds"
"Implementation 2 (MM-1D)",600,600,1800,4,0.250547,3.049284,3.239444,1.002188,0,"ok","mpirun -np 4 ./bin/mm_1d 600 600 1800","Local Matrix Multiplication Compute Time: 0.221275 seconds Total Runtime: 0.250547 seconds"
"Implementation 3 (MM-2D)",600,600,1800,4,0.194462,3.823878,4.173736,0.777848,0,"ok","mpirun -np 4 ./bin/mm_2d 600 600 1800","MM-2D completed Processes (P): 4 Grid size    : 2 x 2 Matrix sizes : A(600x600), B(600x1800), C(600x1800) Parallel Time: 0.194462 seconds"
"Implementation 1 (Serial)",600,600,1800,9,0.811633,1.000000,1.000000,0.811633,0,"ok","./bin/mm_serial 600 600 1800","Time: 0.811633 seconds"
"Implementation 2 (MM-1D)",600,600,1800,9,0.226689,3.370208,3.580381,2.040201,0,"ok","mpirun -np 9 ./bin/mm_1d 600 600 1800","Local Matrix Multiplication Compute Time: 0.178813 seconds Total Runtime: 0.226689 seconds"
"Implementation 3 (MM-2D)",600,600,1800,9,0.122135,6.088337,6.645376,1.099215,0,"ok","mpirun -np 9 ./bin/mm_2d 600 600 1800","MM-2D completed Processes (P): 9 Grid size    : 3 x 3 Matrix sizes : A(600x600), B(600x1800), C(600x1800) Parallel Time: 0.122135 seconds"
"Implementation 1 (Serial)",600,600,1800,16,0.811633,1.000000,1.000000,0.811633,0,"ok","./bin/mm_serial 600 600 1800","Time: 0.811633 seconds"
"Implementation 2 (MM-1D)",600,600,1800,16,0.169755,4.500539,4.781202,2.716080,0,"ok","mpirun -np 16 ./bin/mm_1d 600 600 1800","Local Matrix Multiplication Compute Time: 0.102552 seconds Total Runtime: 0.169755 seconds"
"Implementation 3 (MM-2D)",600,600,1800,16,0.094894,7.836101,8.553049,1.518304,0,"ok","mpirun -np 16 ./bin/mm_2d 600 600 1800","MM-2D completed Processes (P): 16 Grid size    : 4 x 4 Matrix sizes : A(600x600), B(600x1800), C(600x1800) Parallel Time: 0.094894 seconds"
"Implementation 1 (Serial)",600,600,1800,25,0.811633,1.000000,1.000000,0.811633,0,"ok","./bin/mm_serial 600 600 1800","Time: 0.811633 seconds"
"Implementation 2 (MM-1D)",600,600,1800,25,0.187855,4.066908,4.320529,4.696375,0,"ok","mpirun -np 25 ./bin/mm_1d 600 600 1800","Local Matrix Multiplication Compute Time: 0.0659847 seconds Total Runtime: 0.187855 seconds"
"Implementation 3 (MM-2D)",600,600,1800,25,0.084002,8.852158,9.662068,2.100050,0,"ok","mpirun -np 25 ./bin/mm_2d 600 600 1800","MM-2D completed Processes (P): 25 Grid size    : 5 x 5 Matrix sizes : A(600x600), B(600x1800), C(600x1800) Parallel Time: 0.084002 seconds"
