implementation,m,n,q,p,seconds,speedup,cost,exit_code,status,command,raw_output
"Implementation 1 (Serial)",3000,2400,2400,1,532.980310,1.000000,532.980310,0,"ok","./bin/mm_serial 3000 2400 2400","Time: 532.980310 seconds"
"Implementation 2 (MM-1D)",3000,2400,2400,1,414.144000,1.286944,414.144000,0,"ok","mpirun -np 1 ./bin/mm_1d 3000 2400 2400","mpirun: Forwarding signal 20 to job mpirun: Forwarding signal 18 to job mpirun: Forwarding signal 20 to job mpirun: Forwarding signal 18 to job mpirun: Forwarding signal 20 to job mpirun: Forwarding signal 18 to job mpirun: Forwarding signal 20 to job mpirun: Forwarding signal 18 to job mpirun: Forwarding signal 20 to job mpirun: Forwarding signal 18 to job mpirun: Forwarding signal 20 to job mpirun: Forwarding signal 18 to job mpirun: Forwarding signal 20 to job mpirun: Forwarding signal 18 to job mpirun: Forwarding signal 20 to job mpirun: Forwarding signal 18 to job mpirun: Forwarding signal 20 to job mpirun: Forwarding signal 18 to job mpirun: Forwarding signal 20 to job mpirun: Forwarding signal 18 to job mpirun: Forwarding signal 20 to job mpirun: Forwarding signal 18 to job mpirun: Forwarding signal 20 to job mpirun: Forwarding signal 18 to job mpirun: Forwarding signal 20 to job mpirun: Forwarding signal 18 to job Local Matrix Multiplication Compute Time: 413.787 seconds Total Runtime: 414.144 seconds"
"Implementation 3 (MM-2D)",3000,2400,2400,1,412.914225,1.290777,412.914225,0,"ok","mpirun -np 1 ./bin/mm_2d 3000 2400 2400","mpirun: Forwarding signal 20 to job mpirun: Forwarding signal 18 to job mpirun: Forwarding signal 20 to job mpirun: Forwarding signal 18 to job mpirun: Forwarding signal 20 to job mpirun: Forwarding signal 18 to job mpirun: Forwarding signal 20 to job mpirun: Forwarding signal 18 to job mpirun: Forwarding signal 20 to job mpirun: Forwarding signal 18 to job mpirun: Forwarding signal 20 to job mpirun: Forwarding signal 18 to job mpirun: Forwarding signal 20 to job mpirun: Forwarding signal 18 to job mpirun: Forwarding signal 20 to job mpirun: Forwarding signal 18 to job mpirun: Forwarding signal 20 to job mpirun: Forwarding signal 18 to job mpirun: Forwarding signal 20 to job mpirun: Forwarding signal 18 to job mpirun: Forwarding signal 20 to job mpirun: Forwarding signal 18 to job mpirun: Forwarding signal 20 to job mpirun: Forwarding signal 18 to job mpirun: Forwarding signal 20 to job mpirun: Forwarding signal 18 to job mpirun: Forwarding signal 20 to job mpirun: Forwarding signal 18 to job mpirun: Forwarding signal 20 to job mpirun: Forwarding signal 18 to job mpirun: Forwarding signal 20 to job mpirun: Forwarding signal 18 to job mpirun: Forwarding signal 20 to job mpirun: Forwarding signal 18 to job mpirun: Forwarding signal 20 to job mpirun: Forwarding signal 18 to job mpirun: Forwarding signal 20 to job mpirun: Forwarding signal 18 to job MM-2D completed Processes (P): 1 Grid size    : 1 x 1 Matrix sizes : A(3000x2400), B(2400x2400), C(3000x2400) Parallel Time: 412.914225 seconds"
"Implementation 1 (Serial)",3000,2400,2400,4,519.505279,1.000000,519.505279,0,"ok","./bin/mm_serial 3000 2400 2400","Time: 519.505279 seconds"
"Implementation 2 (MM-1D)",3000,2400,2400,4,114.824000,4.524361,459.296000,0,"ok","mpirun -np 4 ./bin/mm_1d 3000 2400 2400","mpirun: Forwarding signal 20 to job mpirun: Forwarding signal 18 to job mpirun: Forwarding signal 20 to job mpirun: Forwarding signal 18 to job mpirun: Forwarding signal 20 to job mpirun: Forwarding signal 18 to job mpirun: Forwarding signal 20 to job mpirun: Forwarding signal 18 to job mpirun: Forwarding signal 20 to job mpirun: Forwarding signal 18 to job mpirun: Forwarding signal 20 to job mpirun: Forwarding signal 18 to job mpirun: Forwarding signal 20 to job mpirun: Forwarding signal 18 to job mpirun: Forwarding signal 20 to job mpirun: Forwarding signal 18 to job mpirun: Forwarding signal 20 to job mpirun: Forwarding signal 18 to job Local Matrix Multiplication Compute Time: 114.512 seconds Total Runtime: 114.824 seconds"
"Implementation 3 (MM-2D)",3000,2400,2400,4,190.788533,2.722938,763.154132,0,"ok","mpirun -np 4 ./bin/mm_2d 3000 2400 2400","mpirun: Forwarding signal 20 to job mpirun: Forwarding signal 18 to job mpirun: Forwarding signal 20 to job mpirun: Forwarding signal 18 to job mpirun: Forwarding signal 20 to job mpirun: Forwarding signal 18 to job mpirun: Forwarding signal 20 to job mpirun: Forwarding signal 18 to job mpirun: Forwarding signal 20 to job mpirun: Forwarding signal 18 to job mpirun: Forwarding signal 20 to job mpirun: Forwarding signal 18 to job MM-2D completed Processes (P): 4 Grid size    : 2 x 2 Matrix sizes : A(3000x2400), B(2400x2400), C(3000x2400) Parallel Time: 190.788533 seconds"
"Implementation 1 (Serial)",3000,2400,2400,9,248.510458,1.000000,248.510458,0,"ok","./bin/mm_serial 3000 2400 2400","Time: 248.510458 seconds"
"Implementation 2 (MM-1D)",3000,2400,2400,9,26.378900,9.420804,237.410100,0,"ok","mpirun -np 9 ./bin/mm_1d 3000 2400 2400","Local Matrix Multiplication Compute Time: 25.9993 seconds Total Runtime: 26.3789 seconds"
"Implementation 3 (MM-2D)",3000,2400,2400,9,121.307441,2.048600,1091.766969,0,"ok","mpirun -np 9 ./bin/mm_2d 3000 2400 2400","MM-2D completed Processes (P): 9 Grid size    : 3 x 3 Matrix sizes : A(3000x2400), B(2400x2400), C(3000x2400) Parallel Time: 121.307441 seconds"
"Implementation 1 (Serial)",3000,2400,2400,16,248.163542,1.000000,248.163542,0,"ok","./bin/mm_serial 3000 2400 2400","Time: 248.163542 seconds"
