implementation,m,n,q,p,seconds,speedup,serial_speedup,cost,exit_code,status,command,raw_output
"Implementation 1 (Serial)",4200,600,600,1,1.992621,1.000000,1.000000,1.992621,0,"ok","./bin/mm_serial 4200 600 600","Time: 1.992621 seconds"
"Implementation 2 (MM-1D)",4200,600,600,1,1.816380,1.000000,1.097029,1.816380,0,"ok","mpirun -np 1 ./bin/mm_1d 4200 600 600","Local Matrix Multiplication Compute Time: 1.77146 seconds Total Runtime: 1.81638 seconds"
"Implementation 3 (MM-2D)",4200,600,600,1,1.757391,1.000000,1.133852,1.757391,0,"ok","mpirun -np 1 ./bin/mm_2d 4200 600 600","MM-2D completed Processes (P): 1 Grid size    : 1 x 1 Matrix sizes : A(4200x600), B(600x600), C(4200x600) Parallel Time: 1.757391 seconds"
"Implementation 1 (Serial)",4200,600,600,4,1.992621,1.000000,1.000000,1.992621,0,"ok","./bin/mm_serial 4200 600 600","Time: 1.992621 seconds"
"Implementation 2 (MM-1D)",4200,600,600,4,0.502356,3.615723,3.966552,2.009424,0,"ok","mpirun -np 4 ./bin/mm_1d 4200 600 600","Local Matrix Multiplication Compute Time: 0.454968 seconds Total Runtime: 0.502356 seconds"
"Implementation 3 (MM-2D)",4200,600,600,4,0.439995,3.994116,4.528736,1.759980,0,"ok","mpirun -np 4 ./bin/mm_2d 4200 600 600","MM-2D completed Processes (P): 4 Grid size    : 2 x 2 Matrix sizes : A(4200x600), B(600x600), C(4200x600) Parallel Time: 0.439995 seconds"
"Implementation 1 (Serial)",4200,600,600,9,1.992621,1.000000,1.000000,1.992621,0,"ok","./bin/mm_serial 4200 600 600","Time: 1.992621 seconds"
"Implementation 2 (MM-1D)",4200,600,600,9,0.299960,6.055407,6.642956,2.699640,0,"ok","mpirun -np 9 ./bin/mm_1d 4200 600 600","Local Matrix Multiplication Compute Time: 0.250724 seconds Total Runtime: 0.29996 seconds"
"Implementation 3 (MM-2D)",4200,600,600,9,0.250846,7.005856,7.943603,2.257614,0,"ok","mpirun -np 9 ./bin/mm_2d 4200 600 600","MM-2D completed Processes (P): 9 Grid size    : 3 x 3 Matrix sizes : A(4200x600), B(600x600), C(4200x600) Parallel Time: 0.250846 seconds"
"Implementation 1 (Serial)",4200,600,600,16,1.992621,1.000000,1.000000,1.992621,0,"ok","./bin/mm_serial 4200 600 600","Time: 1.992621 seconds"
"Implementation 2 (MM-1D)",4200,600,600,16,0.260923,6.961364,7.636816,4.174768,0,"ok","mpirun -np 16 ./bin/mm_1d 4200 600 600","Local Matrix Multiplication Compute Time: 0.19712 seconds Total Runtime: 0.260923 seconds"
"Implementation 3 (MM-2D)",4200,600,600,16,0.149865,11.726494,13.296106,2.397840,0,"ok","mpirun -np 16 ./bin/mm_2d 4200 600 600","MM-2D completed Processes (P): 16 Grid size    : 4 x 4 Matrix sizes : A(4200x600), B(600x600), C(4200x600) Parallel Time: 0.149865 seconds"
"Implementation 1 (Serial)",4200,600,600,25,1.992621,1.000000,1.000000,1.992621,0,"ok","./bin/mm_serial 4200 600 600","Time: 1.992621 seconds"
"Implementation 2 (MM-1D)",4200,600,600,25,0.335925,5.407100,5.931744,8.398125,0,"ok","mpirun -np 25 ./bin/mm_1d 4200 600 600","Local Matrix Multiplication Compute Time: 0.176135 seconds Total Runtime: 0.335925 seconds"
"Implementation 3 (MM-2D)",4200,600,600,25,0.161111,10.907952,12.368001,4.027775,0,"ok","mpirun -np 25 ./bin/mm_2d 4200 600 600","MM-2D completed Processes (P): 25 Grid size    : 5 x 5 Matrix sizes : A(4200x600), B(600x600), C(4200x600) Parallel Time: 0.161111 seconds"
