implementation,m,n,q,p,seconds,speedup,cost,exit_code,status,command,raw_output
"Implementation 1 (Serial)",600,2400,1800,1,81.521589,1.000000,81.521589,0,"ok","./bin/mm_serial 600 2400 1800","Time: 81.521589 seconds"
"Implementation 2 (MM-1D)",600,2400,1800,1,26.648200,3.059178,26.648200,0,"ok","mpirun -np 1 ./bin/mm_1d 600 2400 1800","mpirun: Forwarding signal 20 to job mpirun: Forwarding signal 18 to job Local Matrix Multiplication Compute Time: 26.5372 seconds Total Runtime: 26.6482 seconds"
"Implementation 3 (MM-2D)",600,2400,1800,1,56.595906,1.440415,56.595906,0,"ok","mpirun -np 1 ./bin/mm_2d 600 2400 1800","mpirun: Forwarding signal 20 to job mpirun: Forwarding signal 18 to job mpirun: Forwarding signal 20 to job mpirun: Forwarding signal 18 to job mpirun: Forwarding signal 20 to job mpirun: Forwarding signal 18 to job MM-2D completed Processes (P): 1 Grid size    : 1 x 1 Matrix sizes : A(600x2400), B(2400x1800), C(600x1800) Parallel Time: 56.595906 seconds"
"Implementation 1 (Serial)",600,2400,1800,4,62.868174,1.000000,62.868174,0,"ok","./bin/mm_serial 600 2400 1800","Time: 62.868174 seconds"
"Implementation 2 (MM-1D)",600,2400,1800,4,7.250060,8.671401,29.000240,0,"ok","mpirun -np 4 ./bin/mm_1d 600 2400 1800","mpirun: Forwarding signal 20 to job mpirun: Forwarding signal 18 to job Local Matrix Multiplication Compute Time: 7.11948 seconds Total Runtime: 7.25006 seconds"
"Implementation 3 (MM-2D)",600,2400,1800,4,45.507495,1.381491,182.029980,0,"ok","mpirun -np 4 ./bin/mm_2d 600 2400 1800","mpirun: Forwarding signal 20 to job mpirun: Forwarding signal 18 to job mpirun: Forwarding signal 20 to job mpirun: Forwarding signal 18 to job MM-2D completed Processes (P): 4 Grid size    : 2 x 2 Matrix sizes : A(600x2400), B(2400x1800), C(600x1800) Parallel Time: 45.507495 seconds"
"Implementation 1 (Serial)",600,2400,1800,9,62.785845,1.000000,62.785845,0,"ok","./bin/mm_serial 600 2400 1800","Time: 62.785845 seconds"
"Implementation 2 (MM-1D)",600,2400,1800,9,3.664850,17.131900,32.983650,0,"ok","mpirun -np 9 ./bin/mm_1d 600 2400 1800","mpirun: Forwarding signal 20 to job mpirun: Forwarding signal 18 to job Local Matrix Multiplication Compute Time: 3.47753 seconds Total Runtime: 3.66485 seconds"
"Implementation 3 (MM-2D)",600,2400,1800,9,46.984283,1.336316,422.858547,0,"ok","mpirun -np 9 ./bin/mm_2d 600 2400 1800","mpirun: Forwarding signal 20 to job mpirun: Forwarding signal 18 to job mpirun: Forwarding signal 20 to job mpirun: Forwarding signal 18 to job mpirun: Forwarding signal 20 to job mpirun: Forwarding signal 18 to job MM-2D completed Processes (P): 9 Grid size    : 3 x 3 Matrix sizes : A(600x2400), B(2400x1800), C(600x1800) Parallel Time: 46.984283 seconds"
"Implementation 1 (Serial)",600,2400,1800,16,62.766850,1.000000,62.766850,0,"ok","./bin/mm_serial 600 2400 1800","Time: 62.766850 seconds"
"Implementation 2 (MM-1D)",600,2400,1800,16,2.374340,26.435494,37.989440,0,"ok","mpirun -np 16 ./bin/mm_1d 600 2400 1800","mpirun: Forwarding signal 20 to job mpirun: Forwarding signal 18 to job Local Matrix Multiplication Compute Time: 2.1219 seconds Total Runtime: 2.37434 seconds"
"Implementation 3 (MM-2D)",600,2400,1800,16,51.856390,1.210398,829.702240,0,"ok","mpirun -np 16 ./bin/mm_2d 600 2400 1800","mpirun: Forwarding signal 20 to job mpirun: Forwarding signal 18 to job mpirun: Forwarding signal 20 to job mpirun: Forwarding signal 18 to job mpirun: Forwarding signal 20 to job mpirun: Forwarding signal 18 to job MM-2D completed Processes (P): 16 Grid size    : 4 x 4 Matrix sizes : A(600x2400), B(2400x1800), C(600x1800) Parallel Time: 51.856390 seconds"
"Implementation 1 (Serial)",600,2400,1800,25,62.764493,1.000000,62.764493,0,"ok","./bin/mm_serial 600 2400 1800","Time: 62.764493 seconds"
"Implementation 2 (MM-1D)",600,2400,1800,25,2.479870,25.309590,61.996750,0,"ok","mpirun -np 25 ./bin/mm_1d 600 2400 1800","mpirun: Forwarding signal 20 to job mpirun: Forwarding signal 18 to job Local Matrix Multiplication Compute Time: 2.06653 seconds Total Runtime: 2.47987 seconds"
"Implementation 3 (MM-2D)",600,2400,1800,25,59.349141,1.057547,1483.728525,0,"ok","mpirun -np 25 ./bin/mm_2d 600 2400 1800","mpirun: Forwarding signal 20 to job mpirun: Forwarding signal 18 to job mpirun: Forwarding signal 20 to job mpirun: Forwarding signal 18 to job mpirun: Forwarding signal 20 to job mpirun: Forwarding signal 18 to job MM-2D completed Processes (P): 25 Grid size    : 5 x 5 Matrix sizes : A(600x2400), B(2400x1800), C(600x1800) Parallel Time: 59.349141 seconds"
