implementation,m,n,q,p,seconds,speedup,cost,exit_code,status,command,raw_output
"Implementation 1 (Serial)",600,1800,3000,1,40.980811,1.000000,40.980811,0,"ok","./bin/mm_serial 600 1800 3000","Time: 40.980811 seconds"
"Implementation 2 (MM-1D)",600,1800,3000,1,33.494500,1.223509,33.494500,0,"ok","mpirun -np 1 ./bin/mm_1d 600 1800 3000","Local Matrix Multiplication Compute Time: 33.363 seconds Total Runtime: 33.4945 seconds"
"Implementation 3 (MM-2D)",600,1800,3000,1,33.525132,1.222391,33.525132,0,"ok","mpirun -np 1 ./bin/mm_2d 600 1800 3000","MM-2D completed Processes (P): 1 Grid size    : 1 x 1 Matrix sizes : A(600x1800), B(1800x3000), C(600x3000) Parallel Time: 33.525132 seconds"
"Implementation 1 (Serial)",600,1800,3000,4,41.032362,1.000000,41.032362,0,"ok","./bin/mm_serial 600 1800 3000","Time: 41.032362 seconds"
"Implementation 2 (MM-1D)",600,1800,3000,4,8.977840,4.570405,35.911360,0,"ok","mpirun -np 4 ./bin/mm_1d 600 1800 3000","Local Matrix Multiplication Compute Time: 8.82606 seconds Total Runtime: 8.97784 seconds"
"Implementation 3 (MM-2D)",600,1800,3000,4,19.469160,2.107557,77.876640,0,"ok","mpirun -np 4 ./bin/mm_2d 600 1800 3000","MM-2D completed Processes (P): 4 Grid size    : 2 x 2 Matrix sizes : A(600x1800), B(1800x3000), C(600x3000) Parallel Time: 19.469160 seconds"
"Implementation 1 (Serial)",600,1800,3000,9,40.972014,1.000000,40.972014,0,"ok","./bin/mm_serial 600 1800 3000","Time: 40.972014 seconds"
"Implementation 2 (MM-1D)",600,1800,3000,9,4.580230,8.945405,41.222070,0,"ok","mpirun -np 9 ./bin/mm_1d 600 1800 3000","Local Matrix Multiplication Compute Time: 4.35663 seconds Total Runtime: 4.58023 seconds"
"Implementation 3 (MM-2D)",600,1800,3000,9,21.088567,1.942854,189.797103,0,"ok","mpirun -np 9 ./bin/mm_2d 600 1800 3000","MM-2D completed Processes (P): 9 Grid size    : 3 x 3 Matrix sizes : A(600x1800), B(1800x3000), C(600x3000) Parallel Time: 21.088567 seconds"
"Implementation 1 (Serial)",600,1800,3000,16,40.964133,1.000000,40.964133,0,"ok","./bin/mm_serial 600 1800 3000","Time: 40.964133 seconds"
"Implementation 2 (MM-1D)",600,1800,3000,16,2.908100,14.086219,46.529600,0,"ok","mpirun -np 16 ./bin/mm_1d 600 1800 3000","Local Matrix Multiplication Compute Time: 2.59761 seconds Total Runtime: 2.9081 seconds"
"Implementation 3 (MM-2D)",600,1800,3000,16,26.745702,1.531616,427.931232,0,"ok","mpirun -np 16 ./bin/mm_2d 600 1800 3000","MM-2D completed Processes (P): 16 Grid size    : 4 x 4 Matrix sizes : A(600x1800), B(1800x3000), C(600x3000) Parallel Time: 26.745702 seconds"
"Implementation 1 (Serial)",600,1800,3000,25,41.021146,1.000000,41.021146,0,"ok","./bin/mm_serial 600 1800 3000","Time: 41.021146 seconds"
"Implementation 2 (MM-1D)",600,1800,3000,25,3.102710,13.221070,77.567750,0,"ok","mpirun -np 25 ./bin/mm_1d 600 1800 3000","Local Matrix Multiplication Compute Time: 2.63904 seconds Total Runtime: 3.10271 seconds"
"Implementation 3 (MM-2D)",600,1800,3000,25,37.049229,1.107206,926.230725,0,"ok","mpirun -np 25 ./bin/mm_2d 600 1800 3000","MM-2D completed Processes (P): 25 Grid size    : 5 x 5 Matrix sizes : A(600x1800), B(1800x3000), C(600x3000) Parallel Time: 37.049229 seconds"
