implementation,m,n,q,p,seconds,speedup,serial_speedup,cost,exit_code,status,command,raw_output
"Implementation 1 (Serial)",1200,600,1800,1,1.614046,1.000000,1.000000,1.614046,0,"ok","./bin/mm_serial 1200 600 1800","Time: 1.614046 seconds"
"Implementation 2 (MM-1D)",1200,600,1800,1,1.516830,1.000000,1.064092,1.516830,0,"ok","mpirun -np 1 ./bin/mm_1d 1200 600 1800","Local Matrix Multiplication Compute Time: 1.48441 seconds Total Runtime: 1.51683 seconds"
"Implementation 3 (MM-2D)",1200,600,1800,1,1.497789,1.000000,1.077619,1.497789,0,"ok","mpirun -np 1 ./bin/mm_2d 1200 600 1800","MM-2D completed Processes (P): 1 Grid size    : 1 x 1 Matrix sizes : A(1200x600), B(600x1800), C(1200x1800) Parallel Time: 1.497789 seconds"
"Implementation 1 (Serial)",1200,600,1800,4,1.614046,1.000000,1.000000,1.614046,0,"ok","./bin/mm_serial 1200 600 1800","Time: 1.614046 seconds"
"Implementation 2 (MM-1D)",1200,600,1800,4,0.468435,3.238080,3.445614,1.873740,0,"ok","mpirun -np 4 ./bin/mm_1d 1200 600 1800","Local Matrix Multiplication Compute Time: 0.429001 seconds Total Runtime: 0.468435 seconds"
"Implementation 3 (MM-2D)",1200,600,1800,4,0.375314,3.990762,4.300522,1.501256,0,"ok","mpirun -np 4 ./bin/mm_2d 1200 600 1800","MM-2D completed Processes (P): 4 Grid size    : 2 x 2 Matrix sizes : A(1200x600), B(600x1800), C(1200x1800) Parallel Time: 0.375314 seconds"
"Implementation 1 (Serial)",1200,600,1800,9,1.614046,1.000000,1.000000,1.614046,0,"ok","./bin/mm_serial 1200 600 1800","Time: 1.614046 seconds"
"Implementation 2 (MM-1D)",1200,600,1800,9,0.414525,3.659200,3.893724,3.730725,0,"ok","mpirun -np 9 ./bin/mm_1d 1200 600 1800","Local Matrix Multiplication Compute Time: 0.361572 seconds Total Runtime: 0.414525 seconds"
"Implementation 3 (MM-2D)",1200,600,1800,9,0.214160,6.993785,7.536636,1.927440,0,"ok","mpirun -np 9 ./bin/mm_2d 1200 600 1800","MM-2D completed Processes (P): 9 Grid size    : 3 x 3 Matrix sizes : A(1200x600), B(600x1800), C(1200x1800) Parallel Time: 0.214160 seconds"
"Implementation 1 (Serial)",1200,600,1800,16,1.614046,1.000000,1.000000,1.614046,0,"ok","./bin/mm_serial 1200 600 1800","Time: 1.614046 seconds"
"Implementation 2 (MM-1D)",1200,600,1800,16,0.281323,5.391774,5.737341,4.501168,0,"ok","mpirun -np 16 ./bin/mm_1d 1200 600 1800","Local Matrix Multiplication Compute Time: 0.208177 seconds Total Runtime: 0.281323 seconds"
"Implementation 3 (MM-2D)",1200,600,1800,16,0.139408,10.743924,11.577858,2.230528,0,"ok","mpirun -np 16 ./bin/mm_2d 1200 600 1800","MM-2D completed Processes (P): 16 Grid size    : 4 x 4 Matrix sizes : A(1200x600), B(600x1800), C(1200x1800) Parallel Time: 0.139408 seconds"
"Implementation 1 (Serial)",1200,600,1800,25,1.614046,1.000000,1.000000,1.614046,0,"ok","./bin/mm_serial 1200 600 1800","Time: 1.614046 seconds"
"Implementation 2 (MM-1D)",1200,600,1800,25,0.325463,4.660530,4.959230,8.136575,0,"ok","mpirun -np 25 ./bin/mm_1d 1200 600 1800","Local Matrix Multiplication Compute Time: 0.210642 seconds Total Runtime: 0.325463 seconds"
"Implementation 3 (MM-2D)",1200,600,1800,25,0.147200,10.175197,10.964986,3.680000,0,"ok","mpirun -np 25 ./bin/mm_2d 1200 600 1800","MM-2D completed Processes (P): 25 Grid size    : 5 x 5 Matrix sizes : A(1200x600), B(600x1800), C(1200x1800) Parallel Time: 0.147200 seconds"
