implementation,m,n,q,p,seconds,speedup,serial_speedup,cost,exit_code,status,command,raw_output
"Implementation 1 (Serial)",1800,2400,1200,1,13.696763,1.000000,1.000000,13.696763,0,"ok","./bin/mm_serial 1800 2400 1200","Time: 13.696763 seconds"
"Implementation 2 (MM-1D)",1800,2400,1200,1,13.691600,1.000000,1.000377,13.691600,0,"ok","mpirun -np 1 ./bin/mm_1d 1800 2400 1200","Local Matrix Multiplication Compute Time: 13.6202 seconds Total Runtime: 13.6916 seconds"
"Implementation 3 (MM-2D)",1800,2400,1200,1,13.638482,1.000000,1.004273,13.638482,0,"ok","mpirun -np 1 ./bin/mm_2d 1800 2400 1200","MM-2D completed Processes (P): 1 Grid size    : 1 x 1 Matrix sizes : A(1800x2400), B(2400x1200), C(1800x1200) Parallel Time: 13.638482 seconds"
"Implementation 1 (Serial)",1800,2400,1200,4,13.696763,1.000000,1.000000,13.696763,0,"ok","./bin/mm_serial 1800 2400 1200","Time: 13.696763 seconds"
"Implementation 2 (MM-1D)",1800,2400,1200,4,4.223530,3.241743,3.242966,16.894120,0,"ok","mpirun -np 4 ./bin/mm_1d 1800 2400 1200","Local Matrix Multiplication Compute Time: 4.13702 seconds Total Runtime: 4.22353 seconds"
"Implementation 3 (MM-2D)",1800,2400,1200,4,1.604208,8.501692,8.538022,6.416832,0,"ok","mpirun -np 4 ./bin/mm_2d 1800 2400 1200","MM-2D completed Processes (P): 4 Grid size    : 2 x 2 Matrix sizes : A(1800x2400), B(2400x1200), C(1800x1200) Parallel Time: 1.604208 seconds"
"Implementation 1 (Serial)",1800,2400,1200,9,13.696763,1.000000,1.000000,13.696763,0,"ok","./bin/mm_serial 1800 2400 1200","Time: 13.696763 seconds"
"Implementation 2 (MM-1D)",1800,2400,1200,9,2.113050,6.479544,6.481987,19.017450,0,"ok","mpirun -np 9 ./bin/mm_1d 1800 2400 1200","Local Matrix Multiplication Compute Time: 1.99608 seconds Total Runtime: 2.11305 seconds"
"Implementation 3 (MM-2D)",1800,2400,1200,9,0.835007,16.333374,16.403171,7.515063,0,"ok","mpirun -np 9 ./bin/mm_2d 1800 2400 1200","MM-2D completed Processes (P): 9 Grid size    : 3 x 3 Matrix sizes : A(1800x2400), B(2400x1200), C(1800x1200) Parallel Time: 0.835007 seconds"
"Implementation 1 (Serial)",1800,2400,1200,16,13.696763,1.000000,1.000000,13.696763,0,"ok","./bin/mm_serial 1800 2400 1200","Time: 13.696763 seconds"
"Implementation 2 (MM-1D)",1800,2400,1200,16,1.356320,10.094668,10.098475,21.701120,0,"ok","mpirun -np 16 ./bin/mm_1d 1800 2400 1200","Local Matrix Multiplication Compute Time: 1.17612 seconds Total Runtime: 1.35632 seconds"
"Implementation 3 (MM-2D)",1800,2400,1200,16,0.581870,23.439053,23.539215,9.309920,0,"ok","mpirun -np 16 ./bin/mm_2d 1800 2400 1200","MM-2D completed Processes (P): 16 Grid size    : 4 x 4 Matrix sizes : A(1800x2400), B(2400x1200), C(1800x1200) Parallel Time: 0.581870 seconds"
"Implementation 1 (Serial)",1800,2400,1200,25,13.696763,1.000000,1.000000,13.696763,0,"ok","./bin/mm_serial 1800 2400 1200","Time: 13.696763 seconds"
"Implementation 2 (MM-1D)",1800,2400,1200,25,1.616390,8.470481,8.473675,40.409750,0,"ok","mpirun -np 25 ./bin/mm_1d 1800 2400 1200","Local Matrix Multiplication Compute Time: 1.12194 seconds Total Runtime: 1.61639 seconds"
"Implementation 3 (MM-2D)",1800,2400,1200,25,0.639661,21.321422,21.412534,15.991525,0,"ok","mpirun -np 25 ./bin/mm_2d 1800 2400 1200","MM-2D completed Processes (P): 25 Grid size    : 5 x 5 Matrix sizes : A(1800x2400), B(2400x1200), C(1800x1200) Parallel Time: 0.639661 seconds"
