implementation,m,n,q,p,seconds,speedup,cost,exit_code,status,command,raw_output
"Implementation 1 (Serial)",24,12,6,1,0.000037,1.000000,0.000037,0,"ok","./bin/mm_serial 24 12 6","Time: 0.000037 seconds"
"Implementation 2 (MM-1D)",24,12,6,1,0.000037,1.000365,0.000037,0,"ok","mpirun -np 1 ./bin/mm_1d 24 12 6","Local Matrix Multiplication Compute Time: 1.51573e-05 seconds Total Runtime: 3.69865e-05 seconds"
"Implementation 3 (MM-2D)",24,12,6,1,0.000026,1.423077,0.000026,0,"ok","mpirun -np 1 ./bin/mm_2d 24 12 6","MM-2D completed Processes (P): 1 Grid size    : 1 x 1 Matrix sizes : A(24x12), B(12x6), C(24x6) Parallel Time: 0.000026 seconds"
"Implementation 1 (Serial)",24,12,6,4,0.000036,1.000000,0.000036,0,"ok","./bin/mm_serial 24 12 6","Time: 0.000036 seconds"
"Implementation 2 (MM-1D)",24,12,6,4,0.000169,0.212797,0.000677,0,"ok","mpirun -np 4 ./bin/mm_1d 24 12 6","Local Matrix Multiplication Compute Time: 4.51971e-06 seconds Total Runtime: 0.000169175 seconds"
"Implementation 3 (MM-2D)",24,12,6,4,0.000186,0.193548,0.000744,0,"ok","mpirun -np 4 ./bin/mm_2d 24 12 6","MM-2D completed Processes (P): 4 Grid size    : 2 x 2 Matrix sizes : A(24x12), B(12x6), C(24x6) Parallel Time: 0.000186 seconds"
"Implementation 1 (Serial)",24,12,6,9,0.000033,1.000000,0.000033,0,"ok","./bin/mm_serial 24 12 6","Time: 0.000033 seconds"
"Implementation 2 (MM-1D)",24,12,6,9,0.000261,0.126276,0.002352,0,"ok","mpirun -np 9 ./bin/mm_1d 24 12 6","Local Matrix Multiplication Compute Time: 2.39909e-06 seconds Total Runtime: 0.000261332 seconds"
"Implementation 3 (MM-2D)",24,12,6,9,0.000294,0.112245,0.002646,0,"ok","mpirun -np 9 ./bin/mm_2d 24 12 6","MM-2D completed Processes (P): 9 Grid size    : 3 x 3 Matrix sizes : A(24x12), B(12x6), C(24x6) Parallel Time: 0.000294 seconds"
