implementation,m,n,q,p,seconds,speedup,cost,exit_code,status,command,raw_output
"Implementation 1 (Serial)",600,600,1200,1,0.559963,1.000000,0.559963,0,"ok","./bin/mm_serial 600 600 1200","Time: 0.559963 seconds"
"Implementation 2 (MM-1D)",600,600,1200,1,0.510383,1.097143,0.510383,0,"ok","mpirun -np 1 ./bin/mm_1d 600 600 1200","Local Matrix Multiplication Compute Time: 0.493836 seconds Total Runtime: 0.510383 seconds"
"Implementation 3 (MM-2D)",600,600,1200,1,0.502630,1.114066,0.502630,0,"ok","mpirun -np 1 ./bin/mm_2d 600 600 1200","MM-2D completed Processes (P): 1 Grid size    : 1 x 1 Matrix sizes : A(600x600), B(600x1200), C(600x1200) Parallel Time: 0.502630 seconds"
"Implementation 1 (Serial)",600,600,1200,4,0.559963,1.000000,0.559963,0,"ok","./bin/mm_serial 600 600 1200","Time: 0.559963 seconds"
"Implementation 2 (MM-1D)",600,600,1200,4,0.147091,3.806915,0.588364,0,"ok","mpirun -np 4 ./bin/mm_1d 600 600 1200","Local Matrix Multiplication Compute Time: 0.126307 seconds Total Runtime: 0.147091 seconds"
"Implementation 3 (MM-2D)",600,600,1200,4,0.139214,4.022318,0.556856,0,"ok","mpirun -np 4 ./bin/mm_2d 600 600 1200","MM-2D completed Processes (P): 4 Grid size    : 2 x 2 Matrix sizes : A(600x600), B(600x1200), C(600x1200) Parallel Time: 0.139214 seconds"
"Implementation 1 (Serial)",600,600,1200,9,0.559963,1.000000,0.559963,0,"ok","./bin/mm_serial 600 600 1200","Time: 0.559963 seconds"
"Implementation 2 (MM-1D)",600,600,1200,9,0.145008,3.861601,1.305072,0,"ok","mpirun -np 9 ./bin/mm_1d 600 600 1200","Local Matrix Multiplication Compute Time: 0.110067 seconds Total Runtime: 0.145008 seconds"
"Implementation 3 (MM-2D)",600,600,1200,9,0.091202,6.139811,0.820818,0,"ok","mpirun -np 9 ./bin/mm_2d 600 600 1200","MM-2D completed Processes (P): 9 Grid size    : 3 x 3 Matrix sizes : A(600x600), B(600x1200), C(600x1200) Parallel Time: 0.091202 seconds"
"Implementation 1 (Serial)",600,600,1200,16,0.559963,1.000000,0.559963,0,"ok","./bin/mm_serial 600 600 1200","Time: 0.559963 seconds"
"Implementation 2 (MM-1D)",600,600,1200,16,0.114908,4.873142,1.838528,0,"ok","mpirun -np 16 ./bin/mm_1d 600 600 1200","Local Matrix Multiplication Compute Time: 0.0658548 seconds Total Runtime: 0.114908 seconds"
"Implementation 3 (MM-2D)",600,600,1200,16,0.077805,7.197005,1.244880,0,"ok","mpirun -np 16 ./bin/mm_2d 600 600 1200","-------------------------------------------------------------------------- A system call failed during shared memory initialization that should not have.  It is likely that your MPI job will now either abort or experience performance degradation.    Local host:  cn15   System call: open(2)    Error:       Permission denied (errno 13) -------------------------------------------------------------------------- MM-2D completed Processes (P): 16 Grid size    : 4 x 4 Matrix sizes : A(600x600), B(600x1200), C(600x1200) Parallel Time: 0.077805 seconds [cn15:10656] 3 more processes have sent help message help-opal-shmem-mmap.txt / sys call fail [cn15:10656] Set MCA parameter ""orte_base_help_aggregate"" to 0 to see all help / error messages"
"Implementation 1 (Serial)",600,600,1200,25,0.559963,1.000000,0.559963,0,"ok","./bin/mm_serial 600 600 1200","Time: 0.559963 seconds"
"Implementation 2 (MM-1D)",600,600,1200,25,0.142830,3.920486,3.570750,0,"ok","mpirun -np 25 ./bin/mm_1d 600 600 1200","Local Matrix Multiplication Compute Time: 0.0641946 seconds Total Runtime: 0.14283 seconds"
"Implementation 3 (MM-2D)",600,600,1200,25,0.074769,7.489240,1.869225,0,"ok","mpirun -np 25 ./bin/mm_2d 600 600 1200","MM-2D completed Processes (P): 25 Grid size    : 5 x 5 Matrix sizes : A(600x600), B(600x1200), C(600x1200) Parallel Time: 0.074769 seconds"
