implementation,m,n,q,p,seconds,speedup,cost,exit_code,status,command,raw_output
"Implementation 1 (Serial)",1800,2400,1800,1,18.332094,1.000000,18.332094,0,"ok","./bin/mm_serial 1800 2400 1800","Time: 18.332094 seconds"
"Implementation 2 (MM-1D)",1800,2400,1800,1,17.617400,1.040568,17.617400,0,"ok","mpirun -np 1 ./bin/mm_1d 1800 2400 1800","Local Matrix Multiplication Compute Time: 17.4969 seconds Total Runtime: 17.6174 seconds"
"Implementation 3 (MM-2D)",1800,2400,1800,1,17.460841,1.049898,17.460841,0,"ok","mpirun -np 1 ./bin/mm_2d 1800 2400 1800","MM-2D completed Processes (P): 1 Grid size    : 1 x 1 Matrix sizes : A(1800x2400), B(2400x1800), C(1800x1800) Parallel Time: 17.460841 seconds"
"Implementation 1 (Serial)",1800,2400,1800,4,18.332094,1.000000,18.332094,0,"ok","./bin/mm_serial 1800 2400 1800","Time: 18.332094 seconds"
"Implementation 2 (MM-1D)",1800,2400,1800,4,4.850930,3.779089,19.403720,0,"ok","mpirun -np 4 ./bin/mm_1d 1800 2400 1800","Local Matrix Multiplication Compute Time: 4.70749 seconds Total Runtime: 4.85093 seconds"
"Implementation 3 (MM-2D)",1800,2400,1800,4,2.884261,6.355907,11.537044,0,"ok","mpirun -np 4 ./bin/mm_2d 1800 2400 1800","MM-2D completed Processes (P): 4 Grid size    : 2 x 2 Matrix sizes : A(1800x2400), B(2400x1800), C(1800x1800) Parallel Time: 2.884261 seconds"
"Implementation 1 (Serial)",1800,2400,1800,9,18.332094,1.000000,18.332094,0,"ok","./bin/mm_serial 1800 2400 1800","Time: 18.332094 seconds"
"Implementation 2 (MM-1D)",1800,2400,1800,9,2.723920,6.730041,24.515280,0,"ok","mpirun -np 9 ./bin/mm_1d 1800 2400 1800","Local Matrix Multiplication Compute Time: 2.49829 seconds Total Runtime: 2.72392 seconds"
"Implementation 3 (MM-2D)",1800,2400,1800,9,1.602511,11.439606,14.422599,0,"ok","mpirun -np 9 ./bin/mm_2d 1800 2400 1800","MM-2D completed Processes (P): 9 Grid size    : 3 x 3 Matrix sizes : A(1800x2400), B(2400x1800), C(1800x1800) Parallel Time: 1.602511 seconds"
"Implementation 1 (Serial)",1800,2400,1800,16,18.332094,1.000000,18.332094,0,"ok","./bin/mm_serial 1800 2400 1800","Time: 18.332094 seconds"
"Implementation 2 (MM-1D)",1800,2400,1800,16,2.229640,8.221997,35.674240,0,"ok","mpirun -np 16 ./bin/mm_1d 1800 2400 1800","Local Matrix Multiplication Compute Time: 1.88735 seconds Total Runtime: 2.22964 seconds"
"Implementation 3 (MM-2D)",1800,2400,1800,16,1.137853,16.111127,18.205648,0,"ok","mpirun -np 16 ./bin/mm_2d 1800 2400 1800","MM-2D completed Processes (P): 16 Grid size    : 4 x 4 Matrix sizes : A(1800x2400), B(2400x1800), C(1800x1800) Parallel Time: 1.137853 seconds"
"Implementation 1 (Serial)",1800,2400,1800,25,18.332094,1.000000,18.332094,0,"ok","./bin/mm_serial 1800 2400 1800","Time: 18.332094 seconds"
"Implementation 2 (MM-1D)",1800,2400,1800,25,2.510350,7.302605,62.758750,0,"ok","mpirun -np 25 ./bin/mm_1d 1800 2400 1800","Local Matrix Multiplication Compute Time: 1.92861 seconds Total Runtime: 2.51035 seconds"
"Implementation 3 (MM-2D)",1800,2400,1800,25,1.203922,15.226978,30.098050,0,"ok","mpirun -np 25 ./bin/mm_2d 1800 2400 1800","MM-2D completed Processes (P): 25 Grid size    : 5 x 5 Matrix sizes : A(1800x2400), B(2400x1800), C(1800x1800) Parallel Time: 1.203922 seconds"
