implementation,m,n,q,p,seconds,speedup,cost,exit_code,status,command,raw_output
"Implementation 1 (Serial)",1200,1200,600,1,39.222897,1.000000,39.222897,0,"ok","./bin/mm_serial 1200 1200 600","Time: 39.222897 seconds"
"Implementation 2 (MM-1D)",1200,1200,600,1,6.645170,5.902467,6.645170,0,"ok","mpirun -np 1 ./bin/mm_1d 1200 1200 600","Local Matrix Multiplication Compute Time: 6.58976 seconds Total Runtime: 6.64517 seconds"
"Implementation 3 (MM-2D)",1200,1200,600,1,6.689452,5.863395,6.689452,0,"ok","mpirun -np 1 ./bin/mm_2d 1200 1200 600","mpirun: Forwarding signal 20 to job mpirun: Forwarding signal 18 to job MM-2D completed Processes (P): 1 Grid size    : 1 x 1 Matrix sizes : A(1200x1200), B(1200x600), C(1200x600) Parallel Time: 6.689452 seconds"
"Implementation 1 (Serial)",1200,1200,600,4,8.505812,1.000000,8.505812,0,"ok","./bin/mm_serial 1200 1200 600","Time: 8.505812 seconds"
"Implementation 2 (MM-1D)",1200,1200,600,4,1.779600,4.779620,7.118400,0,"ok","mpirun -np 4 ./bin/mm_1d 1200 1200 600","Local Matrix Multiplication Compute Time: 1.72721 seconds Total Runtime: 1.7796 seconds"
"Implementation 3 (MM-2D)",1200,1200,600,4,35.304252,0.240929,141.217008,0,"ok","mpirun -np 4 ./bin/mm_2d 1200 1200 600","mpirun: Forwarding signal 20 to job mpirun: Forwarding signal 18 to job MM-2D completed Processes (P): 4 Grid size    : 2 x 2 Matrix sizes : A(1200x1200), B(1200x600), C(1200x600) Parallel Time: 35.304252 seconds"
"Implementation 1 (Serial)",1200,1200,600,9,8.506272,1.000000,8.506272,0,"ok","./bin/mm_serial 1200 1200 600","Time: 8.506272 seconds"
"Implementation 2 (MM-1D)",1200,1200,600,9,1.184980,7.178410,10.664820,0,"ok","mpirun -np 9 ./bin/mm_1d 1200 1200 600","mpirun: Forwarding signal 20 to job mpirun: Forwarding signal 18 to job Local Matrix Multiplication Compute Time: 1.12572 seconds Total Runtime: 1.18498 seconds"
"Implementation 3 (MM-2D)",1200,1200,600,9,5.695872,1.493410,51.262848,0,"ok","mpirun -np 9 ./bin/mm_2d 1200 1200 600","MM-2D completed Processes (P): 9 Grid size    : 3 x 3 Matrix sizes : A(1200x1200), B(1200x600), C(1200x600) Parallel Time: 5.695872 seconds"
"Implementation 1 (Serial)",1200,1200,600,16,38.585824,1.000000,38.585824,0,"ok","./bin/mm_serial 1200 1200 600","Time: 38.585824 seconds"
"Implementation 2 (MM-1D)",1200,1200,600,16,0.769867,50.120117,12.317872,0,"ok","mpirun -np 16 ./bin/mm_1d 1200 1200 600","Local Matrix Multiplication Compute Time: 0.698662 seconds Total Runtime: 0.769867 seconds"
"Implementation 3 (MM-2D)",1200,1200,600,16,6.749278,5.717030,107.988448,0,"ok","mpirun -np 16 ./bin/mm_2d 1200 1200 600","mpirun: Forwarding signal 20 to job mpirun: Forwarding signal 18 to job MM-2D completed Processes (P): 16 Grid size    : 4 x 4 Matrix sizes : A(1200x1200), B(1200x600), C(1200x600) Parallel Time: 6.749278 seconds"
"Implementation 1 (Serial)",1200,1200,600,25,8.517086,1.000000,8.517086,0,"ok","./bin/mm_serial 1200 1200 600","Time: 8.517086 seconds"
"Implementation 2 (MM-1D)",1200,1200,600,25,0.767663,11.094824,19.191575,0,"ok","mpirun -np 25 ./bin/mm_1d 1200 1200 600","Local Matrix Multiplication Compute Time: 0.538467 seconds Total Runtime: 0.767663 seconds"
"Implementation 3 (MM-2D)",1200,1200,600,25,37.579278,0.226643,939.481950,0,"ok","mpirun -np 25 ./bin/mm_2d 1200 1200 600","mpirun: Forwarding signal 20 to job mpirun: Forwarding signal 18 to job MM-2D completed Processes (P): 25 Grid size    : 5 x 5 Matrix sizes : A(1200x1200), B(1200x600), C(1200x600) Parallel Time: 37.579278 seconds"
