implementation,m,n,q,p,seconds,speedup,cost,exit_code,status,command,raw_output
"Implementation 1 (Serial)",3000,1800,2400,1,39.962465,1.000000,39.962465,0,"ok","./bin/mm_serial 3000 1800 2400","Time: 39.962465 seconds"
"Implementation 2 (MM-1D)",3000,1800,2400,1,39.981200,0.999531,39.981200,0,"ok","mpirun -np 1 ./bin/mm_1d 3000 1800 2400","Local Matrix Multiplication Compute Time: 39.8539 seconds Total Runtime: 39.9812 seconds"
"Implementation 3 (MM-2D)",3000,1800,2400,1,39.905471,1.001428,39.905471,0,"ok","mpirun -np 1 ./bin/mm_2d 3000 1800 2400","MM-2D completed Processes (P): 1 Grid size    : 1 x 1 Matrix sizes : A(3000x1800), B(1800x2400), C(3000x2400) Parallel Time: 39.905471 seconds"
"Implementation 1 (Serial)",3000,1800,2400,4,39.962465,1.000000,39.962465,0,"ok","./bin/mm_serial 3000 1800 2400","Time: 39.962465 seconds"
"Implementation 2 (MM-1D)",3000,1800,2400,4,10.638100,3.756542,42.552400,0,"ok","mpirun -np 4 ./bin/mm_1d 3000 1800 2400","Local Matrix Multiplication Compute Time: 10.4977 seconds Total Runtime: 10.6381 seconds"
"Implementation 3 (MM-2D)",3000,1800,2400,4,4.224359,9.460007,16.897436,0,"ok","mpirun -np 4 ./bin/mm_2d 3000 1800 2400","MM-2D completed Processes (P): 4 Grid size    : 2 x 2 Matrix sizes : A(3000x1800), B(1800x2400), C(3000x2400) Parallel Time: 4.224359 seconds"
"Implementation 1 (Serial)",3000,1800,2400,9,39.962465,1.000000,39.962465,0,"ok","./bin/mm_serial 3000 1800 2400","Time: 39.962465 seconds"
"Implementation 2 (MM-1D)",3000,1800,2400,9,5.384900,7.421208,48.464100,0,"ok","mpirun -np 9 ./bin/mm_1d 3000 1800 2400","Local Matrix Multiplication Compute Time: 5.17793 seconds Total Runtime: 5.3849 seconds"
"Implementation 3 (MM-2D)",3000,1800,2400,9,2.418723,16.522134,21.768507,0,"ok","mpirun -np 9 ./bin/mm_2d 3000 1800 2400","MM-2D completed Processes (P): 9 Grid size    : 3 x 3 Matrix sizes : A(3000x1800), B(1800x2400), C(3000x2400) Parallel Time: 2.418723 seconds"
"Implementation 1 (Serial)",3000,1800,2400,16,39.962465,1.000000,39.962465,0,"ok","./bin/mm_serial 3000 1800 2400","Time: 39.962465 seconds"
"Implementation 2 (MM-1D)",3000,1800,2400,16,3.307790,12.081319,52.924640,0,"ok","mpirun -np 16 ./bin/mm_1d 3000 1800 2400","Local Matrix Multiplication Compute Time: 3.04091 seconds Total Runtime: 3.30779 seconds"
"Implementation 3 (MM-2D)",3000,1800,2400,16,1.491295,26.797156,23.860720,0,"ok","mpirun -np 16 ./bin/mm_2d 3000 1800 2400","MM-2D completed Processes (P): 16 Grid size    : 4 x 4 Matrix sizes : A(3000x1800), B(1800x2400), C(3000x2400) Parallel Time: 1.491295 seconds"
"Implementation 1 (Serial)",3000,1800,2400,25,39.962465,1.000000,39.962465,0,"ok","./bin/mm_serial 3000 1800 2400","Time: 39.962465 seconds"
"Implementation 2 (MM-1D)",3000,1800,2400,25,3.594550,11.117515,89.863750,0,"ok","mpirun -np 25 ./bin/mm_1d 3000 1800 2400","Local Matrix Multiplication Compute Time: 2.56451 seconds Total Runtime: 3.59455 seconds"
"Implementation 3 (MM-2D)",3000,1800,2400,25,1.762752,22.670498,44.068800,0,"ok","mpirun -np 25 ./bin/mm_2d 3000 1800 2400","MM-2D completed Processes (P): 25 Grid size    : 5 x 5 Matrix sizes : A(3000x1800), B(1800x2400), C(3000x2400) Parallel Time: 1.762752 seconds"
