implementation,m,n,q,p,seconds,speedup,cost,exit_code,status,command,raw_output
"Implementation 1 (Serial)",24,6,18,1,0.000046,1.000000,0.000046,0,"ok","./bin/mm_serial 24 6 18","Time: 0.000046 seconds"
"Implementation 2 (MM-1D)",24,6,18,1,0.000063,0.735648,0.000063,0,"ok","mpirun -np 1 ./bin/mm_1d 24 6 18","Local Matrix Multiplication Compute Time: 3.01078e-05 seconds Total Runtime: 6.25299e-05 seconds"
"Implementation 3 (MM-2D)",24,6,18,1,0.000041,1.121951,0.000041,0,"ok","mpirun -np 1 ./bin/mm_2d 24 6 18","MM-2D completed Processes (P): 1 Grid size    : 1 x 1 Matrix sizes : A(24x6), B(6x18), C(24x18) Parallel Time: 0.000041 seconds"
"Implementation 1 (Serial)",24,6,18,4,0.000041,1.000000,0.000041,0,"ok","./bin/mm_serial 24 6 18","Time: 0.000041 seconds"
"Implementation 2 (MM-1D)",24,6,18,4,0.000187,0.219009,0.000749,0,"ok","mpirun -np 4 ./bin/mm_1d 24 6 18","Local Matrix Multiplication Compute Time: 6.9486e-06 seconds Total Runtime: 0.000187207 seconds"
"Implementation 3 (MM-2D)",24,6,18,4,0.000220,0.186364,0.000880,0,"ok","mpirun -np 4 ./bin/mm_2d 24 6 18","MM-2D completed Processes (P): 4 Grid size    : 2 x 2 Matrix sizes : A(24x6), B(6x18), C(24x18) Parallel Time: 0.000220 seconds"
