implementation,m,n,q,p,seconds,speedup,cost,exit_code,status,command,raw_output
"Implementation 1 (Serial)",24,12,18,1,0.000109,1.000000,0.000109,0,"ok","./bin/mm_serial 24 12 18","Time: 0.000109 seconds"
"Implementation 2 (MM-1D)",24,12,18,1,0.000074,1.472229,0.000074,0,"ok","mpirun -np 1 ./bin/mm_1d 24 12 18","Local Matrix Multiplication Compute Time: 4.42108e-05 seconds Total Runtime: 7.40374e-05 seconds"
"Implementation 3 (MM-2D)",24,12,18,1,0.000058,1.879310,0.000058,0,"ok","mpirun -np 1 ./bin/mm_2d 24 12 18","MM-2D completed Processes (P): 1 Grid size    : 1 x 1 Matrix sizes : A(24x12), B(12x18), C(24x18) Parallel Time: 0.000058 seconds"
"Implementation 1 (Serial)",24,12,18,4,0.000104,1.000000,0.000104,0,"ok","./bin/mm_serial 24 12 18","Time: 0.000104 seconds"
"Implementation 2 (MM-1D)",24,12,18,4,0.000194,0.535685,0.000777,0,"ok","mpirun -np 4 ./bin/mm_1d 24 12 18","Local Matrix Multiplication Compute Time: 1.28532e-05 seconds Total Runtime: 0.000194144 seconds"
"Implementation 3 (MM-2D)",24,12,18,4,0.000207,0.502415,0.000828,0,"ok","mpirun -np 4 ./bin/mm_2d 24 12 18","MM-2D completed Processes (P): 4 Grid size    : 2 x 2 Matrix sizes : A(24x12), B(12x18), C(24x18) Parallel Time: 0.000207 seconds"
"Implementation 1 (Serial)",24,12,18,9,0.000109,1.000000,0.000109,0,"ok","./bin/mm_serial 24 12 18","Time: 0.000109 seconds"
"Implementation 2 (MM-1D)",24,12,18,9,0.000294,0.370861,0.002645,0,"ok","mpirun -np 9 ./bin/mm_1d 24 12 18","Local Matrix Multiplication Compute Time: 6.52205e-06 seconds Total Runtime: 0.000293911 seconds"
"Implementation 3 (MM-2D)",24,12,18,9,0.000368,0.296196,0.003312,0,"ok","mpirun -np 9 ./bin/mm_2d 24 12 18","MM-2D completed Processes (P): 9 Grid size    : 3 x 3 Matrix sizes : A(24x12), B(12x18), C(24x18) Parallel Time: 0.000368 seconds"
