implementation,m,n,q,p,seconds,speedup,serial_speedup,cost,exit_code,status,command,raw_output
"Implementation 1 (Serial)",1800,600,3600,1,4.941337,1.000000,1.000000,4.941337,0,"ok","./bin/mm_serial 1800 600 3600","Time: 4.941337 seconds"
"Implementation 2 (MM-1D)",1800,600,3600,1,4.350470,1.000000,1.135817,4.350470,0,"ok","mpirun -np 1 ./bin/mm_1d 1800 600 3600","Local Matrix Multiplication Compute Time: 4.27222 seconds Total Runtime: 4.35047 seconds"
"Implementation 3 (MM-2D)",1800,600,3600,1,4.225901,1.000000,1.169298,4.225901,0,"ok","mpirun -np 1 ./bin/mm_2d 1800 600 3600","MM-2D completed Processes (P): 1 Grid size    : 1 x 1 Matrix sizes : A(1800x600), B(600x3600), C(1800x3600) Parallel Time: 4.225901 seconds"
"Implementation 1 (Serial)",1800,600,3600,4,4.941337,1.000000,1.000000,4.941337,0,"ok","./bin/mm_serial 1800 600 3600","Time: 4.941337 seconds"
"Implementation 2 (MM-1D)",1800,600,3600,4,2.179870,1.995747,2.266804,8.719480,0,"ok","mpirun -np 4 ./bin/mm_1d 1800 600 3600","Local Matrix Multiplication Compute Time: 2.09602 seconds Total Runtime: 2.17987 seconds"
"Implementation 3 (MM-2D)",1800,600,3600,4,1.165783,3.624946,4.238642,4.663132,0,"ok","mpirun -np 4 ./bin/mm_2d 1800 600 3600","MM-2D completed Processes (P): 4 Grid size    : 2 x 2 Matrix sizes : A(1800x600), B(600x3600), C(1800x3600) Parallel Time: 1.165783 seconds"
"Implementation 1 (Serial)",1800,600,3600,9,4.941337,1.000000,1.000000,4.941337,0,"ok","./bin/mm_serial 1800 600 3600","Time: 4.941337 seconds"
"Implementation 2 (MM-1D)",1800,600,3600,9,1.143280,3.805253,4.322071,10.289520,0,"ok","mpirun -np 9 ./bin/mm_1d 1800 600 3600","Local Matrix Multiplication Compute Time: 1.03251 seconds Total Runtime: 1.14328 seconds"
"Implementation 3 (MM-2D)",1800,600,3600,9,0.610539,6.921591,8.093401,5.494851,0,"ok","mpirun -np 9 ./bin/mm_2d 1800 600 3600","MM-2D completed Processes (P): 9 Grid size    : 3 x 3 Matrix sizes : A(1800x600), B(600x3600), C(1800x3600) Parallel Time: 0.610539 seconds"
"Implementation 1 (Serial)",1800,600,3600,16,4.941337,1.000000,1.000000,4.941337,0,"ok","./bin/mm_serial 1800 600 3600","Time: 4.941337 seconds"
"Implementation 2 (MM-1D)",1800,600,3600,16,0.764534,5.690355,6.463201,12.232544,0,"ok","mpirun -np 16 ./bin/mm_1d 1800 600 3600","Local Matrix Multiplication Compute Time: 0.605652 seconds Total Runtime: 0.764534 seconds"
"Implementation 3 (MM-2D)",1800,600,3600,16,0.379805,11.126502,13.010195,6.076880,0,"ok","mpirun -np 16 ./bin/mm_2d 1800 600 3600","MM-2D completed Processes (P): 16 Grid size    : 4 x 4 Matrix sizes : A(1800x600), B(600x3600), C(1800x3600) Parallel Time: 0.379805 seconds"
"Implementation 1 (Serial)",1800,600,3600,25,4.941337,1.000000,1.000000,4.941337,0,"ok","./bin/mm_serial 1800 600 3600","Time: 4.941337 seconds"
"Implementation 2 (MM-1D)",1800,600,3600,25,0.880755,4.939478,5.610342,22.018875,0,"ok","mpirun -np 25 ./bin/mm_1d 1800 600 3600","Local Matrix Multiplication Compute Time: 0.630683 seconds Total Runtime: 0.880755 seconds"
"Implementation 3 (MM-2D)",1800,600,3600,25,0.400590,10.549192,12.335148,10.014750,0,"ok","mpirun -np 25 ./bin/mm_2d 1800 600 3600","MM-2D completed Processes (P): 25 Grid size    : 5 x 5 Matrix sizes : A(1800x600), B(600x3600), C(1800x3600) Parallel Time: 0.400590 seconds"
