implementation,m,n,q,p,seconds,speedup,cost,exit_code,status,command,raw_output
"Implementation 1 (Serial)",24,18,24,1,0.000138,1.000000,0.000138,0,"ok","./bin/mm_serial 24 18 24","Time: 0.000138 seconds"
"Implementation 2 (MM-1D)",24,18,24,1,0.000220,0.627584,0.000220,0,"ok","mpirun -np 1 ./bin/mm_1d 24 18 24","Local Matrix Multiplication Compute Time: 0.000156405 seconds Total Runtime: 0.000219891 seconds"
"Implementation 3 (MM-2D)",24,18,24,1,0.000123,1.121951,0.000123,0,"ok","mpirun -np 1 ./bin/mm_2d 24 18 24","MM-2D completed Processes (P): 1 Grid size    : 1 x 1 Matrix sizes : A(24x18), B(18x24), C(24x24) Parallel Time: 0.000123 seconds"
"Implementation 1 (Serial)",24,18,24,4,0.000144,1.000000,0.000144,0,"ok","./bin/mm_serial 24 18 24","Time: 0.000144 seconds"
"Implementation 2 (MM-1D)",24,18,24,4,0.000234,0.616665,0.000934,0,"ok","mpirun -np 4 ./bin/mm_1d 24 18 24","Local Matrix Multiplication Compute Time: 2.46819e-05 seconds Total Runtime: 0.000233514 seconds"
"Implementation 3 (MM-2D)",24,18,24,4,0.000257,0.560311,0.001028,0,"ok","mpirun -np 4 ./bin/mm_2d 24 18 24","MM-2D completed Processes (P): 4 Grid size    : 2 x 2 Matrix sizes : A(24x18), B(18x24), C(24x24) Parallel Time: 0.000257 seconds"
