implementation,m,n,q,p,seconds,speedup,cost,exit_code,status,command,raw_output
"Implementation 1 (Serial)",5,5,5,1,0.000003,1.000000,0.000003,0,"ok","./bin/mm_serial 5 5 5","Time: 0.000003 seconds"
"Implementation 2 (MM-1D)",5,5,5,1,0.000012,0.256999,0.000012,0,"ok","mpirun -np 1 ./bin/mm_1d 5 5 5","Local Matrix Multiplication Compute Time: 1.70153e-06 seconds Total Runtime: 1.16732e-05 seconds"
"Implementation 3 (MM-2D)",5,5,5,1,0.000004,0.750000,0.000004,0,"ok","mpirun -np 1 ./bin/mm_2d 5 5 5","MM-2D completed Processes (P): 1 Grid size    : 1 x 1 Matrix sizes : A(5x5), B(5x5), C(5x5) Parallel Time: 0.000004 seconds"
"Implementation 1 (Serial)",5,5,5,4,0.000003,1.000000,0.000003,0,"ok","./bin/mm_serial 5 5 5","Time: 0.000003 seconds"
"Implementation 2 (MM-1D)",5,5,5,4,0.000133,0.022543,0.000532,0,"ok","mpirun -np 4 ./bin/mm_1d 5 5 5","Local Matrix Multiplication Compute Time: 7.86036e-07 seconds Total Runtime: 0.000133079 seconds"
"Implementation 3 (MM-2D)",5,5,5,4,-,-,-,256,"failed","mpirun -np 4 ./bin/mm_2d 5 5 5","Error: m, n, and q must each be divisible by sqrt(P). Usage: mpirun -np P ./mm_2d m n q [print] -------------------------------------------------------------------------- Primary job  terminated normally, but 1 process returned a non-zero exit code. Per user-direction, the job has been aborted. -------------------------------------------------------------------------- -------------------------------------------------------------------------- mpirun detected that one or more processes exited with non-zero status, thus causing the job to be terminated. The first process to do so was:    Process name: [[11073,1],1]   Exit code:    1 --------------------------------------------------------------------------"
"Implementation 1 (Serial)",5,5,5,9,0.000003,1.000000,0.000003,0,"ok","./bin/mm_serial 5 5 5","Time: 0.000003 seconds"
"Implementation 2 (MM-1D)",5,5,5,9,0.000232,0.012941,0.002086,0,"ok","mpirun -np 9 ./bin/mm_1d 5 5 5","Local Matrix Multiplication Compute Time: 4.79631e-07 seconds Total Runtime: 0.000231823 seconds"
"Implementation 3 (MM-2D)",5,5,5,9,-,-,-,256,"failed","mpirun -np 9 ./bin/mm_2d 5 5 5","Error: m, n, and q must each be divisible by sqrt(P). Usage: mpirun -np P ./mm_2d m n q [print] -------------------------------------------------------------------------- Primary job  terminated normally, but 1 process returned a non-zero exit code. Per user-direction, the job has been aborted. -------------------------------------------------------------------------- -------------------------------------------------------------------------- mpirun detected that one or more processes exited with non-zero status, thus causing the job to be terminated. The first process to do so was:    Process name: [[8712,1],3]   Exit code:    1 --------------------------------------------------------------------------"
