implementation,m,n,q,p,seconds,speedup,serial_speedup,cost,exit_code,status,command,raw_output
"Implementation 1 (Serial)",3600,3000,3600,1,125.019803,1.000000,1.000000,125.019803,0,"ok","./bin/mm_serial 3600 3000 3600","Time: 125.019803 seconds"
"Implementation 2 (MM-1D)",3600,3000,3600,1,123.637000,1.000000,1.011184,123.637000,0,"ok","mpirun -np 1 ./bin/mm_1d 3600 3000 3600","Local Matrix Multiplication Compute Time: 123.387 seconds Total Runtime: 123.637 seconds"
"Implementation 3 (MM-2D)",3600,3000,3600,1,123.504149,1.000000,1.012272,123.504149,0,"ok","mpirun -np 1 ./bin/mm_2d 3600 3000 3600","MM-2D completed Processes (P): 1 Grid size    : 1 x 1 Matrix sizes : A(3600x3000), B(3000x3600), C(3600x3600) Parallel Time: 123.504149 seconds"
"Implementation 1 (Serial)",3600,3000,3600,4,125.019803,1.000000,1.000000,125.019803,0,"ok","./bin/mm_serial 3600 3000 3600","Time: 125.019803 seconds"
"Implementation 2 (MM-1D)",3600,3000,3600,4,32.769200,3.772964,3.815162,131.076800,0,"ok","mpirun -np 4 ./bin/mm_1d 3600 3000 3600","Local Matrix Multiplication Compute Time: 32.3772 seconds Total Runtime: 32.7692 seconds"
"Implementation 3 (MM-2D)",3600,3000,3600,4,21.753369,5.677472,5.747147,87.013476,0,"ok","mpirun -np 4 ./bin/mm_2d 3600 3000 3600","MM-2D completed Processes (P): 4 Grid size    : 2 x 2 Matrix sizes : A(3600x3000), B(3000x3600), C(3600x3600) Parallel Time: 21.753369 seconds"
"Implementation 1 (Serial)",3600,3000,3600,9,125.019803,1.000000,1.000000,125.019803,0,"ok","./bin/mm_serial 3600 3000 3600","Time: 125.019803 seconds"
"Implementation 2 (MM-1D)",3600,3000,3600,9,15.871000,7.790120,7.877248,142.839000,0,"ok","mpirun -np 9 ./bin/mm_1d 3600 3000 3600","Local Matrix Multiplication Compute Time: 15.3161 seconds Total Runtime: 15.871 seconds"
"Implementation 3 (MM-2D)",3600,3000,3600,9,11.010387,11.217058,11.354715,99.093483,0,"ok","mpirun -np 9 ./bin/mm_2d 3600 3000 3600","MM-2D completed Processes (P): 9 Grid size    : 3 x 3 Matrix sizes : A(3600x3000), B(3000x3600), C(3600x3600) Parallel Time: 11.010387 seconds"
"Implementation 1 (Serial)",3600,3000,3600,16,125.019803,1.000000,1.000000,125.019803,0,"ok","./bin/mm_serial 3600 3000 3600","Time: 125.019803 seconds"
"Implementation 2 (MM-1D)",3600,3000,3600,16,9.718520,12.721793,12.864078,155.496320,0,"ok","mpirun -np 16 ./bin/mm_1d 3600 3000 3600","Local Matrix Multiplication Compute Time: 9.12456 seconds Total Runtime: 9.71852 seconds"
"Implementation 3 (MM-2D)",3600,3000,3600,16,6.587404,18.748531,18.978615,105.398464,0,"ok","mpirun -np 16 ./bin/mm_2d 3600 3000 3600","MM-2D completed Processes (P): 16 Grid size    : 4 x 4 Matrix sizes : A(3600x3000), B(3000x3600), C(3600x3600) Parallel Time: 6.587404 seconds"
"Implementation 1 (Serial)",3600,3000,3600,25,125.019803,1.000000,1.000000,125.019803,0,"ok","./bin/mm_serial 3600 3000 3600","Time: 125.019803 seconds"
"Implementation 2 (MM-1D)",3600,3000,3600,25,11.150400,11.088122,11.212136,278.760000,0,"ok","mpirun -np 25 ./bin/mm_1d 3600 3000 3600","Local Matrix Multiplication Compute Time: 10.068 seconds Total Runtime: 11.1504 seconds"
"Implementation 3 (MM-2D)",3600,3000,3600,25,6.997919,17.648697,17.865283,174.947975,0,"ok","mpirun -np 25 ./bin/mm_2d 3600 3000 3600","MM-2D completed Processes (P): 25 Grid size    : 5 x 5 Matrix sizes : A(3600x3000), B(3000x3600), C(3600x3600) Parallel Time: 6.997919 seconds"
