implementation,m,n,q,p,seconds,speedup,cost,exit_code,status,command,raw_output
"Implementation 1 (Serial)",1800,3000,3000,1,421.911942,1.000000,421.911942,0,"ok","./bin/mm_serial 1800 3000 3000","Time: 421.911942 seconds"
"Implementation 2 (MM-1D)",1800,3000,3000,1,347.125000,1.215447,347.125000,0,"ok","mpirun -np 1 ./bin/mm_1d 1800 3000 3000","mpirun: Forwarding signal 20 to job mpirun: Forwarding signal 18 to job mpirun: Forwarding signal 20 to job mpirun: Forwarding signal 18 to job mpirun: Forwarding signal 20 to job mpirun: Forwarding signal 18 to job mpirun: Forwarding signal 20 to job mpirun: Forwarding signal 18 to job mpirun: Forwarding signal 20 to job mpirun: Forwarding signal 18 to job mpirun: Forwarding signal 20 to job mpirun: Forwarding signal 18 to job mpirun: Forwarding signal 20 to job mpirun: Forwarding signal 18 to job mpirun: Forwarding signal 20 to job mpirun: Forwarding signal 18 to job mpirun: Forwarding signal 20 to job mpirun: Forwarding signal 18 to job mpirun: Forwarding signal 20 to job mpirun: Forwarding signal 18 to job mpirun: Forwarding signal 20 to job mpirun: Forwarding signal 18 to job Local Matrix Multiplication Compute Time: 346.796 seconds Total Runtime: 347.125 seconds"
"Implementation 3 (MM-2D)",1800,3000,3000,1,346.999442,1.215887,346.999442,0,"ok","mpirun -np 1 ./bin/mm_2d 1800 3000 3000","mpirun: Forwarding signal 20 to job mpirun: Forwarding signal 18 to job mpirun: Forwarding signal 20 to job mpirun: Forwarding signal 18 to job mpirun: Forwarding signal 20 to job mpirun: Forwarding signal 18 to job mpirun: Forwarding signal 20 to job mpirun: Forwarding signal 18 to job mpirun: Forwarding signal 20 to job mpirun: Forwarding signal 18 to job mpirun: Forwarding signal 20 to job mpirun: Forwarding signal 18 to job mpirun: Forwarding signal 20 to job mpirun: Forwarding signal 18 to job mpirun: Forwarding signal 20 to job mpirun: Forwarding signal 18 to job mpirun: Forwarding signal 20 to job mpirun: Forwarding signal 18 to job mpirun: Forwarding signal 20 to job mpirun: Forwarding signal 18 to job mpirun: Forwarding signal 20 to job mpirun: Forwarding signal 18 to job mpirun: Forwarding signal 20 to job mpirun: Forwarding signal 18 to job mpirun: Forwarding signal 20 to job mpirun: Forwarding signal 18 to job mpirun: Forwarding signal 20 to job mpirun: Forwarding signal 18 to job mpirun: Forwarding signal 20 to job mpirun: Forwarding signal 18 to job mpirun: Forwarding signal 20 to job mpirun: Forwarding signal 18 to job MM-2D completed Processes (P): 1 Grid size    : 1 x 1 Matrix sizes : A(1800x3000), B(3000x3000), C(1800x3000) Parallel Time: 346.999442 seconds"
"Implementation 1 (Serial)",1800,3000,3000,4,416.324474,1.000000,416.324474,0,"ok","./bin/mm_serial 1800 3000 3000","Time: 416.324474 seconds"
"Implementation 2 (MM-1D)",1800,3000,3000,4,73.883300,5.634893,295.533200,0,"ok","mpirun -np 4 ./bin/mm_1d 1800 3000 3000","mpirun: Forwarding signal 20 to job mpirun: Forwarding signal 18 to job mpirun: Forwarding signal 20 to job mpirun: Forwarding signal 18 to job mpirun: Forwarding signal 20 to job mpirun: Forwarding signal 18 to job mpirun: Forwarding signal 20 to job mpirun: Forwarding signal 18 to job mpirun: Forwarding signal 20 to job mpirun: Forwarding signal 18 to job mpirun: Forwarding signal 20 to job mpirun: Forwarding signal 18 to job mpirun: Forwarding signal 20 to job mpirun: Forwarding signal 18 to job Local Matrix Multiplication Compute Time: 73.5554 seconds Total Runtime: 73.8833 seconds"
"Implementation 3 (MM-2D)",1800,3000,3000,4,177.044864,2.351520,708.179456,0,"ok","mpirun -np 4 ./bin/mm_2d 1800 3000 3000","mpirun: Forwarding signal 20 to job mpirun: Forwarding signal 18 to job mpirun: Forwarding signal 20 to job mpirun: Forwarding signal 18 to job mpirun: Forwarding signal 20 to job mpirun: Forwarding signal 18 to job MM-2D completed Processes (P): 4 Grid size    : 2 x 2 Matrix sizes : A(1800x3000), B(3000x3000), C(1800x3000) Parallel Time: 177.044864 seconds"
"Implementation 1 (Serial)",1800,3000,3000,9,356.138156,1.000000,356.138156,0,"ok","./bin/mm_serial 1800 3000 3000","Time: 356.138156 seconds"
"Implementation 2 (MM-1D)",1800,3000,3000,9,51.482900,6.917601,463.346100,0,"ok","mpirun -np 9 ./bin/mm_1d 1800 3000 3000","mpirun: Forwarding signal 20 to job mpirun: Forwarding signal 18 to job mpirun: Forwarding signal 20 to job mpirun: Forwarding signal 18 to job mpirun: Forwarding signal 20 to job mpirun: Forwarding signal 18 to job mpirun: Forwarding signal 20 to job mpirun: Forwarding signal 18 to job mpirun: Forwarding signal 20 to job mpirun: Forwarding signal 18 to job mpirun: Forwarding signal 20 to job mpirun: Forwarding signal 18 to job mpirun: Forwarding signal 20 to job mpirun: Forwarding signal 18 to job Local Matrix Multiplication Compute Time: 50.7324 seconds Total Runtime: 51.4829 seconds"
"Implementation 3 (MM-2D)",1800,3000,3000,9,194.368486,1.832283,1749.316374,0,"ok","mpirun -np 9 ./bin/mm_2d 1800 3000 3000","mpirun: Forwarding signal 20 to job mpirun: Forwarding signal 18 to job mpirun: Forwarding signal 20 to job mpirun: Forwarding signal 18 to job mpirun: Forwarding signal 20 to job mpirun: Forwarding signal 18 to job mpirun: Forwarding signal 20 to job mpirun: Forwarding signal 18 to job mpirun: Forwarding signal 20 to job mpirun: Forwarding signal 18 to job mpirun: Forwarding signal 20 to job mpirun: Forwarding signal 18 to job mpirun: Forwarding signal 20 to job mpirun: Forwarding signal 18 to job mpirun: Forwarding signal 20 to job mpirun: Forwarding signal 18 to job mpirun: Forwarding signal 20 to job mpirun: Forwarding signal 18 to job mpirun: Forwarding signal 20 to job mpirun: Forwarding signal 18 to job mpirun: Forwarding signal 20 to job mpirun: Forwarding signal 18 to job mpirun: Forwarding signal 20 to job mpirun: Forwarding signal 18 to job mpirun: Forwarding signal 20 to job mpirun: Forwarding signal 18 to job mpirun: Forwarding signal 20 to job mpirun: Forwarding signal 18 to job MM-2D completed Processes (P): 9 Grid size    : 3 x 3 Matrix sizes : A(1800x3000), B(3000x3000), C(1800x3000) Parallel Time: 194.368486 seconds"
"Implementation 1 (Serial)",1800,3000,3000,16,416.006949,1.000000,416.006949,0,"ok","./bin/mm_serial 1800 3000 3000","Time: 416.006949 seconds"
